"","x"
"1","1.613.A.1"
"2","15.1091.A.1"
"3","15.1094.A.1"
"4","15.1161.A.1"
"5","15.1686.A.1"
"6","15.1812.A.4"
"7","15.1931.A.1"
"8","15.1971.A.1"
"9","15.2043.A.4"
"10","15.2046.A.1"
"11","15.2047.A.1"
"12","15.2225.A.4"
"13","15.2360.A.2C"
"14","15.2858.A.3C"
"15","15.2912.A.4"
"16","15.2934.A.1"
"17","15.300.A.1"
"18","15.611.A.1"
"19","15.644.A.1"
"20","20.102.A.1"
"21","20.1055.A.3E"
"22","20.106.A.1"
"23","20.1083.A.1"
"24","20.110.A.1"
"25","20.1119.A.1"
"26","20.336.A.1"
"27","20.339.A.1"
"28","20.532.A.1"
"29","20.576.A.1"
"30","20.588.A.3C"
"31","20.650.A.3E"
"32","20.70.A.1"
"33","20.729.A.1"
"34","20.746.A.1"
"35","20.759.A.1"
"36","20.813.A.1"
"37","20.843.A.3C"
"38","20.951.A.1"
"39","27.1083.A.1"
"40","27.1178.A.1"
"41","27.1210.A.1"
"42","27.1240.A.1"
"43","27.140.A.4"
"44","27.1421.A.1"
"45","27.1434.A.1"
"46","27.1480.A.4"
"47","27.1482.A.3E"
"48","27.1486.A.3C"
"49","27.1545.A.4"
"50","27.1553.A.1"
"51","27.1611.A.1"
"52","27.1619.A.1"
"53","27.1721.A.3E"
"54","27.1727.A.1"
"55","27.1745.A.1"
"56","27.1810.A.1"
"57","27.1848.A.1"
"58","27.1856.A.2E"
"59","27.1904.A.1"
"60","27.1911.A.3C"
"61","27.2016.A.3C"
"62","27.2016.A.3E"
"63","27.2060.A.4"
"64","27.2061.A.1"
"65","27.2064.A.1"
"66","27.2236.A.1"
"67","27.2317.A.1"
"68","27.2338.A.1"
"69","27.2373.A.1"
"70","27.2393.A.1"
"71","27.2394.A.2C"
"72","27.2399.A.1"
"73","27.2400.A.1"
"74","27.2411.A.4"
"75","27.2419.A.1"
"76","27.2512.A.1"
"77","27.2543.A.1"
"78","27.2580.A.1"
"79","27.2592.A.3C"
"80","27.2713.A.1"
"81","27.2739.A.1"
"82","27.2746.A.1"
"83","27.2929.A.3C"
"84","27.736.A.1"
"85","27.761.A.4"
"86","27.762.A.2C"
"87","27.962.A.1"
"88","27.971.A.1"
"89","31.102.N.N"
"90","31.128.N.N"
"91","31.130.N.N"
"92","31.179.N.N"
"93","31.196.N.N"
"94","31.206.N.N"
"95","31.219.N.N"
"96","31.305.N.N"
"97","31.312.N.N"
"98","31.326.N.N"
"99","31.327.N.N"
"100","31.339.N.N"
"101","31.352.N.N"
"102","31.355.N.N"
"103","31.357.N.N"
"104","31.386.N.N"
"105","31.566.N.N"
"106","31.567.N.N"
"107","31.578.N.N"
"108","31.600.N.N"
"109","31.67.N.N"
"110","31.78.N.N"
"111","32.1021.A.4"
"112","32.1223.A.1"
"113","32.145.A.3E"
"114","32.372.A.4"
"115","32.379.A.1"
"116","33.1146.N.N"
"117","33.1184.N.N"
"118","33.1185.N.N"
"119","33.1244.N.N"
"120","33.1249.N.N"
"121","33.1279.N.N"
"122","33.1282.N.N"
"123","33.1371.N.N"
"124","33.1390.N.N"
"125","33.1591.N.N"
"126","33.1957.N.N"
"127","33.1982.N.N"
"128","33.2157.N.N"
"129","33.2184.N.N"
"130","33.2354.N.N"
"131","33.2385.N.N"
"132","33.2386.N.N"
"133","33.2426.N.N"
"134","33.2428.N.N"
"135","33.2429.N.N"
"136","33.2522.N.N"
"137","33.2526.N.N"
"138","33.327.N.N"
"139","33.334.N.N"
"140","33.376.N.N"
"141","33.411.N.N"
"142","33.465.N.N"
"143","33.500.N.N"
"144","33.542.N.N"
"145","33.548.N.N"
"146","33.550.N.N"
"147","33.649.N.N"
"148","33.651.N.N"
"149","33.739.N.N"
"150","33.745.N.R"
"151","33.745.R.1"
"152","33.745.R.2"
"153","33.75.N.N"
"154","33.764.N.N"
"155","33.815.N.N"
"156","33.822.N.N"
"157","33.917.N.N"
"158","33.999.N.N"
"159","36.184.A.1"
"160","36.234.A.1"
"161","36.615.A.4"
"162","36.696.A.3E"
"163","36.703.A.1"
"164","36.713.A.4"
"165","36.896.A.3C"
"166","39.1036.N.N"
"167","39.1088.N.N"
"168","39.1155.N.N"
"169","39.1160.N.N"
"170","39.1345.N.N"
"171","39.1532.N.N"
"172","39.1569.N.N"
"173","39.1588.N.N"
"174","39.1663.N.N"
"175","39.1674.N.N"
"176","39.1680.N.N"
"177","39.2065.N.N"
"178","39.2074.N.N"
"179","39.220.N.N"
"180","39.2205.N.N"
"181","39.2208.N.N"
"182","39.495.N.N"
"183","39.533.N.N"
"184","39.67.N.N"
"185","39.671.N.N"
"186","39.712.N.N"
"187","39.791.N.N"
"188","39.798.N.N"
"189","39.826.N.N"
"190","39.917.N.N"
"191","39.925.N.N"
"192","48.1003.A.1"
"193","48.216.A.1"
"194","48.236.A.1"
"195","48.259.A.1"
"196","48.322.A.3E"
"197","48.371.A.1"
"198","48.468.A.3E"
"199","48.531.A.1"
"200","48.61.A.1"
