"","x"
"1","10.1420.A.1"
"2","10.294.A.1"
"3","10.3071.A.1"
"4","10.3106.A.4"
"5","10.661.A.1"
"6","10.671.A.1"
"7","10.681.A.1"
"8","10.688.A.1"
"9","10.689.A.1"
"10","10.697.A.1"
"11","10.698.A.1"
"12","10.707.A.1"
"13","10.710.A.1"
"14","13.1043.A.1"
"15","13.1459.A.1"
"16","13.1507.A.1"
"17","13.195.A.1"
"18","13.207.A.1"
"19","13.217.A.1"
"20","13.267.A.1"
"21","13.307.A.1"
"22","13.311.A.1"
"23","13.346.A.3C"
"24","13.346.A.3E"
"25","13.364.A.1"
"26","13.375.A.3C"
"27","13.404.A.1"
"28","13.624.A.3C"
"29","13.624.A.3E"
"30","13.684.A.3C"
"31","13.684.A.3E"
"32","13.751.A.4"
"33","14.1134.A.3C"
"34","14.1184.A.1"
"35","14.1196.A.3C"
"36","14.1204.A.1"
"37","14.1257.A.1"
"38","14.1272.A.1"
"39","14.1358.A.1"
"40","14.582.A.1"
"41","14.586.A.1"
"42","14.625.A.1"
"43","14.963.A.1"
"44","16.2474.A.1"
"45","16.3072.A.1"
"46","17.1820.A.1"
"47","17.2041.A.1"
"48","17.2059.A.1"
"49","17.2125.A.1"
"50","17.2156.A.1"
"51","17.2310.A.1"
"52","17.2315.A.1"
"53","17.2373.A.1"
"54","17.2469.A.1"
"55","17.2662.A.1"
"56","17.2688.A.4"
"57","17.2725.A.1"
"58","17.2726.A.1"
"59","17.2731.A.1"
"60","18.2481.N.N"
"61","2.1173.A.1"
"62","21.1952.A.1"
"63","21.539.A.1"
"64","23.104.A.1"
"65","23.155.A.3C"
"66","23.205.A.1"
"67","23.231.A.4C"
"68","23.302.A.1"
"69","23.39.A.1"
"70","23.729.A.1"
"71","28.1493.A.1"
"72","28.1848.A.4"
"73","28.257.A.1"
"74","28.580.A.1"
"75","28.844.A.1"
"76","28.869.A.1"
"77","29.1097.A.1"
"78","29.1221.A.1"
"79","29.175.A.1"
"80","37.254.A.1"
"81","40.1151.A.1 "
"82","40.1152.A.1 "
"83","40.1168.A.1 "
"84","40.1171.A.1 "
"85","40.1187.A.1 "
"86","40.1212.A.1 "
"87","40.1228.A.3E"
"88","40.1292.A.1 "
"89","40.1441.A.1 "
"90","40.1528.A.1 "
"91","40.1536.A.1 "
"92","40.1543.A.1 "
"93","40.373.A.1 "
"94","40.388.A.3E"
"95","40.43.A.1 "
"96","40.432.A.1 "
"97","40.443.A.1 "
"98","40.444.A.1 "
"99","40.459.A.4 "
"100","40.467.A.1 "
"101","40.47.A.3C"
"102","40.480.A.3E"
"103","40.515.A.1 "
"104","40.561.A.1 "
"105","40.655.A.1 "
"106","45.1349.A.1"
"107","47.2413.N.N"
"108","47.243.A.1"
"109","47.2448.N.N"
"110","47.254.A.1"
"111","47.281.A.1"
"112","47.282.A.1"
"113","47.295.A.1"
"114","47.311.A.1"
"115","47.316.A.1"
"116","47.342.A.1"
"117","47.345.A.1"
"118","47.354.A.1"
"119","47.368.A.1"
"120","47.373.A.1"
"121","47.410.A.3C"
"122","47.418.A.1"
"123","47.430.A.1"
"124","47.476.A.1"
"125","47.486.A.1"
"126","47.491.A.1"
"127","47.568.A.1"
"128","47.574.A.1"
"129","47.586.A.4"
"130","47.631.A.1"
"131","47.639.A.1"
"132","47.645.A.1"
"133","47.647.A.1"
"134","47.661.A.1"
"135","47.665.A.1"
"136","47.675.A.1"
"137","47.679.A.1"
"138","47.680.A.1"
"139","47.685.A.1"
"140","47.699.A.1"
"141","47.703.A.1"
"142","47.727.A.1"
"143","47.753.A.1"
"144","47.764.A.1"
"145","47.765.A.1"
"146","47.766.A.1"
"147","47.770.A.1"
"148","47.779.A.1"
"149","47.795.A.1"
"150","47.798.A.1"
"151","47.800.A.1"
"152","47.819.A.1"
"153","47.827.A.1"
"154","47.829.A.1"
"155","47.836.A.1"
"156","47.846.A.1"
"157","47.847.A.1"
"158","47.863.A.1"
"159","47.872.A.1"
"160","47.873.A.1"
"161","47.878.A.1"
"162","47.888.A.1"
"163","47.908.A.3C"
"164","47.924.A.1"
"165","47.937.A.1"
"166","47.941.A.1"
"167","47.950.A.1"
"168","47.951.A.1"
"169","47.955.A.1"
"170","47.961.A.1"
"171","49.779.A.1"
"172","49.794.A.1"
"173","49.943.A.1"
"174","49.945.A.1"
"175","5.119.A.1"
"176","5.123.A.1"
"177","5.1282.A.1"
"178","5.1297.A.1"
"179","5.1332.A.1"
"180","5.1337.A.1"
"181","5.172.A.1"
"182","5.2288.N.N"
"183","5.2439.N.N"
"184","5.2581.N.N"
"185","5.35.A.1"
"186","5.553.A.1"
"187","5.554.A.1"
"188","5.555.A.1"
"189","5.561.A.1"
"190","5.566.A.1"
"191","5.568.A.1"
"192","5.571.A.1"
"193","5.572.A.1"
"194","5.893.A.3C"
"195","5.900.A.1"
"196","5.96.A.1"
"197","6.1116.A.4"
"198","6.2536.A.1"
"199","6.2552.A.1"
"200","6.276.A.1"
"201","6.304.A.1"
"202","6.341.A.1"
"203","6.431.A.3C"
"204","6.484.A.1"
"205","6.493.A.1"
"206","6.494.A.1"
"207","6.501.A.1"
"208","6.513.A.1"
"209","6.519.A.1"
"210","6.67.A.1"
"211","6.916.A.1"
"212","6.932.A.1"
"213","8.2379.A.1"
"214","9.2496.A.1"
"215","9.2522.A.3C"
"216","9.2533.A.1"
"217","9.2536.A.1"
"218","9.2546.A.1"
