"","x"
"1","24.1077.A.1"
"2","24.1261.A.1"
"3","24.1272.A.4"
"4","24.1357.A.1"
"5","24.1548.A.1"
"6","24.2173.A.1"
"7","24.2307.A.4"
"8","24.462.A.1"
"9","24.465.A.1"
"10","24.955.A.4"
"11","24.963.A.1"
"12","34.1018.A.1"
"13","34.1166.A.1"
"14","34.156.A.1"
"15","34.247.A.1"
"16","34.308.A.1"
"17","34.352.A.1"
"18","34.448.A.1"
"19","34.465.A.1"
"20","34.474.A.1"
"21","34.497.A.1"
"22","34.549.A.1"
"23","37.1032.A.1"
"24","37.1644.A.1"
"25","37.950.A.1"
"26","40.1062.A.1"
"27","40.1075.A.1"
"28","40.1085.A.1"
"29","40.1112.A.1"
"30","40.1113.A.1"
"31","40.1117.A.1"
"32","40.1131.A.1"
"33","40.1132.A.1"
"34","40.1137.A.1"
"35","40.1138.A.1"
"36","40.1604.A.1"
"37","40.1616.A.1"
"38","40.1632.A.1"
"39","40.1634.A.1"
"40","40.1656.A.1"
"41","40.1752.A.1"
"42","40.3093.N.N"
"43","40.944.A.1"
"44","40.957.A.1"
"45","40.963.A.1"
"46","40.965.A.1"
"47","40.996.A.1"
"48","42.1174.A.1"
"49","42.1187.A.1"
"50","42.1194.A.1"
"51","42.151.A.1"
"52","42.152.A.1"
"53","42.1521.A.1"
"54","42.179.A.4"
"55","42.2589.A.1"
"56","42.265.A.1"
"57","42.277.A.1"
"58","42.291.A.1"
"59","42.293.A.1"
"60","42.296.A.1"
"61","42.342.A.1"
"62","42.349.A.1"
"63","42.3559.N.N"
"64","42.376.A.1"
"65","42.441.A.1"
"66","42.544.A.1"
"67","42.547.A.1"
"68","42.549.A.1"
"69","42.585.A.1"
"70","42.587.A.1"
"71","42.626.A.1"
"72","42.642.A.1"
"73","42.646.A.1"
"74","42.652.A.1"
"75","42.653.A.1"
"76","42.668.A.1"
"77","42.674.A.4"
"78","42.685.A.1"
"79","42.689.A.1"
"80","42.70.A.1"
"81","42.701.A.1"
"82","42.705.A.1"
"83","42.81.A.4"
"84","42.82.A.1"
"85","42.83.A.1"
"86","42.96.A.4"
"87","5.672.A.1"
"88","9.1016.A.1"
"89","9.1213.A.4"
"90","9.1226.A.4"
"91","9.1227.A.1"
"92","9.1231.A.1"
"93","9.1236.A.1"
"94","9.1241.A.1"
"95","9.1252.A.1"
"96","9.1256.A.1"
"97","9.1267.A.1"
"98","9.1271.A.1"
"99","9.1278.A.1"
"100","9.1284.A.1"
"101","9.1290.A.1"
"102","9.1295.A.1"
"103","9.1339.A.1"
"104","9.1340.A.1"
"105","9.1347.A.1"
"106","9.1357.A.1"
"107","9.1389.A.1"
"108","9.1390.A.1"
"109","9.1400.A.1"
"110","9.1422.A.1"
"111","9.1423.A.1"
"112","9.1451.A.1"
"113","9.1478.A.1"
"114","9.1549.A.1"
"115","9.159.A.1"
"116","9.1745.A.1"
"117","9.1753.A.1"
"118","9.1871.A.1"
"119","9.1984.A.1"
"120","9.1986.A.1"
"121","9.1992.A.1"
"122","9.1998.A.1"
"123","9.2293.A.1"
"124","9.2295.A.1"
"125","9.2306.A.1"
"126","9.2308.A.1"
"127","9.2315.A.1"
"128","9.2331.A.1"
"129","9.2340.A.1"
"130","9.2348.A.1"
"131","9.2367.A.1"
"132","9.2369.A.1"
"133","9.2370.A.1"
"134","9.2373.A.1"
"135","9.2381.A.1"
"136","9.2384.A.1"
"137","9.2385.A.1"
"138","9.3572.N.N"
"139","9.364.A.1"
"140","9.3671.N.N"
"141","9.3717.N.N"
"142","9.431.A.1"
"143","9.68.A.1"
"144","9.76.A.1"
