"","x"
"1","24.1142.A.1"
"2","24.1159.A.1"
"3","24.1274.A.1"
"4","24.1275.A.1"
"5","24.1279.A.1"
"6","24.1289.A.1"
"7","24.1290.A.4"
"8","24.1292.A.4"
"9","24.1336.A.1"
"10","24.1348.A.4"
"11","24.1349.A.1"
"12","24.1399.A.1"
"13","24.1577.A.1"
"14","24.212.A.4C"
"15","24.732.A.4"
"16","24.795.A.1"
"17","24.803.A.4"
"18","24.836.A.1"
"19","24.919.A.1"
"20","24.931.A.1"
"21","24.935.A.1"
"22","24.943.A.1"
"23","24.970.A.1"
"24","24.971.A.1"
"25","24.988.A.4"
"26","24.989.A.4"
"27","34.213.A.1"
"28","34.215.A.1"
"29","34.258.A.1"
"30","34.259.A.1"
"31","34.277.A.1"
"32","34.286.A.1"
"33","34.293.A.1"
"34","34.312.A.1"
"35","34.354.A.1"
"36","34.384.A.1"
"37","34.385.A.4"
"38","34.388.A.4"
"39","34.391.A.1"
"40","34.392.A.1"
"41","34.398.A.1"
"42","34.402.A.1"
"43","34.407.A.1"
"44","34.411.A.1"
"45","34.444.A.1"
"46","34.456.A.1"
"47","34.476.A.4"
"48","34.486.A.1"
"49","34.499.A.1"
"50","34.581.A.1"
"51","40.1079.A.1"
"52","40.1089.A.4"
"53","40.3096.N.N"
"54","42.1013.A.1"
"55","42.142.A.4"
"56","42.1494.A.1"
"57","42.1864.A.1"
"58","42.3041.A.1"
"59","42.3092.A.1"
"60","42.827.A.1"
"61","42.972.A.1"
"62","42.976.A.1"
"63","49.134.A.1"
"64","49.139.A.1"
"65","49.151.A.1"
"66","49.152.A.1"
"67","49.21.A.1"
"68","49.29.A.1"
"69","49.352.A.4"
"70","49.362.A.1"
"71","49.582.A.1"
"72","49.6.A.1"
"73","49.60.A.1"
"74","49.673.A.1"
"75","49.82.A.4"
"76","49.89.A.4"
"77","49.97.A.4"
"78","5.1055.A.1"
"79","5.444.A.1"
"80","5.697.A.1"
"81","5.846.A.1"
"82","9.1041.A.1"
"83","9.107.A.1"
"84","9.108.A.1"
"85","9.1393.A.1"
"86","9.1544.A.1"
"87","9.1596.A.1"
"88","9.1718.A.1"
"89","9.1719.A.1"
"90","9.2234.A.1"
"91","9.2468.A.1"
"92","9.2674.A.1"
"93","9.3219.A.1"
"94","9.3533.A.1"
"95","9.355.A.1"
"96","9.3563.N.N"
"97","9.3602.N.N"
"98","9.3604.N.N"
"99","9.717.A.1"
"100","9.919.A.1"
"101","9.920.A.1"
"102","9.959.A.1"
