"","PLOT_ID","PlotID0","ID_SP1","ID_SP2","ID_SP3","G_sp_1","G_sp_2","G_sp_3","N_sp_1","N_sp_2","N_sp_3","X","Provincia","Estadillo","ESTRATO","FECHGR","CODGR","NUMPMA","NUMTIP","NUMPME","NUMMAT","VERIFICA","FECHAVE","CODVE","HOJA","VUELO","FOTO","COORDEX","COORDEY","YEAR","MUNICI","PROPIED1","PROPIED2","AREAPRO1","AREAPRO2","ALTITUD1","ALTITUD2","PENDIEN1","PENDIEN2","USO1","USO2","FRACCION1","FRACCION2","ESPECIA11","ESPECIA12","OCUPA11","OCUPA12","ESTADA11","ESTADA12","ESPECIA21","ESPECIA22","OCUPA21","OCUPA22","ESTADA21","ESTADA22","ESPECIA31","ESPECIA32","OCUPA31","OCUPA32","ESTADA31","ESTADA32","ESPECIB1","MASAB1","ORIGEB1","EDADB1","ESPECIB2","MASAB2","ORIGEB2","EDADB2","ESPECIB3","MASAB3","ORIGEB3","EDADB3","ESPECIE1","ESPECIE2","ESPECIE3","ESPECIE4","ESPECIE5","ESPECIE6","ESPECIE7","CLASUELO","ESPESOR","CLACOBER","CUBIERTA","MEROSIVA1","MEROSIVA2","MEROSIVA3","MEROSIVA4","DISESPAC","COMPESPE","PREPSUEL1","PREPSUEL2","TRAVUELO1","TRAVUELO2","CORTAS","DANOS1","DANOS2","DANOS3","ORIENTA1","ORIENTA2","MAXPEND1","MAXPEND2","CoorX","CoorY","Origen","INVENTORY_ID","PLOT_ID_short","Do","SUM_DBH","SUM_H","G","N","Deadwood","dbh_mean","h_mean","dg","Ho","slenderness","dominant_slenderness","SDI","S","S_staggered","Longitude","Latitude","period","tmin","tmax","tmean","prec","MARTONNE"
"199","22_1961",22.1961,21,25,26,7.32898611111111,5.3223375,1.67542777777778,268.795014999645,541.126806512444,60.1252007236049,45676,22,1961,NA,940216,12,21,4,6,3,"S",940222,13,250,1,"0250L29",283,4681,93,177,6,6,"0","0",5,5,5,4,9,1,90,75,25,25,8,5,3,3,44,21,2,2,0,4,NA,26,NA,1,NA,4,25,3,1,NA,21,3,1,NA,26,3,1,NA,25,21,26,45,91,44,99,2,2,"W",20,NA,NA,NA,1,1,3,NA,0,NA,0,0,NA,NA,"01",355,NA,"6.00",NA,283000,4681000,22,"IFN2","22_1961",22.2333333333333,13499.8759507059,7015.19621383943,15.8767763888889,997.370976709211,0,13.5354609929078,7.03368794326241,14.2366517051254,8.66666666666667,51.9648938957296,38.9805097451274,404.001174842678,36.5358775998488,68.0009304519576,0.369661543632179,42.2502918488256,"1986_1996",7.88636363636364,18.5227272727273,13.2045454545455,653.499999078837,28.1625856605963
"200","22_2073",22.2073,25,21,NA,8.9913125,8.58289375,NA,732.112738222719,986.760647169751,NA,45061,22,2073,NA,931102,12,27,4,6,3,"S",931117,13,251,3,"0251358",308,4680,93,35,6,6,"0","0",9,9,5,4,9,1,70,80,21,21,0,5,3,3,NA,25,NA,3,NA,3,NA,NA,NA,NA,NA,NA,21,1,2,25,25,1,2,25,NA,NA,NA,NA,21,25,91,99,43,44,37,2,1,"W",20,NA,NA,NA,1,1,3,NA,9,NA,0,0,NA,NA,"P204",220,NA,"6.75",NA,308000,4680000,22,"IFN2","22_2073",16.3375,19077.9030284255,10583.803715611,17.57420625,1718.87338539247,0,11.0990740740741,6.15740740740741,11.4096146102993,7.25,55.4767664970385,44.3764345830145,488.056485745076,33.2690231980813,61.9206292914298,0.672768771138285,42.2478414545837,"1986_1996",6.36363636363636,17.2954545454545,11.8295454545455,782.018181139773,35.8238417180114
"201","22_2085",22.2085,21,25,NA,18.06578125,4.9004875,NA,1432.39448782706,445.633840657307,NA,45072,22,2085,NA,931217,12,35,4,1,1,"S",940107,13,251,3,"0251357",306,4676,93,155,6,6,"0","0",8,8,5,4,9,1,80,70,21,21,8,6,2,3,25,25,2,3,2,3,NA,NA,NA,NA,NA,NA,21,3,1,NA,25,3,1,NA,NA,NA,NA,NA,21,25,15,99,56,45,44,2,3,"W",20,NA,NA,NA,1,1,2,NA,1,NA,0,3,NA,NA,"P204",75,NA,"6.00",NA,306000,4676000,22,"IFN2","22_2085",17.9375,22878.52306946,12700.5644587332,22.96626875,1878.02832848436,0,12.1822033898305,6.76271186440678,12.4781215312703,7.625,55.5130434782609,42.5087108013937,615.64153013875,30.2627982443484,56.3254141924343,0.649882712849803,42.2113533811433,"1986_1996",5.75,16.8333333333333,11.2916666666667,802.30909096111,37.6818359746901
"203","22_2289",22.2289,21,25,45,11.93408125,10.78235625,1.989325,1114.08460164327,732.112738222719,286.478897565412,45267,22,2289,NA,931217,12,37,4,2,1,"S",940110,13,289,3,"0289231",301,4664,93,239,6,6,"0","0",9,9,4,4,9,1,80,90,45,21,8,5,0,3,44,25,2,4,0,3,NA,NA,NA,NA,NA,NA,21,3,1,NA,25,3,1,NA,NA,NA,NA,NA,21,25,45,37,NA,NA,NA,2,3,"W",20,NA,NA,NA,1,1,2,NA,1,NA,0,0,NA,NA,"P403",64,NA,"6.50",NA,301000,4664000,22,"IFN2","22_2289",16.7625,25397.9458186047,13432.677196956,24.7057625,2132.6762374314,0,11.9089552238806,6.29850746268657,12.1448379796619,7.5,52.8888331871162,44.7427293064877,669.391102352219,28.8719602816427,53.7367730597991,0.593460701125996,42.102118682075,"1986_1996",6.28787878787879,17.030303030303,11.6590909090909,713.581817746162,32.9460650375983
"209","22_399",22.399,21,25,NA,10.25293125,9.54121736111111,NA,795.774715459477,442.097064144154,NA,43757,22,399,NA,931214,13,28,4,3,1,"S",931220,12,177,4,"0177173",704,4724,93,130,1,1,"0","0",11,11,4,5,9,1,0,70,21,25,0,7,1,3,NA,21,NA,2,NA,3,NA,91,NA,1,NA,2,25,1,2,30,21,1,2,30,91,3,6,NA,25,21,91,37,NA,NA,NA,1,2,"W",20,NA,NA,NA,1,1,3,NA,1,NA,0,0,NA,"P404","P204",380,NA,"15.00",NA,704000,4724000,22,"IFN2","22_399",22.6,16621.7885788662,9291.11190005353,19.7941486111111,1237.87177960363,0,13.4277142857143,7.50571428571429,14.2687405590983,9.22857142857143,55.8971849266975,40.834386852086,503.235074397971,30.7983670771976,57.3222201089004,-0.511819471103705,42.6406776521759,"1986_1996",5.41666666666667,15.2121212121212,10.3143939393939,784.845450097864,38.6349429099079
"227","22_659",22.659,25,21,15,11.8442722222222,2.562975,0.6889,290.015674078565,56.5884242104517,127.323954473516,43343,22,659,NA,940126,12,18,4,6,2,"S",940204,13,178,4,"0178595",265,4712,93,189,6,6,"0","0",7,7,4,5,9,1,80,70,25,25,8,6,4,4,45,21,1,2,0,4,NA,91,NA,1,NA,2,25,3,1,NA,21,3,1,NA,91,3,6,NA,25,21,91,15,99,44,45,3,4,"W",20,NA,NA,NA,4,1,3,NA,0,NA,0,0,NA,NA,"01",321,NA,"11.50",NA,265000,4712000,22,"IFN2","22_659",28.575,8745.38728407399,5066.432355092,15.0961472222222,473.928052762533,0,18.4529850746269,10.6902985074627,20.1387222615626,12,57.9326242568852,41.994750656168,334.957666097446,38.2791729399342,71.2455686806247,0.13908596174008,42.5239153206526,"1986_1996",7.4469696969697,17.5757575757576,12.5113636363636,714.563637039878,31.7423523773394
"233","22_804",22.804,25,21,NA,41.1437910277778,11.9544770833333,NA,1226.83703688259,362.307386007417,NA,43376,22,804,NA,940128,12,62,4,1,1,"S",940208,13,179,4,"0179567",270,4712,93,144,2,2,"0","0",11,11,5,5,9,1,80,80,21,25,6,6,4,4,31,21,1,3,4,4,NA,NA,NA,NA,NA,NA,25,3,1,NA,21,3,1,NA,NA,NA,NA,NA,25,21,91,76,15,65,44,3,5,"W",20,NA,NA,NA,4,1,2,NA,0,NA,0,0,NA,NA,"01",45,NA,"10.75",NA,270000,4712000,22,"IFN2","22_804",36.2485875706215,30956.2023156157,24405.3141224231,53.0982681111111,1589.14442289001,0,19.4797916852132,15.3575180272412,20.6259306553923,17.0706214689266,78.8382046143687,47.093204488778,1167.08747210656,14.694979472416,27.3504386028718,0.199885012450648,42.5254182397331,"1986_1996",5.96969696969697,15.9848484848485,10.9772727272727,795.681818160144,37.9306608873741
"234","22_884",22.884,21,25,NA,11.4587701388889,3.79934444444444,NA,1347.51185151138,146.56401870507,NA,44082,22,884,NA,940126,13,17,4,6,4,"S",940203,12,208,2,"0208J34",676,4705,93,173,1,1,"0","0",9,9,5,5,9,1,50,65,21,21,0,5,4,3,NA,91,NA,4,NA,2,NA,25,NA,1,NA,3,21,3,1,NA,91,3,6,NA,25,3,1,NA,21,91,25,37,44,78,99,2,2,"W",20,NA,NA,NA,1,1,3,NA,0,NA,0,0,NA,"P305","P204",220,NA,"9.50",NA,676000,4705000,22,"IFN2","22_884",16.9722934016656,15391.8745464172,9068.01203760383,15.2581145833333,1494.07587021645,0,10.301936369662,6.06931161821797,11.4030011835003,7.33376040999359,58.9142798056044,43.2101910828025,423.832938078203,35.2766191482325,65.6571863840787,-0.858939278808161,42.4766005309733,"1986_1996",6.54545454545454,16.25,11.3977272727273,662.145455750552,30.944662828491
"235","22_909",22.909,25,21,NA,6.17661875,4.3723125,NA,572.957795130823,477.464829275686,NA,44107,22,909,NA,931022,12,15,4,4,2,"S",931105,13,209,2,"0209J31",681,4707,93,44,4,4,"0","0",10,10,5,5,9,1,0,75,25,25,0,4,1,3,NA,21,NA,4,NA,3,NA,91,NA,2,NA,2,25,3,1,NA,21,3,1,NA,91,3,6,NA,25,21,91,37,44,NA,NA,2,2,"W",20,NA,NA,NA,1,1,2,NA,0,NA,0,0,NA,NA,"01",310,NA,"8.50",NA,681000,4707000,22,"IFN2","22_909",16.0625,11537.1418247315,5777.3244342358,10.54893125,1050.42262440651,0,10.9833333333333,5.5,11.3077775594205,6.875,50.0758725341426,42.8015564202335,293.995613225631,44.8792162407683,83.5296334127057,-0.797525227448663,42.4934463552927,"1986_1996",6.76515151515151,16.6666666666667,11.7159090909091,649.527274868705,29.9102041802439
"236","22_927",22.927,21,25,NA,15.7875069444444,5.68821111111111,NA,820.532151051549,134.397507499823,NA,44125,22,927,NA,931004,12,26,4,6,3,"S",931020,13,209,2,"0209J32",678,4705,93,44,1,1,"0","0",8,8,5,5,9,1,0,65,25,21,0,6,0,4,21,91,0,3,0,2,NA,25,NA,1,NA,4,21,3,1,NA,91,3,6,NA,25,3,1,NA,21,91,25,37,99,78,76,2,2,"W",20,NA,NA,NA,1,1,3,NA,0,NA,0,0,NA,"P204","P305",370,NA,"8.25",NA,678000,4705000,22,"IFN2","22_927",26.26875,15228.6523103352,7462.59844275331,21.4757180555556,954.929658551372,0,15.9474074074074,7.81481481481482,16.921669758254,9.5,49.0036694690882,36.1646443016893,510.421581029136,34.0636125009772,63.3995266239608,-0.834625837122482,42.4761435519645,"1986_1996",6.54545454545454,16.25,11.3977272727273,662.145455750552,30.944662828491
"237","22_93",22.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,43478,22,93,NA,940120,3,0,0,0,0,"S",940127,1,144,4,"0144708",702,4736,93,78,1,1,"0","0",19,19,5,5,5,3,0,NA,21,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,702000,4736000,22,"IFN2","22_93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.713067287520317,42.4737813607584,"1986_1996",6.86363636363636,16.7878787878788,11.8257575757576,645.336363879117,29.5676501326079
