"","PlotID0","PlotID.x","CoorX","CoorY","FechaIni.x","FechaFin.x","Cla.x","Subclase.x","PlotID.y","FechaIni.y","FechaFin.y","Cla.y","Subclase.y"
"1",9.1016,"9.1016.A.1",NA,NA,"03/31/03 00:00:00","03/31/03 00:00:00","A","1","9.1016.A.1","2018-04-18","2018-04-18","A","1"
"2",9.1213,"9.1213.A.4",NA,NA,"06/11/03 00:00:00","06/11/03 00:00:00","A","4","9.1213.A.4","2018-08-09","2018-08-09","A","4"
"3",9.1226,"9.1226.A.1",NA,NA,"06/04/03 00:00:00","06/04/03 00:00:00","A","1","9.1226.A.4","2018-09-06","2018-09-06","A","4"
"4",9.1227,"9.1227.A.1",NA,NA,"06/04/03 00:00:00","06/04/03 00:00:00","A","1","9.1227.A.1","2018-08-10","2018-08-10","A","1"
"5",9.1231,"9.1231.A.1",NA,NA,"06/05/03 00:00:00","06/05/03 00:00:00","A","1","9.1231.A.1","2018-09-10","2018-09-10","A","1"
"6",9.1236,"9.1236.A.4",NA,NA,"04/15/03 00:00:00","04/15/03 00:00:00","A","4","9.1236.A.1","2018-08-24","2018-08-24","A","1"
"7",9.1241,"9.1241.A.1",NA,NA,"04/08/03 00:00:00","04/08/03 00:00:00","A","1","9.1241.A.1","2018-09-18","2018-09-18","A","1"
"8",9.1252,"9.1252.A.4",NA,NA,"04/15/03 00:00:00","04/15/03 00:00:00","A","4","9.1252.A.1","2018-11-24","2018-11-24","A","1"
"9",9.1256,"9.1256.A.1",NA,NA,"03/03/03 00:00:00","03/03/03 00:00:00","A","1","9.1256.A.1","2018-11-05","2018-11-05","A","1"
"10",9.1271,"9.1271.A.1",NA,NA,"05/19/03 00:00:00","05/19/03 00:00:00","A","1","9.1271.A.1","2018-10-23","2018-10-23","A","1"
"11",9.1278,"9.1278.A.1",NA,NA,"05/19/03 00:00:00","05/19/03 00:00:00","A","1","9.1278.A.1","2018-11-22","2018-11-22","A","1"
"12",9.1284,"9.1284.A.4",NA,NA,"05/23/03 00:00:00","05/23/03 00:00:00","A","4","9.1284.A.1","2018-10-24","2018-10-24","A","1"
