"","PlotID0","PlotID","Provincia","Origen","Estadillo","Cla","Subclase","nArbol","OrdenIFActual","OrdenIFAnterior","Rumbo","Distancia","DRed","Especie","Diametro1","Diametro2","Altura","Calidad","Forma","ParEsp","Agente","Import","Elemento","Compara"
"44191","2.1173","2.1173.A.1",2,2,1173,"A","1",1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"44192","2.1173","2.1173.A.1",2,2,1173,"A","1",2,1,2,30,18.8,NA,26,562,544,18,3,2,NA,311,1,"2",""
"44193","2.1173","2.1173.A.1",2,2,1173,"A","1",3,2,3,89,15.3,NA,26,497,513,13.5,3,2,NA,311,1,"2",""
"44194","2.1173","2.1173.A.1",2,2,1173,"A","1",4,3,4,89,7.1,NA,26,485,475,16,3,2,NA,311,1,"2",""
"44195","2.1173","2.1173.A.1",2,2,1173,"A","1",5,4,5,99,16.2,NA,26,345,364,11.5,3,2,NA,311,1,"2",""
"44196","2.1173","2.1173.A.1",2,2,1173,"A","1",6,5,6,122,27.5,NA,26,443,449,9,3,2,NA,311,1,"2",""
"44197","2.1173","2.1173.A.1",2,2,1173,"A","1",7,6,0,135,14.4,NA,26,228,237,7,3,2,NA,311,1,"2",""
"44198","2.1173","2.1173.A.1",2,2,1173,"A","1",8,7,7,146,9.3,NA,26,392,385,12.5,3,2,3025,311,1,"2",""
"44199","2.1173","2.1173.A.1",2,2,1173,"A","1",9,8,8,164,11.9,NA,23,368,389,12,3,2,NA,311,1,"2",""
"44200","2.1173","2.1173.A.1",2,2,1173,"A","1",10,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"44201","2.1173","2.1173.A.1",2,2,1173,"A","1",11,9,0,182,11.2,NA,26,225,227,9,3,2,NA,311,1,"2",""
"44202","2.1173","2.1173.A.1",2,2,1173,"A","1",12,10,10,188,7.9,NA,23,366,360,11,3,2,NA,311,1,"2",""
"44203","2.1173","2.1173.A.1",2,2,1173,"A","1",13,11,11,210,9.9,NA,26,228,218,7,4,5,NA,311,2,"2",""
"44204","2.1173","2.1173.A.1",2,2,1173,"A","1",14,12,12,217,14.6,NA,23,255,252,9.5,3,2,NA,311,1,"2",""
"44205","2.1173","2.1173.A.1",2,2,1173,"A","1",15,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"44206","2.1173","2.1173.A.1",2,2,1173,"A","1",16,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"44207","2.1173","2.1173.A.1",2,2,1173,"A","1",17,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"44208","2.1173","2.1173.A.1",2,2,1173,"A","1",18,13,16,286,12.6,NA,26,455,452,13,3,2,NA,311,1,"2",""
"44209","2.1173","2.1173.A.1",2,2,1173,"A","1",19,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"44210","2.1173","2.1173.A.1",2,2,1173,"A","1",20,14,18,310,1.5,NA,26,514,524,13.5,3,2,NA,311,1,"2",""
"44211","2.1173","2.1173.A.1",2,2,1173,"A","1",21,15,19,330,24.4,NA,26,499,518,13.5,3,2,NA,311,1,"2",""
"44212","2.1173","2.1173.A.1",2,2,1173,"A","1",22,16,20,347,12.5,NA,26,392,393,12,3,2,NA,316,1,"9",""
"44213","2.1173","2.1173.A.1",2,2,1173,"A","1",23,17,21,366,13.9,NA,23,517,544,15,3,2,NA,311,1,"2",""
"44214","2.1173","2.1173.A.1",2,2,1173,"A","1",24,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"44215","2.1173","2.1173.A.1",2,2,1173,"A","1",25,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"44216","2.1173","2.1173.A.1",2,2,1173,"A","1",26,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"44217","2.1173","2.1173.A.1",2,2,1173,"A","1",27,18,25,388,12.4,NA,24,433,460,16.5,3,2,NA,311,1,"2",""
"44218","2.1173","2.1173.A.1",2,2,1173,"A","1",28,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"73714","5.35","5.35.A.1",5,5,35,"A","1",1,1,1,23,11.8,NA,26,362,373,11,2,2,2202,100,NA,"","X"
"73715","5.35","5.35.A.1",5,5,35,"A","1",2,0,2,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,"","X"
"73716","5.35","5.35.A.1",5,5,35,"A","1",3,0,3,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,"","X"
"73717","5.35","5.35.A.1",5,5,35,"A","1",4,2,4,66,3.2,NA,26,322,326,12.5,2,2,2203,100,NA,"","X"
"73718","5.35","5.35.A.1",5,5,35,"A","1",5,0,5,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,"","X"
"73719","5.35","5.35.A.1",5,5,35,"A","1",6,3,6,178,13.8,NA,26,260,265,11,2,2,NA,100,NA,"","X"
"73720","5.35","5.35.A.1",5,5,35,"A","1",7,4,0,184,11.2,NA,26,264,269,10.5,2,2,NA,100,NA,"","X"
"73721","5.35","5.35.A.1",5,5,35,"A","1",8,5,7,193,8.1,NA,26,256,247,8,2,2,NA,100,NA,"","X"
"73722","5.35","5.35.A.1",5,5,35,"A","1",9,6,8,228,11.2,NA,23,288,299,10,2,4,NA,100,NA,"","X"
"73723","5.35","5.35.A.1",5,5,35,"A","1",10,7,9,236,12.8,NA,26,259,275,11.5,2,2,NA,100,NA,"","X"
"73724","5.35","5.35.A.1",5,5,35,"A","1",11,8,10,259,11.6,NA,23,347,343,10,2,4,NA,100,NA,"","X"
"73725","5.35","5.35.A.1",5,5,35,"A","1",12,9,11,310,12.7,NA,26,329,305,12,3,2,2203,312,1,"9","X"
"73726","5.35","5.35.A.1",5,5,35,"A","1",13,10,12,373,5.3,NA,26,288,329,13.5,3,2,2203,312,1,"9","X"
"74123","5.96","5.96.A.1",5,5,96,"A","1",1,1,1,21,8.8,NA,26,242,235,7.5,3,2,NA,311,1,"2","X"
"74124","5.96","5.96.A.1",5,5,96,"A","1",2,2,0,40,14.2,NA,26,226,244,8.5,3,2,NA,311,1,"2","X"
"74125","5.96","5.96.A.1",5,5,96,"A","1",3,3,2,40,11.3,NA,26,272,286,8,3,2,NA,311,1,"2","X"
"74126","5.96","5.96.A.1",5,5,96,"A","1",4,4,3,43,7.6,NA,26,232,226,6.5,3,5,NA,311,1,"2","X"
"74127","5.96","5.96.A.1",5,5,96,"A","1",5,5,4,47,2.7,NA,26,174,176,5.5,3,3,NA,311,1,"2","X"
"74128","5.96","5.96.A.1",5,5,96,"A","1",6,6,0,70,11.2,NA,26,230,224,7.5,3,2,NA,311,1,"2","X"
"74129","5.96","5.96.A.1",5,5,96,"A","1",7,7,0,77,14.8,NA,26,227,227,7.5,3,2,NA,311,1,"2","X"
"74130","5.96","5.96.A.1",5,5,96,"A","1",8,8,5,84,11.2,NA,26,274,278,8,3,2,NA,311,1,"2","X"
"74131","5.96","5.96.A.1",5,5,96,"A","1",9,0,6,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,"","X"
"74132","5.96","5.96.A.1",5,5,96,"A","1",10,9,0,124,14,NA,26,241,229,7.5,3,2,NA,311,1,"2","X"
"74133","5.96","5.96.A.1",5,5,96,"A","1",11,10,7,135,14.2,NA,23,385,379,10,2,4,NA,100,NA,"","X"
"74134","5.96","5.96.A.1",5,5,96,"A","1",12,11,8,196,13.7,NA,23,344,336,10,2,4,NA,100,NA,"","X"
"74135","5.96","5.96.A.1",5,5,96,"A","1",13,12,9,203,13.7,NA,23,348,348,10.5,2,4,NA,100,NA,"","X"
"74136","5.96","5.96.A.1",5,5,96,"A","1",14,888,10,203,1.5,NA,26,254,244,0,6,NA,NA,311,3,"9","X"
"74137","5.96","5.96.A.1",5,5,96,"A","1",15,13,11,208,5,NA,26,196,209,6,3,2,NA,311,1,"2","X"
"74138","5.96","5.96.A.1",5,5,96,"A","1",16,14,12,248,9.8,NA,26,276,270,8,3,2,NA,311,1,"2","X"
"74139","5.96","5.96.A.1",5,5,96,"A","1",17,15,13,253,14.4,NA,26,258,264,8,3,2,NA,311,1,"2","X"
"74140","5.96","5.96.A.1",5,5,96,"A","1",18,16,0,265,14.2,NA,26,229,225,8,3,2,NA,311,1,"2","X"
"74141","5.96","5.96.A.1",5,5,96,"A","1",19,17,14,273,9.8,NA,26,189,184,8,3,2,NA,311,1,"2","X"
"74142","5.96","5.96.A.1",5,5,96,"A","1",20,18,15,283,5.2,NA,26,156,154,6.5,3,3,NA,311,1,"2","X"
"74143","5.96","5.96.A.1",5,5,96,"A","1",21,19,16,286,7.6,NA,26,205,205,8.5,3,2,NA,311,1,"2","X"
"74144","5.96","5.96.A.1",5,5,96,"A","1",22,20,17,310,8.1,NA,26,210,206,8,3,2,NA,311,1,"2","X"
"74145","5.96","5.96.A.1",5,5,96,"A","1",23,21,0,325,10.1,NA,26,229,236,9.5,3,2,NA,311,1,"2","X"
"74146","5.96","5.96.A.1",5,5,96,"A","1",24,22,18,330,8.4,NA,26,229,234,9,3,2,NA,311,1,"2","X"
"74147","5.96","5.96.A.1",5,5,96,"A","1",25,23,19,355,13.6,NA,26,259,253,10,3,2,NA,311,1,"2","X"
"74148","5.96","5.96.A.1",5,5,96,"A","1",26,24,0,383,12.8,NA,26,257,261,8.5,3,2,NA,311,1,"2","X"
"74149","5.96","5.96.A.1",5,5,96,"A","1",27,25,20,391,5.4,NA,26,214,206,7.5,3,2,NA,311,1,"2","X"
"74451","5.119","5.119.A.1",5,5,119,"A","1",1,0,1,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,"","X"
"74452","5.119","5.119.A.1",5,5,119,"A","1",2,1,2,22,13.4,NA,26,344,372,12,2,2,NA,100,NA,"","X"
"74453","5.119","5.119.A.1",5,5,119,"A","1",3,2,0,33,21.8,NA,26,423,438,13,2,2,NA,100,NA,"","X"
"74454","5.119","5.119.A.1",5,5,119,"A","1",4,3,3,49,10.1,NA,26,373,384,11,2,2,NA,100,NA,"","X"
"74455","5.119","5.119.A.1",5,5,119,"A","1",5,4,4,91,14.7,NA,26,414,411,11.5,2,2,NA,100,NA,"","X"
"74456","5.119","5.119.A.1",5,5,119,"A","1",6,0,5,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,"","X"
"74457","5.119","5.119.A.1",5,5,119,"A","1",7,0,6,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,"","X"
"74458","5.119","5.119.A.1",5,5,119,"A","1",8,5,7,207,9.2,NA,23,376,387,12.5,2,2,NA,100,NA,"","X"
"74459","5.119","5.119.A.1",5,5,119,"A","1",9,6,8,226,12.7,NA,23,290,305,11.5,2,2,NA,100,NA,"","X"
"74460","5.119","5.119.A.1",5,5,119,"A","1",10,0,9,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,"","X"
"74461","5.119","5.119.A.1",5,5,119,"A","1",11,7,10,252,10.3,NA,26,285,275,10.5,2,2,NA,100,NA,"","X"
"74462","5.119","5.119.A.1",5,5,119,"A","1",12,8,11,290,14.6,NA,26,252,255,9,4,2,NA,311,2,"2","X"
"74463","5.119","5.119.A.1",5,5,119,"A","1",13,9,12,301,7.3,NA,23,348,341,10,2,4,NA,100,NA,"","X"
"74464","5.119","5.119.A.1",5,5,119,"A","1",14,0,13,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,"","X"
"74524","5.123","5.123.A.1",5,5,123,"A","1",1,1,1,2,3.4,NA,23,179,180,7,2,2,NA,100,NA,"","X"
"74525","5.123","5.123.A.1",5,5,123,"A","1",2,2,2,16,11.4,NA,26,227,232,9,2,2,NA,100,NA,"","X"
"74526","5.123","5.123.A.1",5,5,123,"A","1",3,3,3,21,7.7,NA,26,283,298,9,2,2,NA,100,NA,"","X"
"74527","5.123","5.123.A.1",5,5,123,"A","1",4,4,0,57,11.7,NA,23,239,235,8,2,2,41,100,NA,"","X"
"74528","5.123","5.123.A.1",5,5,123,"A","1",5,0,4,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,"","X"
"74529","5.123","5.123.A.1",5,5,123,"A","1",6,0,5,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,"","X"
"74530","5.123","5.123.A.1",5,5,123,"A","1",7,5,6,90,2.9,NA,26,276,256,8,2,5,NA,100,NA,"","X"
"74531","5.123","5.123.A.1",5,5,123,"A","1",8,6,7,136,8.5,NA,26,180,179,7,2,2,NA,100,NA,"","X"
"74532","5.123","5.123.A.1",5,5,123,"A","1",9,7,0,145,12,NA,23,233,217,7,2,2,41,100,NA,"","X"
"74533","5.123","5.123.A.1",5,5,123,"A","1",10,8,8,153,12.3,NA,26,330,328,9,2,2,NA,100,NA,"","X"
"74534","5.123","5.123.A.1",5,5,123,"A","1",11,9,9,161,6.8,NA,23,217,242,9,2,2,NA,100,NA,"","X"
"74535","5.123","5.123.A.1",5,5,123,"A","1",12,10,10,165,9.3,NA,26,281,280,9,2,2,NA,100,NA,"","X"
"74536","5.123","5.123.A.1",5,5,123,"A","1",13,11,11,172,5,NA,26,199,214,8.5,2,2,NA,100,NA,"","X"
"74537","5.123","5.123.A.1",5,5,123,"A","1",14,0,12,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,"","X"
"74538","5.123","5.123.A.1",5,5,123,"A","1",15,12,13,185,9.2,NA,26,291,297,7.5,2,5,NA,100,NA,"","X"
"74539","5.123","5.123.A.1",5,5,123,"A","1",16,13,14,193,14.6,NA,26,293,298,7.5,2,2,NA,100,NA,"","X"
"74540","5.123","5.123.A.1",5,5,123,"A","1",17,14,0,202,11.9,NA,26,240,231,6.5,2,2,NA,100,NA,"","X"
"74541","5.123","5.123.A.1",5,5,123,"A","1",18,15,15,204,5.2,NA,26,176,171,9,2,3,NA,100,NA,"","X"
