"","Provincia","Estadillo","ESTRATO","FECHGR","CODGR","NUMPMA","NUMTIP","NUMPME","NUMMAT","VERIFICA","FECHAVE","CODVE","HOJA","VUELO","FOTO","COORDEX","COORDEY","ANO","MUNICI","PROPIED1","PROPIED2","AREAPRO1","AREAPRO2","ALTITUD1","ALTITUD2","PENDIEN1","PENDIEN2","USO1","USO2","FRACCION1","FRACCION2","ESPECIA11","ESPECIA12","OCUPA11","OCUPA12","ESTADA11","ESTADA12","ESPECIA21","ESPECIA22","OCUPA21","OCUPA22","ESTADA21","ESTADA22","ESPECIA31","ESPECIA32","OCUPA31","OCUPA32","ESTADA31","ESTADA32","ESPECIB1","MASAB1","ORIGEB1","EDADB1","ESPECIB2","MASAB2","ORIGEB2","EDADB2","ESPECIB3","MASAB3","ORIGEB3","EDADB3","ESPECIE1","ESPECIE2","ESPECIE3","ESPECIE4","ESPECIE5","ESPECIE6","ESPECIE7","CLASUELO","ESPESOR","CLACOBER","CUBIERTA","MEROSIVA1","MEROSIVA2","MEROSIVA3","MEROSIVA4","DISESPAC","COMPESPE","PREPSUEL1","PREPSUEL2","TRAVUELO1","TRAVUELO2","CORTAS","DANOS1","DANOS2","DANOS3","ORIENTA1","ORIENTA2","MAXPEND1","MAXPEND2","PlotID0","CoorX","CoorY","Origen"
"1500",2,25,NA,930528,3,11,4,3,6,"S",930603,3,"0719","1","0719M05","634","4358","93","024","3","3","0","0","05","05","2","5","9","1","40","50","24","24","0","9","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24","3","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"24","91","37","44","68",NA,NA,"2","02","W","20",NA,NA,NA,"1","1","3",NA,"0",NA,"4","4",NA,NA,"01","393",NA,"8.25",NA,"2.25",634000,4358000,2
"1598",2,164,NA,930531,1,1,1,3,5,"S",930604,3,"0744","1","0744M12","654","4339","93","077","2","2","0","0","07","07","3","2","9","1","30","30","24","24","0","8","3","3",NA,"37",NA,"1",NA,"2",NA,"39",NA,"1",NA,"2","24","3","1",NA,"37","3","6",NA,"39","3","6",NA,"24","37","39","45",NA,NA,NA,"3","01","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","4",NA,NA,"01","335",NA,"2.25",NA,"2.164",654000,4339000,2
"1973",2,892,NA,930602,3,20,4,3,5,"S",930609,3,"0841","1","0841L17","568","4267","93","017","1","1","0","0","09","09","2","2","9","1","60","60","24","24","0","6","4","4","26","26","2","2","4","4",NA,"23",NA,"1",NA,"4","24","3","1",NA,"26","3","1",NA,"23","3","1",NA,"24","26","23","39","37","45",NA,"3","02","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0","P504","P204","P404","370",NA,"1.75",NA,"2.892",568000,4267000,2
"2203",2,1104,NA,930531,2,24,4,3,4,"S",930611,2,"0842","1","0842M05","578","4264","93","011","2","2","0","0","11","11","4","5","9","1","75","75","24","24","0","4","3","4",NA,"26",NA,"3",NA,"4",NA,"37",NA,"2",NA,"2","24","3","1",NA,"26","3","1",NA,"37","3","1",NA,"24","26","37","39","45",NA,NA,"2","01","W","19",NA,NA,NA,"1","1","3",NA,"0",NA,"0","0",NA,"M902","G914","257",NA,"11.00",NA,"2.1104",578000,4264000,2
"2229",2,1172,NA,930601,2,30,4,4,4,"S",930611,2,"0865","1","0865J12","541","4258","93","084","2","2","0","0","09","09","4","5","9","1","75","70","26","26","0","6","4","4",NA,"24",NA,"3",NA,"4",NA,"37",NA,"1",NA,"2","26","3","1",NA,"24","3","1",NA,"37","3","6",NA,"26","24","37","45","44",NA,NA,"2","02","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"01","268",NA,"9.50",NA,"2.1172",541000,4258000,2
"2233",2,1176,NA,930601,2,15,4,5,6,"S",930611,2,"0865","1","0865K12","541","4256","93","084","6","6","0","0","08","09","4","5","9","1","75","60","26","24","0","7","4","4",NA,"26",NA,"3",NA,"4",NA,NA,NA,NA,NA,NA,"24","3","1",NA,"26","3","1",NA,NA,NA,NA,NA,"24","26","37","44","45",NA,NA,"3","02","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","4",NA,"M702","M413","310",NA,"8.00",NA,"2.1176",541000,4256000,2
"2287",2,1244,NA,930603,2,25,4,4,3,"S",930615,2,"0866","1","0866J09","561","4257","93","049","6","6","0","0","10","10","3","4","9","1","40","60","26","26","6","5","4","4","24","24","4","3","4","4",NA,NA,NA,NA,NA,NA,"26","3","1",NA,"24","3","1",NA,NA,NA,NA,NA,"26","24","37","39","45",NA,NA,"2","02","W","20",NA,NA,NA,"1","1","3",NA,"0",NA,"0","4",NA,NA,"01","325",NA,"5.50",NA,"2.1244",561000,4257000,2
"2308",2,1266,NA,930603,2,43,4,4,4,"S",930616,2,"0866","1","0866K07","557","4255","93","086","6","6","0","0","09","09","4","4","9","1","80","80","26","24","5","5","4","4","24","26","5","4","4","4",NA,NA,NA,NA,NA,NA,"24","3","1",NA,"26","3","1",NA,NA,NA,NA,NA,"24","26","37","25","45",NA,NA,"2","02","W","20",NA,NA,NA,"1","1","3",NA,"0",NA,"0","4",NA,NA,"01","290",NA,"5.75",NA,"2.1266",557000,4255000,2
"2309",2,1267,NA,930603,2,20,4,3,4,"S",930616,2,"0866","1","0866K08","559","4255","93","086","6","6","0","0","11","11","4","5","9","1","60","60","24","24","8","7","4","4","26","26","2","2","4","4",NA,"37",NA,"1",NA,"2","24","3","1",NA,"26","3","1",NA,"37","3","6",NA,"24","26","37","45",NA,NA,NA,"2","01","W","20",NA,NA,NA,"1","1","3",NA,"0",NA,"0","4",NA,NA,"01","275",NA,"7.25",NA,"2.1267",559000,4255000,2
"2316",2,1275,NA,930604,2,28,4,4,5,"S",930616,2,"0866","1","0866K08","558","4254","93","086","6","6","0","0","09","09","4","5","9","1","70","60","24","26","0","6","4","4",NA,"24",NA,"3",NA,"4",NA,NA,NA,NA,NA,NA,"26","3","1",NA,"24","3","1",NA,NA,NA,NA,NA,"26","24","37","68","45",NA,NA,"2","02","W","20",NA,NA,NA,"1","1","3",NA,"0",NA,"0","4",NA,NA,"01","280",NA,"13.25",NA,"2.1275",558000,4254000,2
"2341",2,1319,NA,930607,2,20,4,2,5,"S",930617,2,"0866","1","0866L05","551","4248","93","086","1","1","0","0","09","09","5","5","9","1","60","50","26","24","6","7","4","4","24","26","4","2","4","4",NA,NA,NA,NA,NA,NA,"24","3","1",NA,"26","3","1",NA,NA,NA,NA,NA,"24","26","37","45",NA,NA,NA,"2","01","W","19",NA,NA,NA,"1","1","3",NA,"0",NA,"0","4",NA,NA,"01","285",NA,"8.50",NA,"2.1319",551000,4248000,2
"2352",2,1346,NA,930607,2,18,4,4,3,"S",930617,2,"0866","1","0866M08","556","4246","93","086","6","6","0","0","11","11","4","5","9","1","60","40","26","26","0","5","4","4",NA,"24",NA,"3",NA,"4",NA,NA,NA,NA,NA,NA,"26","3","1",NA,"24","3","1",NA,NA,NA,NA,NA,"26","24","37","39","45",NA,NA,"2","01","W","19",NA,NA,NA,"1","1","3",NA,"0",NA,"0","4",NA,NA,"01","215",NA,"11.00",NA,"2.1346",556000,4246000,2
"2356",2,1358,NA,930607,2,31,4,6,3,"S",930617,2,"0866","1","0866M09","558","4245","93","086","1","1","0","0","09","09","4","4","9","1","70","70","26","26","5","4","4","4","24","24","5","4","4","4",NA,"25",NA,"1",NA,"4","26","3","1",NA,"24","3","1",NA,"25","3","1",NA,"26","24","25","37","39","45",NA,"2","01","W","20",NA,NA,NA,"1","1","3",NA,"0",NA,"0","4",NA,NA,"01","380",NA,"5.00",NA,"2.1358",558000,4245000,2
