"","PlotID0","PlotID","Provincia","Origen","Estadillo","Cla","Subclase","nArbol","OrdenIFActual","OrdenIFAnterior","Rumbo","Distancia","DRed","Especie","Diametro1","Diametro2","Altura","Calidad","Forma","ParEsp","Agente","Import","Elemento","Compara"
"35170","2.250","2.250.A.1",2,2,250,"A","1",1,1,1,22,10.3,NA,26,451,403,15.5,2,2,255,322,2,"4",""
"35171","2.250","2.250.A.1",2,2,250,"A","1",2,2,2,36,22.8,NA,24,703,703,16.5,3,2,2515,322,1,"4",""
"35172","2.250","2.250.A.1",2,2,250,"A","1",3,3,3,36,4.8,NA,26,442,456,15,2,2,258,322,2,"4",""
"35173","2.250","2.250.A.1",2,2,250,"A","1",4,4,0,67,21.3,NA,26,502,484,15.5,2,2,259,322,2,"4",""
"35174","2.250","2.250.A.1",2,2,250,"A","1",5,5,4,167,4,NA,26,246,257,7.5,3,2,NA,316,1,"9",""
"35175","2.250","2.250.A.1",2,2,250,"A","1",6,6,5,218,6.6,NA,24,433,373,14.6,3,2,259,322,1,"4",""
"35176","2.250","2.250.A.1",2,2,250,"A","1",7,7,0,221,19.8,NA,24,470,470,14.5,2,2,NA,100,NA,"",""
"35177","2.250","2.250.A.1",2,2,250,"A","1",8,8,6,224,9.6,NA,24,322,328,14.6,3,2,NA,316,1,"9",""
"35178","2.250","2.250.A.1",2,2,250,"A","1",9,9,7,225,15,NA,26,393,392,15,2,2,NA,100,NA,"",""
"35179","2.250","2.250.A.1",2,2,250,"A","1",10,10,0,233,17,NA,24,480,435,17,3,2,258,322,1,"4",""
"35180","2.250","2.250.A.1",2,2,250,"A","1",11,11,8,274,11,NA,24,390,436,12.5,3,2,258,316,1,"9",""
"35181","2.250","2.250.A.1",2,2,250,"A","1",12,12,9,291,8.3,NA,24,186,200,11,2,2,NA,100,NA,"",""
"35182","2.250","2.250.A.1",2,2,250,"A","1",13,13,10,308,8.9,NA,24,218,221,9.5,2,5,NA,100,NA,"",""
"35183","2.250","2.250.A.1",2,2,250,"A","1",14,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"35184","2.250","2.250.A.1",2,2,250,"A","1",15,14,12,360,13.6,NA,24,530,599,14.5,3,2,2519,322,1,"4",""
"36003","2.387","2.387.A.1",2,2,387,"A","1",1,1,1,3,5.7,NA,26,277,281,9.5,2,2,NA,100,NA,"",""
"36004","2.387","2.387.A.1",2,2,387,"A","1",2,2,2,22,3,NA,26,231,236,9,2,2,NA,100,NA,"",""
"36005","2.387","2.387.A.1",2,2,387,"A","1",3,3,0,30,10.5,NA,26,244,245,9,2,2,NA,100,NA,"",""
"36006","2.387","2.387.A.1",2,2,387,"A","1",4,4,3,65,7.5,NA,26,214,210,8.5,2,2,42,100,NA,"",""
"36007","2.387","2.387.A.1",2,2,387,"A","1",5,5,4,68,7.7,NA,26,253,243,9,2,2,42,100,NA,"",""
"36008","2.387","2.387.A.1",2,2,387,"A","1",6,6,0,100,12.5,NA,26,306,292,9.5,2,2,NA,100,NA,"",""
"36009","2.387","2.387.A.1",2,2,387,"A","1",7,7,5,102,2,NA,26,226,218,7.5,2,2,NA,100,NA,"",""
"36010","2.387","2.387.A.1",2,2,387,"A","1",8,8,0,102,14.7,NA,26,231,224,8,2,2,NA,100,NA,"",""
"36011","2.387","2.387.A.1",2,2,387,"A","1",9,9,0,124,8.7,NA,24,191,178,7,3,5,NA,200,1,"9",""
"36012","2.387","2.387.A.1",2,2,387,"A","1",10,10,6,153,4,NA,26,244,247,9.5,2,2,NA,100,NA,"",""
"36013","2.387","2.387.A.1",2,2,387,"A","1",11,11,7,169,9.7,NA,26,261,272,9.5,2,2,NA,100,NA,"",""
"36014","2.387","2.387.A.1",2,2,387,"A","1",12,12,8,171,12.2,NA,26,266,272,10,2,2,NA,100,NA,"",""
"36015","2.387","2.387.A.1",2,2,387,"A","1",13,13,0,172,14.3,NA,24,310,293,10,2,2,NA,100,NA,"",""
"36016","2.387","2.387.A.1",2,2,387,"A","1",14,14,9,178,9.2,NA,26,157,172,7,3,2,NA,316,1,"9",""
"36017","2.387","2.387.A.1",2,2,387,"A","1",15,15,0,211,13.9,NA,26,242,254,8,2,2,NA,100,NA,"",""
"36018","2.387","2.387.A.1",2,2,387,"A","1",16,16,10,227,5.9,NA,26,177,184,9,2,2,NA,100,NA,"",""
"36019","2.387","2.387.A.1",2,2,387,"A","1",17,17,11,235,7.9,NA,24,233,226,9.5,3,2,NA,200,1,"9",""
"36020","2.387","2.387.A.1",2,2,387,"A","1",18,18,12,254,6.7,NA,24,212,211,9.5,3,2,NA,200,1,"2",""
"36021","2.387","2.387.A.1",2,2,387,"A","1",19,19,13,260,14.9,NA,24,332,309,12,2,2,NA,100,NA,"",""
"36022","2.387","2.387.A.1",2,2,387,"A","1",20,20,0,267,13.9,NA,24,247,247,12,2,2,NA,100,NA,"",""
"36023","2.387","2.387.A.1",2,2,387,"A","1",21,21,0,274,9.2,NA,26,149,145,6.5,2,2,NA,100,NA,"",""
"36024","2.387","2.387.A.1",2,2,387,"A","1",22,22,14,292,9.3,NA,24,239,234,9.5,3,2,NA,200,2,"2",""
"36025","2.387","2.387.A.1",2,2,387,"A","1",23,23,15,329,5.2,NA,26,184,179,7.5,2,2,NA,100,NA,"",""
"36026","2.387","2.387.A.1",2,2,387,"A","1",24,24,0,336,9.3,NA,26,168,174,7,2,2,NA,100,NA,"",""
"36027","2.387","2.387.A.1",2,2,387,"A","1",25,25,16,346,7.9,NA,26,203,212,8,2,2,42,100,NA,"",""
"36028","2.387","2.387.A.1",2,2,387,"A","1",26,26,0,349,7.6,NA,26,181,176,7.5,2,2,3025,100,NA,"",""
"36842","2.553","2.553.A.1",2,2,553,"A","1",1,1,0,3,7.2,NA,24,159,162,7,2,2,NA,100,NA,"",""
"36843","2.553","2.553.A.1",2,2,553,"A","1",2,2,0,9,6.5,NA,24,149,140,6,2,2,NA,100,NA,"",""
"36844","2.553","2.553.A.1",2,2,553,"A","1",3,3,1,24,5,NA,26,159,163,5.5,3,3,NA,316,1,"9",""
"36845","2.553","2.553.A.1",2,2,553,"A","1",4,888,2,32,3.1,NA,26,120,118,NA,6,NA,NA,200,3,"9",""
"36846","2.553","2.553.A.1",2,2,553,"A","1",5,4,3,54,3.8,NA,24,229,227,9,2,2,NA,100,NA,"",""
"36847","2.553","2.553.A.1",2,2,553,"A","1",6,5,4,66,3.8,NA,24,162,154,8,2,2,NA,100,NA,"",""
"36848","2.553","2.553.A.1",2,2,553,"A","1",7,888,5,84,4.6,NA,26,104,103,NA,6,NA,NA,200,3,"9",""
"36849","2.553","2.553.A.1",2,2,553,"A","1",8,888,6,94,4.6,NA,26,105,98,NA,6,NA,NA,200,3,"9",""
"36850","2.553","2.553.A.1",2,2,553,"A","1",9,6,7,109,4.1,NA,24,152,161,7.5,2,2,NA,100,NA,"",""
"36851","2.553","2.553.A.1",2,2,553,"A","1",10,7,0,118,5.9,NA,24,213,214,9.5,2,2,NA,100,NA,"",""
"36852","2.553","2.553.A.1",2,2,553,"A","1",11,8,0,133,6.1,NA,24,144,149,7.5,2,2,NA,100,NA,"",""
"36853","2.553","2.553.A.1",2,2,553,"A","1",12,9,0,136,7.8,NA,24,178,175,8.5,2,2,NA,100,NA,"",""
"36854","2.553","2.553.A.1",2,2,553,"A","1",13,10,0,143,9.8,NA,24,135,141,7.5,3,3,NA,316,1,"9",""
"36855","2.553","2.553.A.1",2,2,553,"A","1",14,11,0,147,9.4,NA,24,172,171,8,2,2,NA,100,NA,"",""
"36856","2.553","2.553.A.1",2,2,553,"A","1",15,12,8,212,9.4,NA,26,172,174,6.5,2,2,NA,100,NA,"",""
"36857","2.553","2.553.A.1",2,2,553,"A","1",16,13,9,249,6,NA,26,189,201,6,2,3,NA,100,NA,"",""
"36858","2.553","2.553.A.1",2,2,553,"A","1",17,14,10,261,4.7,NA,24,185,183,8.5,2,2,NA,100,NA,"",""
"36859","2.553","2.553.A.1",2,2,553,"A","1",18,15,11,279,4,NA,24,142,144,7.5,2,3,NA,100,NA,"",""
"36860","2.553","2.553.A.1",2,2,553,"A","1",19,16,0,301,6.5,NA,24,130,130,6,2,3,NA,100,NA,"",""
"36861","2.553","2.553.A.1",2,2,553,"A","1",20,17,12,308,4.9,NA,24,162,161,8.5,2,2,NA,100,NA,"",""
"36862","2.553","2.553.A.1",2,2,553,"A","1",21,18,0,353,4.9,NA,45,81,85,4,2,3,45,100,NA,"",""
"36863","2.553","2.553.A.1",2,2,553,"A","1",22,19,0,397,8.8,NA,24,135,141,7,2,2,NA,100,NA,"",""
"37321","2.605","2.605.A.1",2,2,605,"A","1",1,1,1,10,4.8,NA,24,168,170,6.5,2,3,NA,100,NA,"",""
"37322","2.605","2.605.A.1",2,2,605,"A","1",2,2,0,14,2.9,NA,24,90,92,5,3,3,NA,311,1,"2",""
"37323","2.605","2.605.A.1",2,2,605,"A","1",3,3,0,31,10.5,NA,26,224,230,6.5,2,2,NA,100,NA,"",""
"37324","2.605","2.605.A.1",2,2,605,"A","1",4,4,0,57,4,NA,24,110,117,6,3,3,NA,311,1,"2",""
"37325","2.605","2.605.A.1",2,2,605,"A","1",5,5,2,161,13.4,NA,26,353,370,9.5,2,2,NA,100,NA,"",""
"37326","2.605","2.605.A.1",2,2,605,"A","1",6,6,3,173,12.4,NA,26,370,388,10.5,2,2,NA,100,NA,"",""
"37327","2.605","2.605.A.1",2,2,605,"A","1",7,7,0,173,4.1,NA,24,96,93,5,3,3,NA,311,1,"2",""
"37328","2.605","2.605.A.1",2,2,605,"A","1",8,8,0,197,5,NA,24,87,83,6,2,3,NA,100,NA,"",""
"37329","2.605","2.605.A.1",2,2,605,"A","1",9,9,4,214,10.9,NA,26,323,319,9.5,2,2,NA,100,NA,"",""
"37330","2.605","2.605.A.1",2,2,605,"A","1",10,10,0,215,3.2,NA,24,137,135,6,2,3,NA,100,NA,"",""
"37331","2.605","2.605.A.1",2,2,605,"A","1",11,11,0,243,3.9,NA,24,108,104,6,2,3,NA,100,NA,"",""
"37332","2.605","2.605.A.1",2,2,605,"A","1",12,12,0,257,4.8,NA,24,94,91,5.5,2,2,41,100,NA,"",""
"37333","2.605","2.605.A.1",2,2,605,"A","1",13,13,0,268,6.5,NA,24,130,123,6.5,2,3,41,100,NA,"",""
"37334","2.605","2.605.A.1",2,2,605,"A","1",14,14,0,346,4.2,NA,24,88,85,4.5,3,3,NA,311,1,"2",""
"37335","2.605","2.605.A.1",2,2,605,"A","1",15,15,0,371,5.4,NA,24,132,126,6.5,3,3,41,311,1,"2",""
"39473","2.805","2.805.A.1",2,2,805,"A","1",1,1,1,0,4.8,NA,26,332,344,10,3,2,42,311,1,"2",""
"39474","2.805","2.805.A.1",2,2,805,"A","1",2,2,2,145,6.5,NA,24,502,472,14.5,2,2,NA,100,NA,"",""
"39475","2.805","2.805.A.1",2,2,805,"A","1",3,3,3,150,3.9,NA,24,479,449,14.5,2,2,NA,100,NA,"",""
"39476","2.805","2.805.A.1",2,2,805,"A","1",4,4,4,171,9.4,NA,24,399,390,11.5,2,2,NA,100,NA,"",""
"39477","2.805","2.805.A.1",2,2,805,"A","1",5,888,5,201,24.2,NA,26,569,571,NA,6,NA,NA,300,3,"9",""
"39478","2.805","2.805.A.1",2,2,805,"A","1",6,888,6,209,10.1,NA,26,307,307,NA,6,NA,NA,300,3,"9",""
"39479","2.805","2.805.A.1",2,2,805,"A","1",7,5,7,231,6.7,NA,24,301,318,10,2,2,NA,100,NA,"",""
