"","PlotID0","PlotID","Provincia","Origen","Estadillo","Cla","Subclase","nArbol","OrdenIFActual","OrdenIFAnterior","Rumbo","Distancia","DRed","Especie","Diametro1","Diametro2","Altura","Calidad","Forma","ParEsp","Agente","Import","Elemento","Compara"
"39480","2.805","2.805.A.1",2,2,805,"A","1",8,888,8,233,13.9,NA,26,310,320,NA,6,NA,NA,300,3,"9",""
"39481","2.805","2.805.A.1",2,2,805,"A","1",9,6,0,254,18,NA,24,472,466,13.5,2,2,42,100,NA,"",""
"39482","2.805","2.805.A.1",2,2,805,"A","1",10,7,9,286,14.1,NA,24,285,287,10.5,2,2,NA,100,NA,"",""
"39483","2.805","2.805.A.1",2,2,805,"A","1",11,8,10,300,7.8,NA,26,270,276,7,3,2,NA,311,1,"2",""
"39484","2.805","2.805.A.1",2,2,805,"A","1",12,9,11,301,20.3,NA,24,533,480,14,2,2,NA,100,NA,"",""
"39485","2.805","2.805.A.1",2,2,805,"A","1",13,10,12,324,11.2,NA,26,356,345,8,2,2,NA,100,NA,"",""
"39486","2.805","2.805.A.1",2,2,805,"A","1",14,11,0,327,23.6,NA,24,520,465,13,2,2,NA,100,NA,"",""
"39487","2.805","2.805.A.1",2,2,805,"A","1",15,12,13,395,5.2,NA,26,400,403,10.5,3,2,42,311,1,"2",""
"39798","2.827","2.827.A.1",2,2,827,"A","1",1,1,1,6,7.8,NA,26,229,220,8.8,2,2,NA,100,NA,"",""
"39799","2.827","2.827.A.1",2,2,827,"A","1",2,2,2,9,9.4,NA,26,241,235,10.2,2,2,NA,100,NA,"",""
"39800","2.827","2.827.A.1",2,2,827,"A","1",3,3,3,31,8,NA,26,210,198,9.4,2,2,NA,100,NA,"",""
"39801","2.827","2.827.A.1",2,2,827,"A","1",4,4,4,44,14.4,NA,26,287,288,12,2,2,NA,100,NA,"",""
"39802","2.827","2.827.A.1",2,2,827,"A","1",5,5,5,48,7.1,NA,26,240,238,9,2,2,NA,100,NA,"",""
"39803","2.827","2.827.A.1",2,2,827,"A","1",6,6,6,54,24,NA,24,514,495,15.5,2,2,NA,100,NA,"",""
"39804","2.827","2.827.A.1",2,2,827,"A","1",7,7,0,61,4.6,NA,24,116,115,9,2,3,NA,100,NA,"",""
"39805","2.827","2.827.A.1",2,2,827,"A","1",8,8,7,87,6.1,NA,24,267,269,12,2,2,NA,100,NA,"",""
"39806","2.827","2.827.A.1",2,2,827,"A","1",9,9,0,119,14.2,NA,24,252,262,10.5,2,2,NA,100,NA,"",""
"39807","2.827","2.827.A.1",2,2,827,"A","1",10,10,0,123,17.4,NA,26,445,420,11,3,2,NA,311,1,"1",""
"39808","2.827","2.827.A.1",2,2,827,"A","1",11,11,8,137,13.8,NA,26,291,272,10,2,2,NA,100,NA,"",""
"39809","2.827","2.827.A.1",2,2,827,"A","1",12,12,9,144,23.7,NA,25,478,433,13.5,3,2,NA,311,1,"2",""
"39810","2.827","2.827.A.1",2,2,827,"A","1",13,13,10,167,14.1,NA,26,490,472,12.1,2,2,NA,100,NA,"",""
"39811","2.827","2.827.A.1",2,2,827,"A","1",14,14,0,182,11.7,NA,24,276,283,10.8,2,2,NA,100,NA,"",""
"39812","2.827","2.827.A.1",2,2,827,"A","1",15,15,0,200,22.4,NA,26,472,446,12.4,2,2,NA,100,NA,"",""
"39813","2.827","2.827.A.1",2,2,827,"A","1",16,16,0,217,4.1,NA,24,82,83,6.4,2,3,NA,100,NA,"",""
"39814","2.827","2.827.A.1",2,2,827,"A","1",17,17,11,220,9.7,NA,26,200,197,11.4,2,2,NA,100,NA,"",""
"39815","2.827","2.827.A.1",2,2,827,"A","1",18,18,12,237,8.1,NA,26,335,330,15.1,2,2,NA,100,NA,"",""
"39816","2.827","2.827.A.1",2,2,827,"A","1",19,19,13,241,9.9,NA,26,227,230,11,2,2,NA,100,NA,"",""
"39817","2.827","2.827.A.1",2,2,827,"A","1",20,20,14,268,6.8,NA,26,331,312,14.4,2,2,NA,100,NA,"",""
"39818","2.827","2.827.A.1",2,2,827,"A","1",21,21,0,280,11.6,NA,26,252,263,9.7,2,2,NA,100,NA,"",""
"39819","2.827","2.827.A.1",2,2,827,"A","1",22,22,15,284,6.8,NA,26,164,167,8.8,2,2,NA,100,NA,"",""
"39820","2.827","2.827.A.1",2,2,827,"A","1",23,888,16,294,6.8,NA,26,177,176,NA,6,NA,NA,311,3,"9",""
"39821","2.827","2.827.A.1",2,2,827,"A","1",24,23,0,298,13.1,NA,26,264,255,9.7,2,2,NA,100,NA,"",""
"39822","2.827","2.827.A.1",2,2,827,"A","1",25,24,0,336,12.6,NA,26,230,236,7.7,2,2,NA,100,NA,"",""
"39823","2.827","2.827.A.1",2,2,827,"A","1",26,25,0,377,11.6,NA,26,247,250,9.5,2,2,NA,100,NA,"",""
"40913","2.892","2.892.A.4",2,2,892,"A","4",1,1,0,51,11.4,NA,24,400,418,13,2,2,41,100,NA,"",""
"40914","2.892","2.892.A.4",2,2,892,"A","4",2,2,0,55,8.9,NA,26,213,224,9.5,2,2,NA,100,NA,"",""
"40915","2.892","2.892.A.4",2,2,892,"A","4",3,3,0,81,4.2,NA,26,145,155,6.5,2,3,NA,100,NA,"",""
"40916","2.892","2.892.A.4",2,2,892,"A","4",4,4,0,82,10.3,NA,26,267,277,8.5,2,2,NA,100,NA,"",""
"40917","2.892","2.892.A.4",2,2,892,"A","4",5,5,0,108,9.4,NA,26,127,133,8.5,3,3,42,300,1,"9",""
"40918","2.892","2.892.A.4",2,2,892,"A","4",6,6,0,109,9.5,NA,26,167,160,9.5,2,2,42,100,NA,"",""
"40919","2.892","2.892.A.4",2,2,892,"A","4",7,7,0,119,9.6,NA,24,260,238,11.5,2,2,42,100,NA,"",""
"40920","2.892","2.892.A.4",2,2,892,"A","4",8,8,0,123,9.2,NA,24,310,308,11.5,2,2,42,100,NA,"",""
"40921","2.892","2.892.A.4",2,2,892,"A","4",9,9,0,150,4.4,NA,26,212,207,10.5,2,2,NA,100,NA,"",""
"40922","2.892","2.892.A.4",2,2,892,"A","4",10,10,0,159,2.2,NA,26,262,256,11,2,2,NA,100,NA,"",""
"40923","2.892","2.892.A.4",2,2,892,"A","4",11,11,0,175,7.2,NA,26,231,245,11.5,2,2,NA,100,NA,"",""
"40924","2.892","2.892.A.4",2,2,892,"A","4",12,12,0,246,13.5,NA,26,254,260,9.5,2,2,NA,100,NA,"",""
"40925","2.892","2.892.A.4",2,2,892,"A","4",13,13,0,265,11.2,NA,26,257,265,10.5,2,2,NA,100,NA,"",""
"40926","2.892","2.892.A.4",2,2,892,"A","4",14,14,0,277,9.6,NA,26,169,166,8.5,2,2,NA,100,NA,"",""
"40927","2.892","2.892.A.4",2,2,892,"A","4",15,15,0,293,5.2,NA,26,177,198,8.5,2,2,42,100,NA,"",""
"40928","2.892","2.892.A.4",2,2,892,"A","4",16,16,0,295,5.4,NA,26,186,191,9,2,2,42,100,NA,"",""
"40929","2.892","2.892.A.4",2,2,892,"A","4",17,17,0,300,14.8,NA,26,235,230,9,2,2,NA,100,NA,"",""
"40930","2.892","2.892.A.4",2,2,892,"A","4",18,18,0,325,8.7,NA,26,224,232,8,2,2,NA,100,NA,"",""
"40931","2.892","2.892.A.4",2,2,892,"A","4",19,19,0,341,7.7,NA,26,347,367,10,2,2,NA,100,NA,"",""
"40932","2.892","2.892.A.4",2,2,892,"A","4",20,20,0,395,12.2,NA,24,270,285,12,2,2,NA,100,NA,"",""
"41207","2.908","2.908.A.1",2,2,908,"A","1",1,1,1,7,9.1,NA,26,170,187,9.6,2,2,NA,100,NA,"",""
"41208","2.908","2.908.A.1",2,2,908,"A","1",2,2,0,29,10,NA,26,129,127,8.5,2,2,NA,100,NA,"",""
"41209","2.908","2.908.A.1",2,2,908,"A","1",3,3,0,36,12.3,NA,26,233,263,12.5,2,2,NA,100,NA,"",""
"41210","2.908","2.908.A.1",2,2,908,"A","1",4,4,2,53,16.5,NA,26,345,365,14.1,2,2,NA,100,NA,"",""
"41211","2.908","2.908.A.1",2,2,908,"A","1",5,5,3,75,10.2,NA,26,370,379,13.5,2,2,NA,100,NA,"",""
"41212","2.908","2.908.A.1",2,2,908,"A","1",6,6,4,116,14.5,NA,24,307,295,13.5,2,2,NA,100,NA,"",""
"41213","2.908","2.908.A.1",2,2,908,"A","1",7,7,0,151,7.4,NA,26,139,137,9.3,2,2,NA,100,NA,"",""
"41214","2.908","2.908.A.1",2,2,908,"A","1",8,8,5,178,15.5,NA,26,320,327,10,4,2,NA,411,2,"7",""
"41215","2.908","2.908.A.1",2,2,908,"A","1",9,9,6,187,1.2,NA,26,109,115,5,4,5,NA,200,2,"9",""
"41216","2.908","2.908.A.1",2,2,908,"A","1",10,10,7,215,3.2,NA,26,300,297,15.8,2,2,NA,100,NA,"",""
"41217","2.908","2.908.A.1",2,2,908,"A","1",11,11,8,218,13,NA,26,270,291,14.2,2,2,NA,100,NA,"",""
"41218","2.908","2.908.A.1",2,2,908,"A","1",12,12,0,222,11,NA,26,224,233,13.5,2,2,NA,100,NA,"",""
"41219","2.908","2.908.A.1",2,2,908,"A","1",13,13,0,224,14.5,NA,24,272,271,16.5,2,2,NA,100,NA,"",""
"41220","2.908","2.908.A.1",2,2,908,"A","1",14,14,9,237,15.2,NA,24,395,350,17,2,2,NA,100,NA,"",""
"41221","2.908","2.908.A.1",2,2,908,"A","1",15,15,10,258,10.1,NA,26,160,165,10,2,2,NA,100,NA,"",""
"41222","2.908","2.908.A.1",2,2,908,"A","1",16,16,11,273,15.3,NA,26,260,279,12.9,2,2,NA,100,NA,"",""
"41223","2.908","2.908.A.1",2,2,908,"A","1",17,17,0,287,14.8,NA,26,233,223,9.5,2,2,NA,100,NA,"",""
"41224","2.908","2.908.A.1",2,2,908,"A","1",18,18,12,303,5.3,NA,26,327,320,14.6,2,2,NA,100,NA,"",""
"41225","2.908","2.908.A.1",2,2,908,"A","1",19,19,13,330,7.9,NA,26,209,197,13.6,2,2,NA,100,NA,"",""
"41226","2.908","2.908.A.1",2,2,908,"A","1",20,20,14,333,8.5,NA,26,257,250,13.5,2,2,NA,100,NA,"",""
"41227","2.908","2.908.A.1",2,2,908,"A","1",21,21,15,343,8.1,NA,26,350,331,14.2,2,2,NA,100,NA,"",""
"41228","2.908","2.908.A.1",2,2,908,"A","1",22,22,0,360,15,NA,26,235,245,11.5,2,2,NA,100,NA,"",""
"41229","2.908","2.908.A.1",2,2,908,"A","1",23,23,16,379,8.8,NA,26,291,290,12.5,2,2,NA,100,NA,"",""
"41260","2.912","2.912.A.1",2,2,912,"A","1",1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"41261","2.912","2.912.A.1",2,2,912,"A","1",2,1,2,18,4.8,NA,24,265,270,13.8,2,2,NA,100,NA,"",""
"41262","2.912","2.912.A.1",2,2,912,"A","1",3,2,0,29,10,NA,24,230,232,11.4,2,2,NA,100,NA,"",""
"41263","2.912","2.912.A.1",2,2,912,"A","1",4,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"41264","2.912","2.912.A.1",2,2,912,"A","1",5,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"41265","2.912","2.912.A.1",2,2,912,"A","1",6,3,5,60,11.6,NA,24,276,290,14.3,2,2,NA,100,NA,"",""
"41266","2.912","2.912.A.1",2,2,912,"A","1",7,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"41267","2.912","2.912.A.1",2,2,912,"A","1",8,4,0,71,13.2,NA,24,250,250,14.3,2,2,NA,100,NA,"",""
"41268","2.912","2.912.A.1",2,2,912,"A","1",9,5,7,81,9,NA,24,205,195,13.6,2,2,NA,100,NA,"",""
"41269","2.912","2.912.A.1",2,2,912,"A","1",10,6,8,91,7,NA,24,249,253,14.9,2,2,NA,100,NA,"",""
"41270","2.912","2.912.A.1",2,2,912,"A","1",11,7,0,103,13,NA,24,260,272,14.3,2,2,NA,100,NA,"",""
"41271","2.912","2.912.A.1",2,2,912,"A","1",12,8,9,103,9.8,NA,24,252,254,15,2,2,NA,100,NA,"",""
"41272","2.912","2.912.A.1",2,2,912,"A","1",13,9,0,121,15,NA,24,248,231,16,2,2,NA,100,NA,"",""
"41273","2.912","2.912.A.1",2,2,912,"A","1",14,10,10,132,13.8,NA,24,337,320,17,2,2,NA,100,NA,"",""
"41274","2.912","2.912.A.1",2,2,912,"A","1",15,11,11,137,3.8,NA,26,349,349,11.5,2,2,NA,100,NA,"",""
"41275","2.912","2.912.A.1",2,2,912,"A","1",16,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"41276","2.912","2.912.A.1",2,2,912,"A","1",17,12,13,154,9.7,NA,24,205,210,12.9,2,2,NA,100,NA,"",""
"41277","2.912","2.912.A.1",2,2,912,"A","1",18,13,14,173,9.1,NA,24,218,214,13,2,2,NA,100,NA,"",""
"41278","2.912","2.912.A.1",2,2,912,"A","1",19,14,0,180,1.6,NA,45,87,88,7.2,2,3,49,100,NA,"",""
"41279","2.912","2.912.A.1",2,2,912,"A","1",20,15,15,193,9.8,NA,24,186,190,11.9,2,2,NA,100,NA,"",""
"41280","2.912","2.912.A.1",2,2,912,"A","1",21,16,16,208,8.5,NA,24,175,178,10.6,2,2,NA,100,NA,"",""
"41281","2.912","2.912.A.1",2,2,912,"A","1",22,17,0,210,14.9,NA,24,230,250,11.6,2,2,NA,100,NA,"",""
"41282","2.912","2.912.A.1",2,2,912,"A","1",23,18,17,210,4.7,NA,26,300,310,12.5,2,2,NA,100,NA,"",""
"41283","2.912","2.912.A.1",2,2,912,"A","1",24,19,0,214,12.3,NA,25,225,244,11.6,2,2,NA,100,NA,"",""
"41284","2.912","2.912.A.1",2,2,912,"A","1",25,888,18,225,6.6,NA,24,158,163,NA,6,NA,NA,322,3,"9",""
"41285","2.912","2.912.A.1",2,2,912,"A","1",26,20,19,236,9,NA,24,250,232,11.9,2,2,NA,100,NA,"",""
"41286","2.912","2.912.A.1",2,2,912,"A","1",27,21,20,245,13.9,NA,24,285,309,12.6,2,2,NA,100,NA,"",""
"41287","2.912","2.912.A.1",2,2,912,"A","1",28,888,21,252,6.6,NA,24,153,155,NA,6,NA,NA,322,3,"9",""
"41288","2.912","2.912.A.1",2,2,912,"A","1",29,22,22,252,4,NA,24,252,254,11.1,2,2,NA,100,NA,"",""
"41289","2.912","2.912.A.1",2,2,912,"A","1",30,23,0,255,14.5,NA,26,271,262,12.3,2,2,NA,100,NA,"",""
"41290","2.912","2.912.A.1",2,2,912,"A","1",31,24,23,269,9,NA,24,268,262,10.9,2,2,NA,100,NA,"",""
"41291","2.912","2.912.A.1",2,2,912,"A","1",32,25,0,283,14.6,NA,24,263,263,11.7,2,2,NA,100,NA,"",""
"41292","2.912","2.912.A.1",2,2,912,"A","1",33,26,24,283,8.6,NA,26,338,321,10.5,2,2,NA,100,NA,"",""
"41293","2.912","2.912.A.1",2,2,912,"A","1",34,888,25,300,7.8,NA,24,128,123,NA,6,NA,NA,322,3,"9",""
"41294","2.912","2.912.A.1",2,2,912,"A","1",35,27,26,306,14.3,NA,24,267,270,11.4,2,2,NA,100,NA,"",""
"41295","2.912","2.912.A.1",2,2,912,"A","1",36,28,27,313,7.6,NA,24,259,243,11.6,2,2,NA,100,NA,"",""
"41296","2.912","2.912.A.1",2,2,912,"A","1",37,0,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"41297","2.912","2.912.A.1",2,2,912,"A","1",38,29,29,324,13.8,NA,24,274,255,10.6,2,2,NA,100,NA,"",""
"41298","2.912","2.912.A.1",2,2,912,"A","1",39,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"41299","2.912","2.912.A.1",2,2,912,"A","1",40,0,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"41300","2.912","2.912.A.1",2,2,912,"A","1",41,30,0,362,12.4,NA,24,252,256,10.2,2,2,NA,100,NA,"",""
"41301","2.912","2.912.A.1",2,2,912,"A","1",42,31,32,362,9.4,NA,24,193,209,10.1,2,2,NA,100,NA,"",""
