"","PlotID0","CoorX.x","CoorY.x","ANO","FECHGR","FECHAVE","PlotID","CoorX.y","CoorY.y","FechaIni","FechaFin","Cla","Subclase"
"1",1.315,481000,4750000,96,960620,960620,"1.315.A.3C",481000,4750000,"07/13/05 00:00:00","07/13/05 00:00:00","A","3C"
"2",1.329,481000,4747000,96,960704,960704,"1.329.A.1",481000,4747000,"08/31/05 00:00:00","08/31/05 00:00:00","A","1"
"3",1.342,481000,4744000,96,960612,960612,"1.342.A.3C",481000,4744000,"05/27/05 00:00:00","05/27/05 00:00:00","A","3C"
"4",1.472,5e+05,4749000,96,960617,960617,"1.472.A.1",5e+05,4749000,"06/22/05 00:00:00","06/22/05 00:00:00","A","1"
"5",1.917,490000,4737000,96,960612,960612,"1.917.A.1",490000,4737000,"06/20/05 00:00:00","06/20/05 00:00:00","A","1"
"6",8.158,417000,4676000,90,910608,911003,"8.158.A.1",NA,NA,"04/03/01 00:00:00","04/03/01 00:00:00","A","1"
"7",8.165,412000,4675000,90,910608,911003,"8.165.A.1",NA,NA,"03/07/01 00:00:00","03/07/01 00:00:00","A","1"
"8",8.167,414000,4675000,90,910608,911003,"8.167.A.1",NA,NA,"03/09/01 00:00:00","03/09/01 00:00:00","A","1"
"9",8.168,415000,4675000,90,910608,911003,"8.168.A.1",NA,NA,"03/20/01 00:00:00","03/20/01 00:00:00","A","1"
"10",8.169,417000,4675000,90,910608,911003,"8.169.A.1",NA,NA,"04/03/01 00:00:00","04/03/01 00:00:00","A","1"
"11",8.191,411000,4673000,90,910611,911004,"8.191.A.1",NA,NA,"04/19/01 00:00:00","04/19/01 00:00:00","A","1"
"12",8.193,414000,4673000,90,910611,911004,"8.193.A.1",NA,NA,"03/21/01 00:00:00","03/21/01 00:00:00","A","1"
"13",8.196,417000,4673000,90,910611,911004,"8.196.A.1",NA,NA,"07/31/01 00:00:00","07/31/01 00:00:00","A","1"
"14",8.205,414000,4672000,90,910611,911004,"8.205.A.1",NA,NA,"08/01/01 00:00:00","08/01/01 00:00:00","A","1"
"15",8.216,413000,4671000,90,910611,911004,"8.216.A.1",NA,NA,"02/09/01 00:00:00","02/09/01 00:00:00","A","1"
"16",8.23,394000,4678000,90,910605,910627,"8.230.A.4",NA,NA,"08/03/01 00:00:00","08/03/01 00:00:00","A","4"
"17",8.234,396000,4669000,90,910612,911004,"8.234.A.1",NA,NA,"06/22/01 00:00:00","06/22/01 00:00:00","A","1"
