"","x"
"1","1.152.A.1"
"2","1.762.A.1"
"3","1.880.A.1"
"4","16.820.A.1"
"5","18.1692.A.1"
"6","19.2184.A.1"
"7","19.2188.A.1"
"8","24.1261.A.1"
"9","24.1271.A.3E"
"10","24.1272.A.4"
"11","24.1277.A.1"
"12","24.1286.A.1"
"13","24.1357.A.1"
"14","24.1594.A.4"
"15","24.823.A.3E"
"16","24.966.A.1"
"17","25.2172.A.1"
"18","26.1002.A.1"
"19","26.101.A.1"
"20","26.1016.A.1"
"21","26.1023.A.1"
"22","26.1024.A.1"
"23","26.1028.A.1"
"24","26.1035.A.1"
"25","26.1037.A.1"
"26","26.1046.A.1"
"27","26.1064.A.1"
"28","26.183.A.1"
"29","26.618.A.1"
"30","26.630.A.1"
"31","26.662.A.1"
"32","26.665.A.1"
"33","26.689.A.1"
"34","26.764.A.1"
"35","26.766.A.1"
"36","26.963.A.1"
"37","26.978.A.3C"
"38","27.2138.A.1"
"39","28.139.A.1"
"40","28.150.A.1"
"41","28.175.A.1"
"42","28.180.A.4"
"43","28.191.A.1"
"44","28.206.A.1"
"45","28.233.A.1"
"46","28.236.A.1"
"47","28.237.A.4"
"48","28.248.A.1"
"49","28.382.A.1"
"50","31.1621.N.N"
"51","31.1660.N.N"
"52","31.1677.N.N"
"53","31.1680.N.N"
"54","31.1681.N.N"
"55","31.1697.N.N"
"56","31.1699.N.N"
"57","31.1701.N.N"
"58","31.1718.N.N"
"59","31.1719.N.N"
"60","31.1739.N.N"
"61","32.1442.A.1"
"62","34.1062.N.N"
"63","34.1121.N.N"
"64","34.308.A.1"
"65","34.462.A.1"
"66","34.465.A.1"
"67","34.474.A.4"
"68","34.497.A.4"
"69","37.1032.A.1"
"70","37.1763.A.1"
"71","37.950.A.1"
"72","39.1855.N.N"
"73","39.1866.N.N"
"74","39.1873.N.N"
"75","39.1891.N.N"
"76","40.1062.A.3E"
"77","40.1075.A.1 "
"78","40.1092.A.1 "
"79","40.1117.A.4 "
"80","40.1130.A.1 "
"81","40.1131.A.1 "
"82","40.1132.A.1 "
"83","40.1138.A.4 "
"84","40.1139.A.3C"
"85","40.1616.A.1 "
"86","40.1634.A.1 "
"87","40.1656.A.1 "
"88","40.1752.A.1 "
"89","40.965.A.1 "
"90","40.971.A.1 "
"91","42.1187.A.1 "
"92","42.1194.A.3C"
"93","42.150.A.3C"
"94","42.151.A.1 "
"95","42.152.A.4 "
"96","42.1524.A.1 "
"97","42.158.A.1 "
"98","42.2078.A.3C"
"99","42.2589.A.1 "
"100","42.276.A.1 "
"101","42.277.A.1 "
"102","42.291.A.1 "
"103","42.292.A.1 "
"104","42.325.A.1 "
"105","42.342.A.1 "
"106","42.349.A.1 "
"107","42.354.A.1 "
"108","42.357.A.4 "
"109","42.376.A.1 "
"110","42.441.A.1 "
"111","42.547.A.4 "
"112","42.585.A.1 "
"113","42.587.A.4 "
"114","42.589.A.4 "
"115","42.599.A.1 "
"116","42.600.A.1 "
"117","42.611.A.4 "
"118","42.642.A.1 "
"119","42.653.A.1 "
"120","42.662.A.3C"
"121","42.671.A.1 "
"122","42.683.A.1 "
"123","42.70.A.1 "
"124","42.738.A.4 "
"125","42.82.A.1 "
"126","42.83.A.4 "
"127","42.96.A.1 "
"128","42.98.A.1 "
"129","43.128.A.1"
"130","43.572.A.1"
"131","44.1059.A.1"
"132","44.203.A.1"
"133","44.39.A.1"
"134","44.840.A.1"
"135","49.123.A.1"
"136","5.701.A.1"
"137","50.592.A.1"
"138","9.1016.A.1"
"139","9.1210.A.4"
"140","9.1213.A.4"
"141","9.1226.A.1"
"142","9.1227.A.1"
"143","9.1231.A.1"
"144","9.1234.A.1"
"145","9.1236.A.4"
"146","9.1241.A.1"
"147","9.1247.A.1"
"148","9.1251.A.4"
"149","9.1252.A.4"
"150","9.1253.A.1"
"151","9.1256.A.1"
"152","9.1271.A.1"
"153","9.1278.A.1"
"154","9.1284.A.4"
"155","9.1291.A.1"
"156","9.1295.A.1"
"157","9.1296.A.1"
"158","9.1339.A.1"
"159","9.1340.A.1"
"160","9.1347.A.1"
"161","9.1357.A.1"
"162","9.1389.A.1"
"163","9.1397.A.3E"
"164","9.1400.A.1"
"165","9.1423.A.3E"
"166","9.1451.A.1"
"167","9.1477.A.1"
"168","9.1536.A.3C"
"169","9.1745.A.1"
"170","9.1761.A.4"
"171","9.1871.A.1"
"172","9.1874.A.1"
"173","9.1893.A.1"
"174","9.1945.A.4"
"175","9.1984.A.1"
"176","9.1986.A.4"
"177","9.1992.A.1"
"178","9.1998.A.4"
"179","9.2293.A.1"
"180","9.2295.A.1"
"181","9.2307.A.1"
"182","9.2308.A.4"
"183","9.2335.A.1"
"184","9.2339.A.1"
"185","9.2367.A.1"
"186","9.2370.A.1"
"187","9.2381.A.1"
"188","9.2384.A.1"
"189","9.2385.A.1"
"190","9.2392.A.1"
"191","9.3278.N.N"
"192","9.364.A.1"
"193","9.76.A.1"
