"","x"
"1",1.613
"2",15.1091
"3",15.1094
"4",15.1299
"5",15.1686
"6",15.1969
"7",15.1971
"8",15.1992
"9",15.2034
"10",15.2046
"11",15.2048
"12",15.2671
"13",15.2931
"14",15.2934
"15",15.531
"16",15.549
"17",15.579
"18",15.611
"19",20.1083
"20",20.301
"21",20.339
"22",20.52
"23",20.532
"24",20.576
"25",20.663
"26",20.7
"27",20.729
"28",20.791
"29",20.924
"30",20.951
"31",20.992
"32",27.1083
"33",27.1089
"34",27.1178
"35",27.1421
"36",27.1472
"37",27.1486
"38",27.1553
"39",27.1581
"40",27.1611
"41",27.1619
"42",27.1727
"43",27.1742
"44",27.1745
"45",27.1787
"46",27.1808
"47",27.181
"48",27.1848
"49",27.1904
"50",27.1911
"51",27.2016
"52",27.2028
"53",27.2046
"54",27.2061
"55",27.2317
"56",27.233
"57",27.2338
"58",27.2372
"59",27.2373
"60",27.2394
"61",27.2399
"62",27.2411
"63",27.2419
"64",27.242
"65",27.2543
"66",27.2592
"67",27.2593
"68",27.2713
"69",27.2739
"70",27.2746
"71",27.761
"72",27.762
"73",27.773
"74",27.86
"75",31.118
"76",31.121
"77",31.139
"78",31.156
"79",31.174
"80",31.19
"81",31.194
"82",31.206
"83",31.221
"84",31.234
"85",31.239
"86",31.277
"87",31.36
"88",31.392
"89",31.447
"90",31.62
"91",31.82
"92",31.85
"93",31.94
"94",31.99
"95",32.1172
"96",32.1221
"97",32.1223
"98",32.676
"99",33.1022
"100",33.103
"101",33.1074
"102",33.1084
"103",33.1222
"104",33.1272
"105",33.128
"106",33.131
"107",33.1329
"108",33.134
"109",33.1382
"110",33.175
"111",33.182
"112",33.248
"113",33.306
"114",33.398
"115",33.438
"116",33.452
"117",33.468
"118",33.475
"119",33.532
"120",33.687
"121",33.691
"122",33.704
"123",33.709
"124",33.715
"125",33.732
"126",33.741
"127",33.797
"128",33.807
"129",33.813
"130",33.825
"131",33.84
"132",33.842
"133",33.843
"134",33.85
"135",33.857
"136",33.871
"137",33.909
"138",33.91
"139",33.915
"140",33.924
"141",33.931
"142",33.933
"143",33.937
"144",33.949
"145",33.955
"146",33.963
"147",33.997
"148",36.184
"149",36.234
"150",36.615
"151",36.703
"152",36.964
"153",39.1133
"154",39.1358
"155",39.1423
"156",39.1504
"157",39.1569
"158",39.189
"159",39.24
"160",39.509
"161",39.538
"162",39.54
"163",39.573
"164",39.576
"165",39.63
"166",39.691
"167",39.746
"168",39.747
"169",39.749
"170",39.815
"171",39.854
"172",39.868
"173",39.919
"174",39.921
"175",39.939
"176",39.955
"177",48.1003
"178",48.1004
"179",48.216
