"","Provincia","Estadillo","ESTRATO","FECHGR","CODGR","NUMPMA","NUMTIP","NUMPME","NUMMAT","VERIFICA","FECHAVE","CODVE","HOJA","VUELO","FOTO","COORDEX","COORDEY","ANO","MUNICI","PROPIED1","PROPIED2","AREAPRO1","AREAPRO2","ALTITUD1","ALTITUD2","PENDIEN1","PENDIEN2","USO1","USO2","FRACCION1","FRACCION2","ESPECIA11","ESPECIA12","OCUPA11","OCUPA12","ESTADA11","ESTADA12","ESPECIA21","ESPECIA22","OCUPA21","OCUPA22","ESTADA21","ESTADA22","ESPECIA31","ESPECIA32","OCUPA31","OCUPA32","ESTADA31","ESTADA32","ESPECIB1","MASAB1","ORIGEB1","EDADB1","ESPECIB2","MASAB2","ORIGEB2","EDADB2","ESPECIB3","MASAB3","ORIGEB3","EDADB3","ESPECIE1","ESPECIE2","ESPECIE3","ESPECIE4","ESPECIE5","ESPECIE6","ESPECIE7","CLASUELO","ESPESOR","CLACOBER","CUBIERTA","MEROSIVA1","MEROSIVA2","MEROSIVA3","MEROSIVA4","DISESPAC","COMPESPE","PREPSUEL1","PREPSUEL2","TRAVUELO1","TRAVUELO2","CORTAS","DANOS1","DANOS2","DANOS3","ORIENTA1","ORIENTA2","MAXPEND1","MAXPEND2","PlotID0","CoorX","CoorY","Origen"
"5382",4,517,NA,951122,12,29,4,1,2,"S",951130,13,"1012","3","1012F64","542","4121","95","019","1","1","0","0","19","19","3","4","9","1","40","75","26","21","5","8","3","3","25","26","5","2","3","3",NA,NA,NA,NA,NA,NA,"21","1","2","25","26","1","2","25",NA,NA,NA,NA,"21","26",NA,NA,NA,NA,NA,"1","01","W","20",NA,NA,NA,"1","1","2",NA,"1",NA,"0","0",NA,"P702","P402","114",NA,"5.00",NA,"4.517",542000,4121000,4
"6060",5,716,NA,920609,3,14,5,0,2,"S",920610,3,"0555","1","0555M11","336","4469","91","233","3","3","0","0","14","14","3","3","9","1","50","50","21","21","0","6","3","3",NA,"26",NA,"4",NA,"4",NA,NA,NA,NA,NA,NA,"21","3","1",NA,"26","3","1",NA,NA,NA,NA,NA,"21","26",NA,NA,NA,NA,NA,"1","01","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"M204","161",NA,"3.00",NA,"5.716",336000,4469000,5
"6297",5,824,NA,920521,2,27,6,0,2,"S",920602,3,"0556","1","0556L08","359","4471","91","163","3","3","0","0","14","14","4","4","9","1","00","70","26","21","0","6","2","4",NA,"26",NA,"4",NA,"4",NA,NA,NA,NA,NA,NA,"21","3","1",NA,"26","3","1",NA,NA,NA,NA,NA,"21","26",NA,NA,NA,NA,NA,"1","01","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"1","0",NA,NA,"M204","101",NA,"5.50",NA,"5.824",359000,4471000,5
"6306",5,835,NA,920521,2,35,5,0,0,"S",920603,4,"0556","1","0556M13","368","4470","91","022","2","2","0","0","10","10","4","4","9","1","60","70","26","21","0","6","3","3",NA,"26",NA,"4",NA,"3",NA,NA,NA,NA,NA,NA,"21","1","2","34","26","1","2","33",NA,NA,NA,NA,"21","26","43","15",NA,NA,NA,"2","04","W","20",NA,NA,NA,"1","1","2",NA,"9","1","2","0",NA,NA,"01","395",NA,"7.00",NA,"5.835",368000,4470000,5
"6441",5,997,NA,920525,2,49,6,2,1,"S",920605,4,"0577","1","0577K01","286","4462","91","159","5","5","0","0","12","12","4","5","9","1","70","90","26","26","6","5","3","4","21","21","4","4","3","4",NA,"25",NA,"1",NA,"3","26","1","1","25","21","1","1","25","25","1","1","25","26","21","25","45","43",NA,NA,"2","04","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"4","9",NA,NA,"P204","310",NA,"11.00",NA,"5.997",286000,4462000,5
"6442",5,998,NA,920525,2,22,6,2,4,"S",920605,2,"0577","1","0577K01","286","4461","91","159","5","5","0","0","11","11","3","5","9","1","70","70","26","26","6","5","3","4","21","21","4","5","3","4",NA,NA,NA,NA,NA,NA,"26","1","2","30","21","1","2","30",NA,NA,NA,NA,"26","21","43","58","45","55","03","2","03","W","17",NA,NA,NA,"1","1","2",NA,"9",NA,"0","0",NA,NA,"P204","320",NA,"8.00",NA,"5.998",286000,4461000,5
"14015",9,24,NA,920127,1,0,0,0,2,"S",920206,1,"0084","1","0084J12","454","4776","91","124","3","3","0","0","11","11","4","5","9","3","90",NA,"21",NA,"0",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","03","W","20",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"269",NA,"11.00",NA,"9.24",454000,4776000,9
"14042",9,52,NA,920127,3,0,0,0,2,"S",920210,1,"0084","1","0084K11","452","4772","91","124","4","4","0","0","11","11","3","3","9","3","90",NA,"21",NA,"0",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","03","W","20",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"374",NA,"3.25",NA,"9.52",452000,4772000,9
"14073",9,86,NA,920128,1,81,6,1,0,"S",920206,1,"0084","1","0084L09","447","4768","91","215","2","2","0","0","08","08","3","4","9","1","90","80","21","26","0","6","2","4",NA,"21",NA,"4",NA,"4",NA,NA,NA,NA,NA,NA,"26","1","2","29","21","1","2","26",NA,NA,NA,NA,"26","21","43","65",NA,NA,NA,"2","04","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"01","381",NA,"6.50",NA,"9.86",447000,4768000,9
"14195",9,221,NA,920130,2,0,0,2,3,"S",920203,1,"0085","1","0085L10","479","4769","91","410","3","3","0","0","08","08","5","5","9","1","70","70","71","71","0","7","0","4",NA,"74",NA,"2",NA,"3",NA,"44",NA,"1",NA,"3","71","3","6",NA,"74","3","6",NA,"44","3","6",NA,"71","74","44","15","55","12",NA,"3","06","G","20",NA,NA,NA,"1","1","3",NA,"0",NA,"0","0",NA,NA,"01","151",NA,"15.25",NA,"9.221",479000,4769000,9
"14200",9,226,NA,920130,2,0,0,4,2,"S",920203,1,"0085","1","0085L04","466","4768","91","189","6","6","0","0","08","08","3","3","6","1","80","60","04","45","0","7","0","3",NA,"44",NA,"3",NA,"2",NA,NA,NA,NA,NA,NA,"45","3","6",NA,"44","3","6",NA,NA,NA,NA,NA,"45","44","95","15",NA,NA,NA,"3","01","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"01","176",NA,"4.00",NA,"9.226",466000,4768000,9
"14201",9,227,NA,920130,2,0,0,1,2,"S",920203,1,"0085","1","0085L06","470","4768","91","189","3","3","0","0","08","08","3","4","7","1","38","10","07","43","0","9","0","2",NA,"37",NA,"1",NA,"2",NA,NA,NA,NA,NA,NA,"43","3","6",NA,"37","3","6",NA,NA,NA,NA,NA,"43","37","99",NA,NA,NA,NA,"2","02","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"01","76",NA,"6.50",NA,"9.227",470000,4768000,9
"14210",9,236,NA,920130,2,17,6,4,4,"S",920203,3,"0085","1","0085L03","463","4767","91","189","6","6","0","0","09","09","3","4","9","1","90","60","45","44","0","6","0","4",NA,"45",NA,"3",NA,"2",NA,NA,NA,NA,NA,NA,"44","3","6",NA,"45","3","6",NA,NA,NA,NA,NA,"44","45","37","99","78",NA,NA,"3","03","W","20",NA,NA,NA,"1","1","3",NA,"0",NA,"0","0",NA,NA,"P302","143",NA,"4.75",NA,"9.236",463000,4767000,9
"14216",9,242,NA,920130,2,0,0,1,4,"S",920203,3,"0085","1","0085L03","462","4766","91","189","6","6","0","0","08","08","3","3","9","1","90","50","45","45","0","0","0","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45","3","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"45","44",NA,NA,NA,NA,NA,"2","01","W","18",NA,NA,NA,"1","1","1",NA,"0",NA,"0","0",NA,NA,"G412","113",NA,"3.00",NA,"9.242",462000,4766000,9
"14218",9,244,NA,920130,2,0,0,1,3,"S",920203,3,"0085","1","0085L07","472","4766","91","186","3","3","0","0","08","08","2","3","6","1","20","20","44","45","5","8","0","2","04","44","0","1","0","2",NA,"37",NA,"1",NA,"2","45","3","6",NA,"44","3","6",NA,"37","3","6",NA,"45","44","37","15","43",NA,NA,"2","06","G","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"01","91",NA,"3.00",NA,"9.244",472000,4766000,9
"14220",9,246,NA,920130,2,15,6,2,1,"S",920203,3,"0085","1","0085L09","476","4766","91","186","3","3","0","0","08","08","2","2","9","1","80","50","21","21","0","0","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21","1","1","35",NA,NA,NA,NA,NA,NA,NA,NA,"21","95","15","37",NA,NA,NA,"3","03","W","20",NA,NA,NA,"1","1","1",NA,"0",NA,"0","0",NA,NA,"01","172",NA,"2.00",NA,"9.246",476000,4766000,9
"14434",9,488,NA,920217,1,24,6,2,2,"S",920224,1,"0110","1","0110L07","471","4751","91","213","2","2","0","0","08","08","3","2","9","1","70","70","26","21","0","6","4","4",NA,"26",NA,"3",NA,"4",NA,NA,NA,NA,NA,NA,"21","3","1",NA,"26","3","1",NA,NA,NA,NA,NA,"21","26","37","44","38","15",NA,"2","04","W","20",NA,NA,NA,"1","1","3",NA,"0",NA,"0","0",NA,NA,"P402","200",NA,"2.00",NA,"9.488",471000,4751000,9
"14440",9,494,NA,920217,1,19,6,5,2,"S",920224,1,"0110","1","0110L06","470","4750","91","213","6","6","0","0","08","08","3","4","9","1","70","60","26","21","0","6","4","3",NA,"26",NA,"2",NA,"4",NA,NA,NA,NA,NA,NA,"21","3","1",NA,"26","3","1",NA,NA,NA,NA,NA,"21","26","37","38","04","65","95","2","03","W","20",NA,NA,NA,"1","1","3",NA,"0",NA,"0","0",NA,"M802","P204","210",NA,"4.75",NA,"9.494",470000,4750000,9
"14442",9,496,NA,920217,1,21,6,4,2,"S",920224,1,"0110","1","0110L07","472","4750","91","213","2","2","0","0","08","08","3","4","9","1","70","70","26","26","0","4","4","4",NA,"21",NA,"4",NA,"4",NA,NA,NA,NA,NA,NA,"26","3","1",NA,"21","3","1",NA,NA,NA,NA,NA,"26","21","44","45","37","78",NA,"2","04","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","4",NA,NA,"P913","270",NA,"4.75",NA,"9.496",472000,4750000,9
"14448",9,503,NA,920217,1,17,5,5,3,"S",920224,1,"0110","1","0110L06","469","4749","91","209","2","2","0","0","07","07","2","4","9","1","70","80","26","26","0","5","4","4",NA,"21",NA,"3",NA,"3",NA,NA,NA,NA,NA,NA,"26","3","1",NA,"21","3","1",NA,NA,NA,NA,NA,"26","21","44","37","99","95",NA,"2","04","W","20",NA,NA,NA,"1","1","3",NA,"0",NA,"0","0",NA,NA,"P204","85",NA,"4.50",NA,"9.503",469000,4749000,9
"14458",9,513,NA,920224,1,18,5,6,3,"S",920224,3,"0110","1","0110L07","471","4748","91","213","6","6","0","0","07","07","4","2","9","1","70","70","26","26","0","6","4","4",NA,"21",NA,"2",NA,"4",NA,NA,NA,NA,NA,NA,"26","3","1",NA,"21","3","1",NA,NA,NA,NA,NA,"26","21","44","45","37","91","68","2","03","W","20",NA,NA,NA,"1","1","3",NA,"0",NA,"0","0",NA,NA,"P204","165","360","2.00","16.00","9.513",471000,4748000,9
"14463",9,519,NA,920224,1,24,6,4,4,"S",920224,3,"0110","1","0110M06","470","4747","91","209","2","2","0","0","08","08","4","5","9","1","70","60","21","26","0","6","1","4","26","21","4","4","4","4","04",NA,"1",NA,"0",NA,"26","3","1",NA,"21","3","1",NA,NA,NA,NA,NA,"26","21","37","38","91","44","99","1","02","W","19",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,"P204","P402","285",NA,"8.50",NA,"9.519",470000,4747000,9
