"","PlotID0","CoorX","CoorY","ANO","FECHGR","FECHAVE","PlotID","FechaIni","FechaFin","Cla","Subclase"
"1",5.1055,332000,4463000,91,920528,920608,"5.1055.A.1","2019-07-15","2019-07-15","A","1"
"2",5.444,330000,4488000,93,930824,930826,"5.444.A.1","2019-08-20","2019-08-20","A","1"
"3",9.1041,425000,4712000,91,920205,920227,"9.1041.A.1","2018-05-09","2018-05-09","A","1"
"4",9.1544,478000,4671000,91,920225,920226,"9.1544.A.1","2018-11-21","2018-11-21","A","1"
"5",9.1596,492000,4682000,91,920306,920312,"9.1596.A.1","2018-11-19","2018-11-19","A","1"
"6",9.1718,454000,4657000,91,920306,920313,"9.1718.A.1","2018-02-12","2018-02-12","A","1"
"7",9.1719,455000,4657000,91,920306,920313,"9.1719.A.1","2018-08-24","2018-08-24","A","1"
"8",9.2468,490000,4632000,91,920311,920330,"9.2468.A.1","2018-06-07","2018-06-07","A","1"
"9",9.2674,438000,4594000,91,920313,920331,"9.2674.A.1","2018-04-19","2018-04-19","A","1"
"10",9.355,446000,4754000,91,920211,920220,"9.355.A.1","2018-09-06","2018-09-06","A","1"
"11",9.717,440000,4725000,91,920226,920228,"9.717.A.1","2018-06-15","2018-06-15","A","1"
"12",9.919,491000,4733000,91,920302,920305,"9.919.A.1","2018-05-04","2018-05-04","A","1"
"13",24.1275,343000,4724000,92,930126,930208,"24.1275.A.1","2019-10-28","2019-10-28","A","1"
"14",24.1289,343000,4722000,92,930126,930208,"24.1289.A.1","2019-10-29","2019-10-29","A","1"
"15",24.129,340000,4771000,92,930120,930210,"24.1290.A.4","2019-10-31","2019-10-31","A","4"
"16",24.1348,728000,4708000,92,921120,921127,"24.1348.A.4","2019-10-14","2019-10-14","A","4"
"17",24.732,288000,4738000,92,930203,930224,"24.732.A.4","2019-09-11","2019-09-11","A","4"
"18",24.919,340000,4736000,92,930120,930203,"24.919.A.1","2019-10-29","2019-10-29","A","1"
"19",24.989,344000,4727000,92,930121,930204,"24.989.A.4","2019-11-11","2019-11-11","A","4"
"20",34.213,346000,4729000,91,920326,920407,"34.213.A.1","2019-05-09","2019-05-09","A","1"
"21",34.259,354000,4733000,91,920327,920408,"34.259.A.1","2019-07-08","2019-07-08","A","1"
"22",34.312,372000,4726000,91,920327,920409,"34.312.A.1","2019-03-11","2019-03-11","A","1"
"23",34.354,398000,4730000,91,920327,920408,"34.354.A.1","2019-05-30","2019-05-30","A","1"
"24",34.384,346000,4724000,91,920408,920409,"34.384.A.1","2019-05-22","2019-05-22","A","1"
"25",34.385,345000,4723000,91,920408,920409,"34.385.A.4","2019-04-22","2019-04-22","A","4"
"26",34.388,345000,4722000,91,920408,920409,"34.388.A.4","2019-05-23","2019-05-23","A","4"
"27",34.398,348000,4720000,91,920408,920409,"34.398.A.1","2019-05-24","2019-05-24","A","1"
"28",34.407,345000,4715000,91,920408,920409,"34.407.A.1","2019-03-12","2019-03-12","A","1"
"29",34.476,357000,4717000,91,920402,920410,"34.476.A.4","2019-05-10","2019-05-10","A","4"
"30",34.486,372000,4715000,91,920408,920409,"34.486.A.1","2019-04-25","2019-04-25","A","1"
"31",34.581,348000,4707000,91,920402,920403,"34.581.A.1","2019-04-23","2019-04-23","A","1"
"32",40.1079,478000,4572000,91,920512,920519,"40.1079.A.1","2018-12-03","2018-12-03","A","1"
"33",42.1864,516000,4607000,91,920110,920117,"42.1864.A.1","2019-04-10","2019-04-10","A","1"
"34",42.972,491000,4626000,91,920109,920115,"42.972.A.1","2019-04-01","2019-04-01","A","1"
"35",49.134,722000,4667000,92,921028,921102,"49.134.A.1","2019-09-10","2019-09-10","A","1"
"36",49.352,704000,4651000,92,921029,921103,"49.352.A.4","2019-07-22","2019-07-22","A","4"
"37",49.582,738000,4642000,92,921028,921106,"49.582.A.1","2019-08-28","2019-08-28","A","1"
"38",49.6,702000,4672000,92,921027,921030,"49.60.A.1","2019-08-02","2019-08-02","A","1"
"39",49.6,702000,4672000,92,921027,921030,"49.6.A.1","2019-07-24","2019-07-24","A","1"
"40",49.673,710000,4634000,92,921030,921111,"49.673.A.1","2019-07-26","2019-07-26","A","1"
