"","PlotID0","FECHGR","anno.gr.x","mes.gr.x","PlotID","FechaIni","Cla","Subclase","anno.gr.y","mes.gr.y","diff.year"
"1",1.189,960701,1996,7,"1.189.A.1","07/05/05 00:00:00","A","1",2005,7,9
"2",1.212,960716,1996,7,"1.212.A.1","06/13/05 00:00:00","A","1",2005,6,9
"3",1.285,960612,1996,6,"1.285.A.1","07/18/05 00:00:00","A","1",2005,7,9
"4",1.632,960607,1996,6,"1.632.A.1","11/14/05 00:00:00","A","1",2005,11,10
"5",1.747,960530,1996,5,"1.747.A.1","08/05/05 00:00:00","A","1",2005,8,9
"6",4.467,951122,1995,11,"4.467.A.1","07/11/07 00:00:00","A","1",2007,7,12
"7",4.498,951122,1995,11,"4.498.A.1","10/22/07 00:00:00","A","1",2007,10,12
"8",4.533,951123,1995,11,"4.533.A.1","10/19/07 00:00:00","A","1",2007,10,12
"9",4.534,951020,1995,10,"4.534.A.1","07/27/07 00:00:00","A","1",2007,7,12
"10",4.739,951019,1995,10,"4.739.A.1","07/30/07 00:00:00","A","1",2007,7,12
"11",4.823,951124,1995,11,"4.823.A.1","05/27/07 00:00:00","A","1",2007,5,12
"12",4.889,951020,1995,10,"4.889.A.1","06/10/07 00:00:00","A","1",2007,6,12
"13",4.931,951022,1995,10,"4.931.A.1","08/17/07 00:00:00","A","1",2007,8,12
"14",5.1055,920528,1992,5,"5.1055.A.1","04/24/02 00:00:00","A","1",2002,4,10
"15",5.4,920521,1992,5,"5.400.A.1","05/14/02 00:00:00","A","1",2002,5,10
"16",5.444,930824,1993,8,"5.444.A.1","04/25/02 00:00:00","A","1",2002,4,9
"17",8.1022,910607,1991,6,"8.1022.A.1","11/02/00 00:00:00","A","1",2000,11,10
"18",8.1056,910607,1991,6,"8.1056.A.1","10/17/00 00:00:00","A","1",2000,10,10
"19",8.1106,910611,1991,6,"8.1106.A.3C","12/04/00 00:00:00","A","3C",2000,12,10
"20",8.1123,910612,1991,6,"8.1123.A.1","11/23/00 00:00:00","A","1",2000,11,10
"21",8.116,910607,1991,6,"8.1160.A.1","12/18/00 00:00:00","A","1",2000,12,10
"22",8.1175,910612,1991,6,"8.1175.A.1","11/15/00 00:00:00","A","1",2000,11,10
