"","Provincia","Estadillo","ESTRATO","FECHGR","CODGR","NUMPMA","NUMTIP","NUMPME","NUMMAT","VERIFICA","FECHAVE","CODVE","HOJA","VUELO","FOTO","COORDEX","COORDEY","ANO","MUNICI","PROPIED1","PROPIED2","AREAPRO1","AREAPRO2","ALTITUD1","ALTITUD2","PENDIEN1","PENDIEN2","USO1","USO2","FRACCION1","FRACCION2","ESPECIA11","ESPECIA12","OCUPA11","OCUPA12","ESTADA11","ESTADA12","ESPECIA21","ESPECIA22","OCUPA21","OCUPA22","ESTADA21","ESTADA22","ESPECIA31","ESPECIA32","OCUPA31","OCUPA32","ESTADA31","ESTADA32","ESPECIB1","MASAB1","ORIGEB1","EDADB1","ESPECIB2","MASAB2","ORIGEB2","EDADB2","ESPECIB3","MASAB3","ORIGEB3","EDADB3","ESPECIE1","ESPECIE2","ESPECIE3","ESPECIE4","ESPECIE5","ESPECIE6","ESPECIE7","CLASUELO","ESPESOR","CLACOBER","CUBIERTA","MEROSIVA1","MEROSIVA2","MEROSIVA3","MEROSIVA4","DISESPAC","COMPESPE","PREPSUEL1","PREPSUEL2","TRAVUELO1","TRAVUELO2","CORTAS","DANOS1","DANOS2","DANOS3","ORIENTA1","ORIENTA2","MAXPEND1","MAXPEND2","PlotID0","CoorX","CoorY","Origen"
"38612",19,1477,NA,930329,3,36,4,6,2,"S",930415,3,"0514","1","0514L59","574","4510","92","333","2","2","0","0","12","12","4","3","9","1","80","80","21","25","0","7","4","4",NA,"21",NA,"2",NA,"4",NA,NA,NA,NA,NA,NA,"25","3","1",NA,"21","3","1",NA,NA,NA,NA,NA,"25","21","91","37","38","44","45","3","02","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"2","0",NA,NA,"01","280",NA,"3.50",NA,"19.1477",574000,4510000,19
"38618",19,1485,NA,930329,3,18,4,5,5,"S",930415,3,"0514","1","0514L56","575","4508","92","333","7","7","0","0","13","13","1","2","9","1","80","60","21","21","0","8","4","4",NA,"25",NA,"1",NA,"4",NA,NA,NA,NA,NA,NA,"21","3","1",NA,"25","3","1",NA,NA,NA,NA,NA,"21","25","37","91","44",NA,NA,"2","02","W","20",NA,NA,NA,"1","1","3",NA,"0",NA,"0","0",NA,NA,"01","370",NA,"2.25",NA,"19.1485",575000,4508000,19
"38952",19,224,NA,930426,3,0,0,1,2,"S",930506,3,"0459","3","0459441","477","4541","92","262","5","5","0","0","09","09","4","5","9","2","70","15","38","38","0","9","2","4",NA,"26",NA,"1",NA,"4",NA,NA,NA,NA,NA,NA,"38","3","6",NA,"26","3","1",NA,NA,NA,NA,NA,"38","26",NA,NA,NA,NA,NA,"2","02","W","17",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"01","183",NA,"8.50",NA,"19.224",477000,4541000,19
"39430",19,1935,NA,930413,2,14,4,6,2,"S",930419,2,"0539","2","0539K43","588","4498","92","264","2","2","0","0","14","14","4","5","9","1","80","50","21","21","4","4","4","4","25","25","6","3","0","4",NA,"91",NA,"2",NA,"2","21","3","1",NA,"25","3","1",NA,"91","3","6",NA,"21","25","91","99","44","37",NA,"2","01","W","19",NA,NA,NA,"1","1","2",NA,"0",NA,"0","4",NA,NA,"P204","160",NA,"14.00",NA,"19.1935",588000,4498000,19
"39433",19,1938,NA,930413,2,14,4,3,2,"S",930419,2,"0539","2","0539K43","589","4497","92","216","2","2","0","0","14","14","4","5","9","1","80","60","21","21","4","5","4","4","25","25","6","4","0","4",NA,"91",NA,"1",NA,"2","21","3","1",NA,"25","3","1",NA,"91","3","6",NA,"21","25","91","99","37",NA,NA,"2","01","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"P204","95",NA,"8.50",NA,"19.1938",589000,4497000,19
"39437",19,1942,NA,930413,2,18,4,5,2,"S",930420,2,"0539","2","0539K42","590","4498","92","216","2","2","0","0","14","14","2","2","9","1","80","80","21","21","4","8","4","4","25","25","6","1","0","4",NA,"37",NA,"1",NA,"2","21","3","1",NA,"25","3","1",NA,"37","3","6",NA,"21","25","37","91","99","44",NA,"2","02","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"P204","225",NA,"1.00",NA,"19.1942",590000,4498000,19
"39439",19,1944,NA,930413,2,16,4,6,4,"S",930420,2,"0539","1","0539J14","590","4502","92","264","2","2","0","0","13","13","4","5","9","1","90","80","25","25","0","9","4","4",NA,"91",NA,"1",NA,"2",NA,NA,NA,NA,NA,NA,"25","3","1",NA,"91","3","6",NA,NA,NA,NA,NA,"25","91","21","37","99","44","15","2","02","W","20",NA,NA,NA,"1","1","3",NA,"0",NA,"0","0",NA,NA,"P204","33",NA,"10.25",NA,"19.1944",590000,4502000,19
"39442",19,1947,NA,930413,2,16,4,6,2,"S",930520,3,"0539","1","0539J14","591","4501","92","216","2","2","0","0","12","12","4","3","9","1","90","75","25","21","0","7","4","4",NA,"25",NA,"3",NA,"4",NA,NA,NA,NA,NA,NA,"21","3","1",NA,"25","3","1",NA,NA,NA,NA,NA,"21","25","44","37","91","15","45","2","02","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"4","4",NA,NA,"P910","45",NA,"2.75",NA,"19.1947",591000,4501000,19
"39446",19,1954,NA,930413,2,12,4,5,3,"S",930420,2,"0539","1","0539M42","595","4485","92","103","7","7","0","0","14","14","5","5","9","1","80","80","21","21","4","8","4","4","25","25","6","2","0","4",NA,NA,NA,NA,NA,NA,"21","3","1",NA,"25","3","1",NA,NA,NA,NA,NA,"21","25","37","99","15","44",NA,"2","01","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"01","310",NA,"9.00",NA,"19.1954",595000,4485000,19
"39447",19,1955,NA,930413,2,14,4,2,2,"S",930420,2,"0539","1","0539M42","595","4487","92","103","7","7","0","0","15","15","5","5","9","1","80","60","21","21","4","7","4","4","25","25","6","3","0","4",NA,NA,NA,NA,NA,NA,"21","3","1",NA,"25","3","1",NA,NA,NA,NA,NA,"21","25","99","37",NA,NA,NA,"2","01","W","19",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"01","326",NA,"13.75",NA,"19.1955",595000,4487000,19
