"","PlotID0","CoorX.x","CoorY.x","ANO","FECHGR","FECHAVE","PlotID","CoorX.y","CoorY.y","FechaIni","FechaFin","Cla","Subclase"
"1",5.716,336000,4469000,91,920609,920610,"5.716.A.1",NA,NA,"03/22/02 00:00:00","03/22/02 00:00:00","A","1"
"2",5.835,368000,4470000,91,920521,920603,"5.835.A.3C",NA,NA,"07/11/02 00:00:00","07/11/02 00:00:00","A","3C"
"3",5.997,286000,4462000,91,920525,920605,"5.997.A.1",NA,NA,"04/02/02 00:00:00","04/02/02 00:00:00","A","1"
"4",5.998,286000,4461000,91,920525,920605,"5.998.A.1",NA,NA,"03/14/02 00:00:00","03/14/02 00:00:00","A","1"
"5",9.2146,476000,4644000,91,920312,920323,"9.2146.A.1",NA,NA,"03/13/03 00:00:00","03/13/03 00:00:00","A","1"
"6",9.2185,472000,4640000,91,920312,920323,"9.2185.A.1",NA,NA,"04/24/03 00:00:00","04/24/03 00:00:00","A","1"
"7",9.221,479000,4769000,91,920130,920203,"9.2210.A.1",NA,NA,"03/27/03 00:00:00","03/27/03 00:00:00","A","1"
"8",9.2215,476000,4638000,91,920306,920313,"9.2215.A.1",NA,NA,"04/29/03 00:00:00","04/29/03 00:00:00","A","1"
"9",9.2226,470000,4637000,91,920306,920315,"9.2226.A.1",NA,NA,"04/21/03 00:00:00","04/21/03 00:00:00","A","1"
"10",9.2235,464000,4636000,91,920306,920315,"9.2235.A.1",NA,NA,"03/20/03 00:00:00","03/20/03 00:00:00","A","1"
"11",9.2241,471000,4636000,91,920306,920316,"9.2241.A.1",NA,NA,"05/19/03 00:00:00","05/19/03 00:00:00","A","1"
"12",9.2243,473000,4636000,91,920306,920316,"9.2243.A.1",NA,NA,"05/23/03 00:00:00","05/23/03 00:00:00","A","1"
"13",9.2247,478000,4636000,91,920306,920316,"9.2247.A.1",NA,NA,"03/06/03 00:00:00","03/06/03 00:00:00","A","1"
"14",9.2248,479000,4636000,91,920306,920317,"9.2248.A.1",NA,NA,"02/26/03 00:00:00","02/26/03 00:00:00","A","1"
"15",9.2259,481000,4635000,91,920309,920317,"9.2259.A.1",NA,NA,"04/22/03 00:00:00","04/22/03 00:00:00","A","1"
"16",9.2269,476000,4634000,91,920309,920317,"9.2269.A.1",NA,NA,"05/13/03 00:00:00","05/13/03 00:00:00","A","1"
"17",9.227,470000,4768000,91,920130,920203,"9.2270.A.1",NA,NA,"02/28/03 00:00:00","02/28/03 00:00:00","A","1"
"18",9.236,463000,4767000,91,920130,920203,"9.2360.A.1",NA,NA,"03/05/03 00:00:00","03/05/03 00:00:00","A","1"
"19",9.2374,502000,4643000,91,920310,920325,"9.2374.A.1",NA,NA,"03/07/03 00:00:00","03/07/03 00:00:00","A","1"
"20",9.2397,495000,4641000,91,920310,920326,"9.2397.A.1",NA,NA,"04/02/03 00:00:00","04/02/03 00:00:00","A","1"
"21",9.24,454000,4776000,91,920127,920206,"9.2400.A.1",NA,NA,"03/26/03 00:00:00","03/26/03 00:00:00","A","1"
"22",9.2412,495000,4640000,91,920310,920326,"9.2412.A.1",NA,NA,"04/03/03 00:00:00","04/03/03 00:00:00","A","1"
"23",9.2422,490000,4639000,91,920311,920327,"9.2422.A.1",NA,NA,"04/24/03 00:00:00","04/24/03 00:00:00","A","1"
"24",9.2423,491000,4639000,91,920311,920327,"9.2423.A.1",NA,NA,"04/24/03 00:00:00","04/24/03 00:00:00","A","1"
