"Var1" "Freq"
"253" "26,364" 1
"254" "26,39" 1
"255" "26,41,43,46" 1
"256" "26,41,43,61" 1
"257" "26,41,46,68" 1
"258" "26,41,46,72" 1
"259" "26,41,54,273" 1
"260" "26,41,54,73" 1
"261" "26,41,57,73" 1
"262" "26,41,61,73" 1
"263" "26,41,63" 1
"264" "26,41,657" 1
"265" "26,41,72,273" 1
"266" "26,41,72,95" 1
"267" "26,41,92" 1
"268" "26,41,94" 1
"269" "26,43,207" 1
"270" "26,43,273" 1
"271" "26,43,46" 1
"272" "26,43,54" 1
"273" "26,43,68" 1
"274" "26,43,72" 1
"275" "26,44,45,62" 1
"276" "26,44,61" 1
"277" "26,44,68" 1
"278" "26,45,237" 1
"279" "26,45,54" 1
"280" "26,46,243" 1
"281" "26,46,47" 1
"282" "26,46,72" 1
"283" "26,48,72" 1
"284" "26,54,215" 1
"285" "26,54,257" 1
"286" "26,54,55" 1
"287" "26,54,57,273" 1
"288" "26,55" 1
"289" "26,58,243" 1
"290" "26,58,258" 1
"291" "26,61,207" 1
"292" "26,61,264" 1
"293" "26,61,307" 1
"294" "26,61,64" 1
"295" "26,66" 1
"296" "26,71" 1
"297" "26,73" 1
"298" "26,92" 1
"299" "27,238" 1
"300" "27,28,436" 1
"301" "27,36,86" 1
"302" "27,45" 1
"303" "27,68" 1
"304" "27,81,82" 1
"305" "273,278" 1
"306" "273,576" 1
"307" "273,578" 1
"308" "277,278" 1
"309" "278,377" 1
"310" "28,235" 1
"311" "28,276" 1
"312" "28,294" 1
"313" "28,35,255" 1
"314" "28,35,48" 1
"315" "28,35,54" 1
"316" "28,35,72,79" 1
"317" "28,35,73" 1
"318" "28,357" 1
"319" "28,364" 1
"320" "28,373,657" 1
"321" "28,41,54" 1
"322" "28,41,54,357" 1
"323" "28,41,57" 1
"324" "28,41,657" 1
"325" "28,41,72,255" 1
"326" "28,41,72,273" 1
"327" "28,41,72,373" 1
"328" "28,41,73" 1
"329" "28,41,74" 1
"330" "28,42,45" 1
"331" "28,43,45" 1
"332" "28,44,68" 1
"333" "28,45,68" 1
"334" "28,45,73,94" 1
"335" "28,46,243" 1
"336" "28,46,68" 1
"337" "28,48,72" 1
"338" "28,54,255" 1
"339" "28,54,61" 1
"340" "28,55,657" 1
"341" "28,57" 1
"342" "28,57,92,255" 1
"343" "28,61,273" 1
"344" "28,62" 1
"345" "28,68" 1
"346" "28,72,255" 1
"347" "28,72,273" 1
"348" "28,73,74" 1
"349" "28,79" 1
"350" "28,81" 1
"351" "28,92,255" 1
"352" "28,95" 1
"353" "282,294" 1
"354" "29,45,243" 1
"355" "3,41,357" 1
"356" "3,43,54" 1
"357" "3,61,65" 1
"358" "31,243,377" 1
"359" "31,357" 1
"360" "31,373" 1
"361" "31,377" 1
"362" "31,42,71" 1
"363" "31,52,71" 1
"364" "31,71,243" 1
"365" "31,71,256,676" 1
"366" "31,71,378" 1
"367" "31,71,73" 1
"368" "31,73" 1
"369" "31,73,378" 1
"370" "31,74,77" 1
"371" "31,77" 1
"372" "32,44,45" 1
"373" "33,71" 1
"374" "34,317" 1
"375" "34,35,41" 1
"376" "34,35,55" 1
"377" "34,41,75" 1
"378" "34,48" 1
"379" "34,52" 1
"380" "34,54" 1
"381" "34,55,273" 1
"382" "34,71" 1
"383" "34,74" 1
"384" "35,48" 1
"385" "35,48,72" 1
"386" "35,54,71" 1
"387" "35,54,71,478" 1
"388" "35,55" 1
"389" "35,74" 1
"390" "357,395" 1
"391" "36,392" 1
"392" "36,51" 1
"393" "36,55,236" 1
"394" "36,83" 1
"395" "36,83,294" 1
"396" "37,42" 1
"397" "37,43,45" 1
"398" "37,45" 1
"399" "377,576" 1
"400" "38,43" 1
"401" "38,43,44" 1
"402" "38,44,71" 1
"403" "4,41" 1
"404" "4,45,68" 1
"405" "4,46,54,66" 1
"406" "4,46,66" 1
"407" "41,243" 1
"408" "41,255,277" 1
"409" "41,256" 1
"410" "41,273,357" 1
"411" "41,273,576" 1
"412" "41,278" 1
"413" "41,307,657" 1
"414" "41,373" 1
"415" "41,395" 1
"416" "41,42,215" 1
"417" "41,42,44,45" 1
"418" "41,43,273,357" 1
"419" "41,43,273,657" 1
"420" "41,43,45,68" 1
"421" "41,43,61" 1
"422" "41,43,63,73" 1
"423" "41,45,255" 1
"424" "41,45,54" 1
"425" "41,46,61" 1
"426" "41,476" 1
"427" "41,48,72" 1
"428" "41,51" 1
"429" "41,52" 1
"430" "41,52,71" 1
"431" "41,54,255" 1
"432" "41,54,55" 1
"433" "41,54,58" 1
"434" "41,54,61,72" 1
"435" "41,54,71,273" 1
"436" "41,54,72,657" 1
"437" "41,54,72,74" 1
"438" "41,54,74,255" 1
"439" "41,54,92" 1
"440" "41,55,58" 1
"441" "41,55,71" 1
"442" "41,55,72" 1
"443" "41,57,273" 1
"444" "41,57,72,92" 1
"445" "41,57,74" 1
"446" "41,58" 1
"447" "41,61,62" 1
"448" "41,61,63" 1
"449" "41,61,657" 1
"450" "41,61,72,273" 1
"451" "41,61,92" 1
"452" "41,65,215" 1
"453" "41,65,72" 1
"454" "41,65,74" 1
"455" "41,68,278" 1
"456" "41,71,255" 1
"457" "41,71,273,576" 1
"458" "41,71,276" 1
"459" "41,71,357" 1
"460" "41,71,378" 1
"461" "41,71,76" 1
"462" "41,71,76,215" 1
"463" "41,72,395" 1
"464" "41,72,657" 1
"465" "41,72,79" 1
"466" "41,72,94,273" 1
"467" "41,73,357" 1
"468" "41,73,395" 1
"469" "41,74,273,576" 1
"470" "41,74,576" 1
"471" "41,74,76" 1
"472" "41,75,255" 1
"473" "41,76,92" 1
"474" "41,857" 1
"475" "41,92,255" 1
"476" "41,94" 1
"477" "41,94,255" 1
"478" "41,95" 1
"479" "41,95,215" 1
"480" "41,95,273,357" 1
"481" "41,99" 1
"482" "42,215,476" 1
"483" "42,243" 1
"484" "42,255,273" 1
"485" "42,255,377" 1
"486" "42,255,395" 1
"487" "42,273,278" 1
"488" "42,273,378" 1
"489" "42,278" 1
"490" "42,43,273" 1
"491" "42,43,44,65" 1
"492" "42,43,65" 1
"493" "42,44,71" 1
"494" "42,45,215" 1
"495" "42,45,255" 1
"496" "42,45,46" 1
"497" "42,45,47" 1
"498" "42,45,71" 1
"499" "42,45,72" 1
"500" "42,45,74" 1
"501" "42,47" 1
"502" "42,48" 1
"503" "42,52,373" 1
"504" "42,54,72" 1
"505" "42,56" 1
"506" "42,56,74" 1
"507" "42,57" 1
"508" "42,576" 1
"509" "42,578" 1
"510" "42,58,373" 1
"511" "42,61" 1
"512" "42,65,273" 1
"513" "42,71,243,276" 1
"514" "42,71,255" 1
"515" "42,71,72,243" 1
"516" "42,71,74,576" 1
"517" "42,72,74" 1
"518" "42,73,77,243" 1
"519" "42,74,255" 1
"520" "42,74,277,378,578" 1
"521" "42,74,357" 1
"522" "42,74,373,378" 1
"523" "42,74,79" 1
"524" "42,76,215" 1
"525" "43,207" 1
"526" "43,255,273" 1
"527" "43,255,273,277" 1
"528" "43,273,657" 1
"529" "43,276" 1
"530" "43,307" 1
"531" "43,357,373" 1
"532" "43,45,215" 1
"533" "43,45,46" 1
"534" "43,45,71,72" 1
"535" "43,46,307" 1
"536" "43,51,357" 1
"537" "43,54,71" 1
"538" "43,54,72" 1
"539" "43,54,74" 1
"540" "43,55,215" 1
"541" "43,55,57" 1
"542" "43,55,58" 1
"543" "43,55,68" 1
"544" "43,55,71" 1
"545" "43,58,72" 1
"546" "43,58,95" 1
"547" "43,61" 1
"548" "43,61,94" 1
"549" "43,65,215" 1
"550" "43,65,273" 1
"551" "43,71,215" 1
"552" "43,71,74" 1
"553" "43,71,76" 1
"554" "43,72,255" 1
"555" "43,72,357" 1
"556" "43,72,395" 1
"557" "43,72,576" 1
"558" "43,72,92" 1
"559" "43,72,95" 1
"560" "43,73" 1
"561" "43,74,273" 1
"562" "43,75" 1
"563" "43,76" 1
"564" "43,76,95" 1
"565" "44,215,276" 1
"566" "44,278" 1
"567" "44,45,243" 1
"568" "44,45,276" 1
"569" "44,45,278" 1
"570" "44,45,476" 1
"571" "44,45,55" 1
"572" "44,45,67" 1
"573" "44,46,55" 1
"574" "44,51,58" 1
"575" "44,54" 1
"576" "44,54,377" 1
"577" "44,54,57" 1
"578" "44,55,58" 1
"579" "44,65" 1
"580" "44,65,71" 1
"581" "44,66,68" 1
"582" "44,67" 1
"583" "44,68,72" 1
"584" "44,71,243" 1
"585" "44,71,276" 1
"586" "44,71,476" 1
"587" "44,76,215" 1
"588" "44,93" 1
"589" "45,255,476" 1
"590" "45,257" 1
"591" "45,299" 1
"592" "45,373" 1
"593" "45,46,395" 1
"594" "45,46,55" 1
"595" "45,46,58" 1
"596" "45,46,68,243" 1
"597" "45,47,72" 1
"598" "45,51" 1
"599" "45,51,243" 1
"600" "45,52,215" 1
"601" "45,52,72" 1
"602" "45,54,72" 1
"603" "45,55,215,578" 1
"604" "45,55,236" 1
"605" "45,55,99" 1
"606" "45,56,243,476" 1
"607" "45,56,276" 1
"608" "45,58,357" 1
"609" "45,65,276" 1
"610" "45,66,243" 1
"611" "45,66,67" 1
"612" "45,67" 1
"613" "45,68,237" 1
"614" "45,68,278" 1
"615" "45,71,255" 1
"616" "45,72,258" 1
"617" "45,72,79" 1
"618" "45,72,95" 1
"619" "45,74,243" 1
"620" "45,75" 1
"621" "45,76" 1
"622" "45,77" 1
"623" "45,79,357" 1
"624" "45,92" 1
"625" "45,94,255" 1
"626" "45,99" 1
"627" "46,395" 1
"628" "46,47,54" 1
"629" "46,55,61" 1
"630" "46,62,258" 1
"631" "46,66,95" 1
"632" "46,74" 1
"633" "46,95" 1
"634" "47,51" 1
"635" "47,52" 1
"636" "47,55,66" 1
"637" "48,235" 1
"638" "48,436" 1
"639" "48,52,72" 1
"640" "48,54" 1
"641" "48,54,71" 1
"642" "48,72,92" 1
"643" "51,243" 1
"644" "51,357" 1
"645" "51,376" 1
"646" "51,54" 1
"647" "51,55,76" 1
"648" "51,56,66" 1
"649" "51,57" 1
"650" "51,57,258" 1
"651" "51,57,58" 1
"652" "51,58,857" 1
"653" "51,66" 1
"654" "51,74" 1
"655" "51,75,255" 1
"656" "51,92" 1
"657" "52,215" 1
"658" "52,373" 1
"659" "52,54,57" 1
"660" "52,55" 1
"661" "52,55,71" 1
"662" "52,61" 1
"663" "52,71,243" 1
"664" "52,71,74" 1
"665" "52,71,76" 1
"666" "52,71,92,255" 1
"667" "52,72" 1
"668" "52,74,215" 1
"669" "52,76" 1
"670" "52,79" 1
"671" "53,215" 1
"672" "53,55,62" 1
"673" "53,56" 1
"674" "53,58" 1
"675" "54,255,295" 1
"676" "54,258,357" 1
"677" "54,273,357" 1
"678" "54,55,258" 1
"679" "54,55,357" 1
"680" "54,55,58" 1
"681" "54,55,657" 1
"682" "54,55,72" 1
"683" "54,55,74" 1
"684" "54,56" 1
"685" "54,57,58" 1
"686" "54,58,258" 1
"687" "54,58,657" 1
"688" "54,58,77" 1
"689" "54,58,857" 1
"690" "54,61,357" 1
"691" "54,62" 1
"692" "54,65" 1
"693" "54,71,255" 1
"694" "54,71,74" 1
"695" "54,72,235" 1
"696" "54,72,243" 1
"697" "54,72,255" 1
"698" "54,72,395" 1
"699" "54,72,657" 1
"700" "54,72,74" 1
"701" "54,72,92" 1
"702" "54,72,94" 1
"703" "54,73,255" 1
"704" "54,74,576" 1
"705" "54,74,76" 1
"706" "54,76" 1
"707" "54,79,255" 1
"708" "54,79,657" 1
"709" "54,79,92" 1
"710" "54,92,258" 1
"711" "54,94" 1
"712" "54,97,255" 1
"713" "55,243" 1
"714" "55,273" 1
"715" "55,399" 1
"716" "55,57,215" 1
"717" "55,57,71,273" 1
"718" "55,58,257" 1
"719" "55,58,77" 1
"720" "55,58,857" 1
"721" "55,61" 1
"722" "55,657" 1
"723" "55,71,395" 1
"724" "55,71,95" 1
"725" "55,73,77" 1
"726" "55,76" 1
"727" "55,77" 1
"728" "55,92" 1
