"","PlotID0","PlotID.x","CoorX","CoorY","FechaIni.x","FechaFin.x","Cla.x","Subclase.x","PlotID.y","FechaIni.y","FechaFin.y","Cla.y","Subclase.y"
"1",9.2146,"9.2146.A.1",NA,NA,"03/13/03 00:00:00","03/13/03 00:00:00","A","1","9.2146.A.1","2018-11-24","2018-11-24","A",1
"2",9.221,"9.2210.A.1",NA,NA,"03/27/03 00:00:00","03/27/03 00:00:00","A","1","9.2210.A.1","2018-05-25","2018-05-25","A",1
"3",9.2215,"9.2215.A.1",NA,NA,"04/29/03 00:00:00","04/29/03 00:00:00","A","1","9.2215.A.1","2018-05-09","2018-05-09","A",1
"4",9.2226,"9.2226.A.1",NA,NA,"04/21/03 00:00:00","04/21/03 00:00:00","A","1","9.2226.A.1","2018-05-22","2018-05-22","A",1
"5",9.2235,"9.2235.A.1",NA,NA,"03/20/03 00:00:00","03/20/03 00:00:00","A","1","9.2235.A.1","2018-06-05","2018-06-05","A",1
"6",9.2243,"9.2243.A.1",NA,NA,"05/23/03 00:00:00","05/23/03 00:00:00","A","1","9.2243.A.1","2018-05-31","2018-05-31","A",1
"7",9.2247,"9.2247.A.1",NA,NA,"03/06/03 00:00:00","03/06/03 00:00:00","A","1","9.2247.A.1","2018-06-12","2018-06-12","A",1
"8",9.2259,"9.2259.A.1",NA,NA,"04/22/03 00:00:00","04/22/03 00:00:00","A","1","9.2259.A.1","2018-06-20","2018-06-20","A",1
"9",9.227,"9.2270.A.1",NA,NA,"02/28/03 00:00:00","02/28/03 00:00:00","A","1","9.2270.A.1","2018-06-14","2018-06-14","A",1
"10",9.236,"9.2360.A.1",NA,NA,"03/05/03 00:00:00","03/05/03 00:00:00","A","1","9.2360.A.1","2018-11-13","2018-11-13","A",1
"11",9.2397,"9.2397.A.1",NA,NA,"04/02/03 00:00:00","04/02/03 00:00:00","A","1","9.2397.A.1","2018-10-18","2018-10-18","A",1
"12",9.24,"9.2400.A.1",NA,NA,"03/26/03 00:00:00","03/26/03 00:00:00","A","1","9.2400.A.1","2018-10-24","2018-10-24","A",1
"13",9.2421,"9.2421.A.1",NA,NA,"04/24/03 00:00:00","04/24/03 00:00:00","A","1","9.2421.A.1","2018-07-16","2018-07-16","A",1
"14",9.2422,"9.2422.A.1",NA,NA,"04/24/03 00:00:00","04/24/03 00:00:00","A","1","9.2422.A.1","2018-07-10","2018-07-10","A",1
"15",9.2423,"9.2423.A.1",NA,NA,"04/24/03 00:00:00","04/24/03 00:00:00","A","1","9.2423.A.1","2018-07-11","2018-07-11","A",1
"16",9.2438,"9.2438.A.1",NA,NA,"04/16/03 00:00:00","04/16/03 00:00:00","A","1","9.2438.A.1","2018-07-12","2018-07-12","A",1
"17",9.2443,"9.2443.A.1",NA,NA,"04/08/03 00:00:00","04/08/03 00:00:00","A","1","9.2443.A.1","2018-07-19","2018-07-19","A",1
"18",9.2457,"9.2457.A.1",NA,NA,"03/11/03 00:00:00","03/11/03 00:00:00","A","1","9.2457.A.1","2018-07-11","2018-07-12","A",1
"19",9.246,"9.2460.A.1",NA,NA,"03/14/03 00:00:00","03/14/03 00:00:00","A","1","9.2460.A.1","2018-07-24","2018-07-25","A",1
"20",9.2614,"9.2614.A.1",NA,NA,"02/25/03 00:00:00","02/25/03 00:00:00","A","1","9.2614.A.1","2018-06-13","2018-06-13","A",1
"21",9.3448,"9.3448.N.N",NA,NA,"04/08/03 00:00:00","04/08/03 00:00:00","N","N","9.3448.A.1","2018-07-02","2018-07-02","A",1
"22",9.503,"9.503.A.1",NA,NA,"03/03/03 00:00:00","03/03/03 00:00:00","A","1","9.503.A.1","2018-06-18","2018-06-18","A",1
"23",9.52,"9.520.A.1",NA,NA,"06/04/03 00:00:00","06/04/03 00:00:00","A","1","9.520.A.1","2018-06-19","2018-06-19","A",1
"24",9.86,"9.86.A.1",NA,NA,"06/12/03 00:00:00","06/12/03 00:00:00","A","1","9.86.A.1","2018-05-07","2018-05-07","A",1
"25",9.86,"9.86.A.1",NA,NA,"06/12/03 00:00:00","06/12/03 00:00:00","A","1","9.860.A.1","2018-07-18","2018-07-18","A",1
"26",9.86,"9.860.A.1",NA,NA,"04/02/03 00:00:00","04/02/03 00:00:00","A","1","9.86.A.1","2018-05-07","2018-05-07","A",1
"27",9.86,"9.860.A.1",NA,NA,"04/02/03 00:00:00","04/02/03 00:00:00","A","1","9.860.A.1","2018-07-18","2018-07-18","A",1
"28",9.876,"9.876.A.1",NA,NA,"04/04/03 00:00:00","04/04/03 00:00:00","A","1","9.876.A.1","2018-09-10","2018-09-10","A",1
