"","PlotID0","PlotID.x","CoorX","CoorY","FechaIni.x","FechaFin.x","Cla.x","Subclase.x","PlotID.y","FechaIni.y","FechaFin.y","Cla.y","Subclase.y"
"39",34.213,"34.213.A.1",NA,NA,"04/08/03 00:00:00","04/08/03 00:00:00","A","1","34.213.A.1","2019-05-09","2019-05-09","A","1"
"40",34.215,"34.215.A.1",NA,NA,"04/08/03 00:00:00","04/08/03 00:00:00","A","1","34.215.A.1","2019-04-04","2019-04-04","A","1"
"41",34.258,"34.258.A.4",NA,NA,"03/31/03 00:00:00","03/31/03 00:00:00","A","4","34.258.A.1","2019-07-05","2019-07-05","A","1"
"42",34.259,"34.259.A.1",NA,NA,"04/25/03 00:00:00","04/25/03 00:00:00","A","1","34.259.A.1","2019-07-08","2019-07-08","A","1"
"43",34.277,"34.277.A.1",NA,NA,"03/25/03 00:00:00","03/25/03 00:00:00","A","1","34.277.A.1","2019-06-11","2019-06-11","A","1"
"44",34.286,"34.286.A.4",NA,NA,"05/14/03 00:00:00","05/14/03 00:00:00","A","4","34.286.A.1","2019-07-09","2019-07-09","A","1"
"45",34.293,"34.293.A.1",NA,NA,"03/25/03 00:00:00","03/25/03 00:00:00","A","1","34.293.A.1","2019-07-23","2019-07-23","A","1"
"46",34.312,"34.312.A.1",NA,NA,"03/13/03 00:00:00","03/13/03 00:00:00","A","1","34.312.A.1","2019-03-11","2019-03-11","A","1"
"47",34.354,"34.354.A.1",NA,NA,"03/20/03 00:00:00","03/20/03 00:00:00","A","1","34.354.A.1","2019-05-30","2019-05-30","A","1"
"48",34.384,"34.384.A.1",NA,NA,"06/02/03 00:00:00","06/02/03 00:00:00","A","1","34.384.A.1","2019-05-22","2019-05-22","A","1"
"49",34.385,"34.385.A.1",NA,NA,"06/04/03 00:00:00","06/04/03 00:00:00","A","1","34.385.A.4","2019-04-22","2019-04-22","A","4"
"50",34.388,"34.388.A.1",NA,NA,"06/05/03 00:00:00","06/05/03 00:00:00","A","1","34.388.A.4","2019-05-23","2019-05-23","A","4"
"51",34.391,"34.391.A.3C",NA,NA,"04/16/03 00:00:00","04/16/03 00:00:00","A","3C","34.391.A.1","2019-05-22","2019-05-22","A","1"
"52",34.398,"34.398.A.1",NA,NA,"06/06/03 00:00:00","06/06/03 00:00:00","A","1","34.398.A.1","2019-05-24","2019-05-24","A","1"
"53",34.402,"34.402.A.1",NA,NA,"04/14/03 00:00:00","04/14/03 00:00:00","A","1","34.402.A.1","2019-05-29","2019-05-29","A","1"
"54",34.407,"34.407.A.1",NA,NA,"04/28/03 00:00:00","04/28/03 00:00:00","A","1","34.407.A.1","2019-03-12","2019-03-12","A","1"
"55",34.444,"34.444.A.4",NA,NA,"06/11/03 00:00:00","06/11/03 00:00:00","A","4","34.444.A.1","2019-04-05","2019-04-05","A","1"
"56",34.456,"34.456.A.4",NA,NA,"05/13/03 00:00:00","05/13/03 00:00:00","A","4","34.456.A.1","2019-04-02","2019-04-02","A","1"
"57",34.476,"34.476.A.1",NA,NA,"06/09/03 00:00:00","06/09/03 00:00:00","A","1","34.476.A.4","2019-05-10","2019-05-10","A","4"
"58",34.499,"34.499.A.1",NA,NA,"06/05/03 00:00:00","06/05/03 00:00:00","A","1","34.499.A.1","2019-03-15","2019-03-15","A","1"
"59",34.581,"34.581.A.1",NA,NA,"05/19/03 00:00:00","05/19/03 00:00:00","A","1","34.581.A.1","2019-04-23","2019-04-23","A","1"
"60",40.1079,"40.1079.A.1 ",NA,NA,"02/19/04 18:30:07","02/19/04 20:57:16","A","1 ","40.1079.A.1","2018-12-03","2018-12-03","A","1"
"61",40.1089,"40.1089.A.3C",NA,NA,"02/09/04 18:43:14","02/09/04 19:30:04","A","3C","40.1089.A.4","2018-11-30","2018-11-30","A","4"
