"","PLOT_ID","PlotID0","ID_SP1","ID_SP2","ID_SP3","G_sp_1","G_sp_2","G_sp_3","N_sp_1","N_sp_2","N_sp_3","X","Provincia","Estadillo","ESTRATO","FECHGR","CODGR","NUMPMA","NUMTIP","NUMPME","NUMMAT","VERIFICA","FECHAVE","CODVE","HOJA","VUELO","FOTO","COORDEX","COORDEY","YEAR","MUNICI","PROPIED1","PROPIED2","AREAPRO1","AREAPRO2","ALTITUD1","ALTITUD2","PENDIEN1","PENDIEN2","USO1","USO2","FRACCION1","FRACCION2","ESPECIA11","ESPECIA12","OCUPA11","OCUPA12","ESTADA11","ESTADA12","ESPECIA21","ESPECIA22","OCUPA21","OCUPA22","ESTADA21","ESTADA22","ESPECIA31","ESPECIA32","OCUPA31","OCUPA32","ESTADA31","ESTADA32","ESPECIB1","MASAB1","ORIGEB1","EDADB1","ESPECIB2","MASAB2","ORIGEB2","EDADB2","ESPECIB3","MASAB3","ORIGEB3","EDADB3","ESPECIE1","ESPECIE2","ESPECIE3","ESPECIE4","ESPECIE5","ESPECIE6","ESPECIE7","CLASUELO","ESPESOR","CLACOBER","CUBIERTA","MEROSIVA1","MEROSIVA2","MEROSIVA3","MEROSIVA4","DISESPAC","COMPESPE","PREPSUEL1","PREPSUEL2","TRAVUELO1","TRAVUELO2","CORTAS","DANOS1","DANOS2","DANOS3","ORIENTA1","ORIENTA2","MAXPEND1","MAXPEND2","CoorX","CoorY","Origen","INVENTORY_ID","PLOT_ID_short","Do","SUM_DBH","SUM_H","G","N","Deadwood","dbh_mean","h_mean","dg","Ho","slenderness","dominant_slenderness","SDI","S","S_staggered","Longitude","Latitude","period","tmin","tmax","tmean","prec","MARTONNE"
"860","8_152",8.152,71,21,76,19.4746590277778,8.96874097222222,1.073,2051.33037762887,180.375602170815,159.154943091895,10647,8,152,0,910608,NA,NA,NA,NA,NA,"5",911002,NA,255,5,"0255365",411,4676,90,166,6,6,"0","0",11,11,5,5,9,1,80,95,31,71,6,5,4,3,21,21,4,4,4,4,NA,NA,NA,NA,NA,NA,71,3,6,NA,21,3,1,NA,NA,NA,NA,NA,21,71,76,91,42,78,99,2,4,"W",20,NA,NA,NA,1,1,3,NA,0,NA,0,0,NA,NA,"01",3,NA,"21.00",NA,411000,4676000,8,"IFN2","8_152",27.477027027027,27862.0180153185,22745.0097560884,29.5164,2390.86092289158,0,11.653550295858,9.51331360946745,12.5374610266227,12.7837837837838,81.6344664754119,46.5253528746373,789.745211803975,15.9979165271192,29.7754777112939,1.92150628948555,42.2303643737644,"1986_1996",5.06060606060606,14.1590909090909,9.60984848484848,854.254547379234,43.5625266579327
"862","8_158",8.158,21,71,78,11.9126472222222,4.7588875,1.428025,146.56401870507,350.14087480217,127.323954473516,10653,8,158,0,910608,NA,NA,NA,NA,NA,"5",911003,NA,255,5,"0255363",417,4676,90,166,2,2,"0","0",10,10,5,5,9,1,60,90,21,21,0,5,4,4,NA,71,NA,4,NA,3,NA,91,NA,1,NA,3,21,3,1,NA,71,3,6,NA,91,3,6,NA,21,71,91,74,42,15,78,3,10,"G",15,NA,NA,NA,1,1,3,NA,0,NA,0,0,NA,NA,"01",148,NA,"13.00",NA,417000,4676000,8,"IFN2","8_158",34.3790760869565,10565.1295356216,8550.65236925977,18.0995597222222,624.028847980756,0,16.9305146225346,13.7023350714124,19.2170504883495,17.9565217391304,80.9327736156025,52.2309607556416,409.09875380227,22.2933559792775,41.492610800017,1.49623855671959,41.766266895124,"1986_1996",7.65909090909091,18.1742424242424,12.9166666666667,657.236363627694,28.6794049582994
"863","8_165",8.165,71,21,NA,19.01515625,4.11145,NA,1464.22547644544,70.7355302630646,NA,10659,8,165,0,910608,NA,33,5,3,1,"5",911003,NA,255,5,"0255364",412,4675,90,99,6,6,"0","0",13,13,5,5,9,1,80,90,21,71,0,6,3,3,NA,21,NA,3,NA,4,NA,91,NA,1,NA,3,71,1,6,30,21,3,1,NA,91,3,6,NA,71,21,91,76,42,37,NA,3,6,"G",15,NA,NA,NA,1,1,3,NA,0,NA,0,4,NA,NA,"01",5,NA,"12.00",NA,412000,4675000,8,"IFN2","8_165",25.4120689655172,20017.9782256216,15130.3299232695,23.12660625,1534.9610067085,0,13.0413594470046,9.85714285714286,13.8504007245428,10.9655172413793,75.583706569846,43.1508243435783,594.909202730483,23.2767426078747,43.3228995499142,1.93377369457248,42.2214731879368,"1986_1996",5.06060606060606,14.1590909090909,9.60984848484848,854.254547379234,43.5625266579327
"864","8_167",8.167,21,71,NA,23.5854379444444,10.5565826388889,NA,949.412287190853,429.506139757328,NA,10661,8,167,0,910608,NA,NA,NA,NA,NA,"5",911003,NA,255,5,"0255363",414,4675,90,166,2,2,"0","0",12,12,4,5,9,1,60,95,21,21,0,7,4,4,NA,71,NA,3,NA,3,NA,NA,NA,NA,NA,NA,21,3,1,NA,71,3,6,NA,NA,NA,NA,NA,21,71,74,76,78,15,91,3,7,"G",15,NA,NA,NA,1,1,2,NA,0,NA,0,0,NA,NA,"01",55,NA,"14.00",NA,414000,4675000,8,"IFN2","8_167",32.7121761658031,22191.1576276817,17936.6206153961,34.1420205833333,1378.91842694818,0,16.0931619985637,13.0077459731199,17.7553967666981,16.0932642487047,80.8277824723376,49.196556557825,796.196242743131,16.7334915980676,31.1445371818117,1.95800218206439,42.2216958637623,"1986_1996",5.06060606060606,14.1590909090909,9.60984848484848,854.254547379234,43.5625266579327
"865","8_168",8.168,71,21,NA,12.8836236111111,10.2494276666667,NA,481.001605788839,87.1461732840956,NA,10662,8,168,0,910608,NA,NA,NA,NA,NA,"5",911003,NA,255,5,"0255363",415,4675,90,166,2,2,"0","0",14,14,5,5,9,1,60,80,21,71,0,5,4,4,NA,21,NA,4,NA,4,NA,NA,NA,NA,NA,NA,71,3,6,NA,21,3,1,NA,NA,NA,NA,NA,71,21,91,74,78,15,99,3,7,"G",14,NA,NA,NA,1,1,3,NA,0,1,3,4,NA,NA,"01",198,NA,"11.75",NA,415000,4675000,8,"IFN2","8_168",36.5385474860335,11956.6530340627,9137.82800597347,23.1330512777778,568.147779072935,0,21.0449701195219,16.0835408366534,22.7688377800577,16.2765363128492,76.4246313741916,44.5462051250688,488.989669685379,25.7755150328926,47.9736390709382,1.55818349531837,41.6860026353062,"1986_1996",7.37878787878788,17.7954545454545,12.5871212121212,686.354541746053,30.3869862520473
"866","8_169",8.169,21,71,NA,22.7337298611111,6.63468125,NA,664.913984472807,732.112738222719,NA,10663,8,169,0,910608,NA,NA,NA,NA,NA,"5",911003,NA,255,5,"0255362",417,4675,90,166,6,6,"0","0",11,11,5,5,9,1,60,90,21,21,0,7,4,4,NA,71,NA,2,NA,3,NA,91,NA,1,NA,3,21,3,1,NA,71,3,6,NA,91,3,6,NA,21,71,91,42,76,78,74,2,4,"W",20,NA,NA,NA,1,1,3,NA,0,NA,0,4,NA,"P906","P112",125,NA,"16.25",NA,417000,4675000,8,"IFN2","8_169",27.275,21221.366434222,17089.7041115564,29.3684111111111,1397.02672269553,0,15.1903797468354,12.2329113924051,16.3603627207477,14.25,80.5306489783674,52.2456461961503,707.373277003492,18.7751224839847,34.9444404276664,1.99434541923725,42.2220202836257,"1986_1996",4.9469696969697,13.9469696969697,9.4469696969697,863.709089279175,44.4135565971372
"870","8_191",8.191,21,71,NA,26.7061277777778,5.98408819444444,NA,657.840431446501,410.266075525775,NA,10684,8,191,0,910611,NA,NA,NA,NA,NA,"5",911004,NA,255,5,"0255466",411,4673,90,142,6,NA,"0",NA,15,15,5,5,9,1,60,90,71,21,0,8,4,4,NA,71,NA,1,NA,3,NA,NA,NA,NA,NA,NA,21,3,1,NA,71,3,6,NA,NA,NA,NA,NA,21,71,91,37,42,76,45,2,6,"G",11,NA,NA,NA,1,1,3,NA,0,NA,0,0,NA,NA,"01",258,NA,"8.50",NA,411000,4673000,8,"IFN2","8_191",33.50625,19262.8764400634,11073.6472626828,32.6902159722222,1068.10650697228,0,18.0346026490066,10.3675496688742,19.7404329665945,13.9375,57.4869869364448,41.5967170304048,731.085732260712,21.9537057613364,40.8604505135948,1.92196587394634,42.203351002305,"1986_1996",4,12.9015151515152,8.45075757575758,964.954543763941,52.2989118361076
"872","8_193",8.193,71,21,22,8.00121875,4.92371458333333,0.8281,732.112738222719,111.196253573538,31.8309886183791,10686,8,193,0,910611,NA,NA,NA,NA,NA,"5",911004,NA,255,5,"0255464",414,4673,90,166,6,6,"0","0",15,15,5,5,9,1,60,85,21,71,0,5,4,3,NA,21,NA,4,NA,4,NA,91,NA,1,NA,3,71,3,6,NA,21,3,1,NA,91,3,6,NA,71,21,91,22,76,78,15,3,4,"W",20,NA,NA,NA,1,1,3,NA,0,NA,0,0,NA,NA,"01",220,NA,"15.00",NA,414000,4673000,8,"IFN2","8_193",23.5206743002545,11532.8623251506,9262.53474582726,13.7530333333333,875.139980414635,0,13.1783058519237,10.5840607824119,14.1454101572207,13.0222646310433,80.3142748494253,55.3651841133754,350.850225631992,25.9582087724545,48.3136704344658,1.95829818257249,42.2036867240589,"1986_1996",4,12.9015151515152,8.45075757575758,964.954543763941,52.2989118361076
"873","8_194",8.194,21,71,15,8.04579652777778,7.62325625,0.8836,229.89047335496,491.611935328299,31.8309886183791,10687,8,194,0,910611,NA,NA,NA,NA,NA,"5",911004,NA,255,5,"0255464",415,4673,90,166,6,6,"0","0",13,13,5,4,9,1,60,90,21,21,0,5,4,4,NA,71,NA,4,NA,4,NA,91,NA,1,NA,3,21,3,1,NA,71,3,6,NA,91,3,6,NA,21,71,91,15,76,37,65,2,4,"W",20,NA,NA,NA,1,1,3,NA,0,NA,0,0,NA,NA,"01",10,NA,"5.50",NA,415000,4673000,8,"IFN2","8_194",25.6893939393939,11832.9931800568,9269.89124097462,16.5526527777778,753.333397301638,0,15.7075117370892,12.3051643192488,16.7261216526697,15.3333333333333,78.3393609707983,59.6874078442937,395.223614374232,23.7612789260372,44.2247232541011,2.11054763339516,41.7096192137732,"1986_1996",7.28787878787879,16.6515151515152,11.969696969697,778.390909769318,35.430206927431
"874","8_195",8.195,71,21,57,14.46998125,5.19666111111111,1.77501875,1188.35690841949,219.2801438155,95.4929658551372,10688,8,195,0,910611,NA,26,6,2,0,"5",911004,NA,225,5,"0225463",416,4673,90,166,6,6,"0","0",13,13,5,5,9,1,60,90,21,71,0,7,4,3,NA,21,NA,3,NA,4,NA,NA,NA,NA,NA,NA,71,3,6,NA,21,3,1,NA,NA,NA,NA,NA,71,21,91,57,37,76,65,3,4,"W",19,NA,NA,NA,1,1,2,NA,0,NA,0,4,NA,NA,"01",232,NA,"13.00",NA,416000,4673000,8,"IFN2","8_195",25.5241379310345,18679.8388318701,18051.7073231341,21.4416611111111,1503.13001809012,0,12.4272941176471,12.0094117647059,13.4767756660464,16.3275862068966,96.6373826113299,63.9691975141854,557.555831753535,15.7971863249149,29.401876708214,1.9424458671134,41.6991883548668,"1986_1996",8.82575757575758,18.0833333333333,13.4545454545455,666.754546978257,28.4275194448094
