"","PLOT_ID","PlotID0","ID_SP1","ID_SP2","ID_SP3","G_sp_1","G_sp_2","G_sp_3","N_sp_1","N_sp_2","N_sp_3","X","Provincia","Estadillo","Cla","Subclase","Tipo","Vuelo1","Pasada1","Foto1","Vuelo2","Pasada2","Foto2","YEAR","Nivel1","Nivel2","Nivel3","FccTot","FccArb","DisEsp","ComEsp","Rocosidad","Textura","MatOrg","PhSuelo","TipSuelo1","TipSuelo2","TipSuelo3","MErosiva","ModComb","EspCMue","PresReg","EfecReg","CortaReg","MejVue1","MejVue2","MejSue1","MejSue2","Orienta1","Orienta2","MaxPend1","MaxPend2","Localiza","Acceso","Levanta","Obser","FechaIni","HoraIni","FechaFin","HoraFin","Origen","PlotID","INVENTORY_ID","PLOT_ID_short","Do","SUM_DBH","SUM_H","G","N","Deadwood","dbh_mean","h_mean","dg","Ho","slenderness","dominant_slenderness","SDI","S","S_staggered","Longitude","Latitude","period","tmin","tmax","tmean","prec","MARTONNE"
"85","37_896_A_1",37.896,26,21,NA,6.87149227777778,5.53005555555556,NA,112.328022057747,56.5884242104517,NA,39679,37,896,"A","1",0,1997,"","4-2",1984,"L","12",2018,1,1,1,95,25,1,1,3,2,2,4,1,2,1,1,6,3,NA,NA,1,0,0,0,0,275,NA,5,NA,2,2,2,"PARCELA LOCALIZADA POR ORTOFOTO,CROQUIS Y PIES IFN3.
[Pies Mayores]A 154G Y 23M 021 NO ENTRA POR DIAMETRO.PIE 5 DISTANCIA COMPROBADA. 
A 173G Y 15M 026 NO ENTRA POR DISTANCIA LATERAL.A 231G Y 25M 026 NO ENTRA POR DISTANCIA LATERAL.
[Selvicultura]HAN CORTADO ALGUN PINO A MAS DE 15M DE DISTANCIA.NO ENTRABAN EN IFN3.
[Especies Presentes]045 FUERA DE LOS 25M.","2018-11-24","2000-01-01","2018-11-24","2000-01-01",37,"37.896.A.1","IFN4","37_896",35.7010752688172,4744.45836844058,1617.69328363983,12.4015478333333,168.916446268198,0,28.0876046901173,9.57688442646566,30.5743362591642,11.7403225876344,34.0964796824961,32.8850671842058,233.333055158491,65.5366143623354,121.97738354938,-6.21326656161726,40.5444621788409,"2008_2021",6.63095238095238,16.0416666666667,11.3363095238095,1112.20714334079,52.1274376011307
"105","40_1849_A_1",40.1849,21,26,45,15.2406462222222,11.0485184444444,0.43890625,106.386237515649,44.7048551262568,31.8309886183791,41390,40,1849,"A","1",0,1984,"L","0002",2002,"","3-1",2018,1,1,1,70,60,1,1,1,2,2,4,1,2,1,1,6,7,NA,NA,1,0,0,0,0,6,NA,4.5,NA,1,2,1,"[Pies Mayores] PIE N7 FORMA COMPROBADA Y MEDIDO CON CINTA (225M). PIE N8 MEDIDO CON CINTA (235M). PIE N9 HT COMPROBADA. PIE N11 MEDIDO CON CINTA (261M) Y HT COMPROBADA. PIE N13 MEDIDO CON CINTA (218).","2018-12-03","2000-01-01","2018-12-03","2000-01-01",40,"40.1849.A.1","IFN4","40_1849",50.3971354166667,7147.2948166057,2498.7043045073,26.7280709166667,182.922081260285,0,39.0728924980665,13.6599380856148,43.1326160765327,15.6182290197917,34.9601404254645,30.9903110378504,438.970897517112,47.3407513186626,88.1110664213831,-4.17254533401268,40.7432906187336,"2008_2021",5.90476190476191,15.3988095238095,10.6517857142857,540.185711639268,26.1568524442707
"106","40_1856_A_1",40.1856,21,26,NA,21.6280616666667,8.928784,NA,164.813785512941,76.9602569262143,NA,41393,40,1856,"A","1",0,1984,"L","0002",2002,"","3-1",2018,1,1,1,70,40,1,1,2,2,2,4,1,2,1,1,7,4,NA,NA,0,0,0,0,0,235,NA,4,NA,2,2,2,"[Pies Mayores] PIE N4 HT COMPROBADA. PIE 13 DM COMPROBADO. PIE A 210G NO ETRA POR DM COMPROBADO. PIE N19 HT Y DM COMPROBADOS. PIE N27 HT COMPROBADA.
[Regeneración] COMPROBADA.","2018-12-03","2000-01-01","2018-12-03","2000-01-01",40,"40.1856.A.1","IFN4","40_1856",50.7663265306122,9079.01848611276,3225.54018950967,30.5568456666667,241.774042439155,0,37.5516676418958,13.3411352061147,40.1147863689946,16.900510255102,35.5274107486779,33.2907882253623,516.43974064996,38.0535648074392,70.825664631919,-4.17238718297644,40.7342841217808,"2008_2021",5.90476190476191,15.3988095238095,10.6517857142857,540.185711639268,26.1568524442707
"107","40_1864_A_1",40.1864,21,26,NA,33.9645237777778,11.854429,NA,351.979998589009,50.9295817894065,NA,41398,40,1864,"A","1",0,1984,"L","0002",2002,"","3-1",2018,1,1,1,70,60,1,1,2,1,2,4,1,2,1,1,8,2,NA,NA,0,0,0,0,0,220,NA,6.75,NA,2,2,2,"[Pies Mayores] TODAS LAS DISTANCIAS COMPROBADAS.
PIE N5 MEDIDO CON CINTA (216M). PIE N8 MEDIDO CON CINTA (214M). PIE N23 MEDIDO CON CINTA (210M)
[Regeneración] COMPROBADA.
[Matorral] HAY ROSA FERA DE LOS 10M","2018-12-12","2000-01-01","2018-12-12","2000-01-01",40,"40.1864.A.1","IFN4","40_1864",49.6812834224599,14817.197877901,6616.884443494,45.8189527777778,402.909580378416,0,36.7754915730337,16.4227528103933,38.0516805114727,17.3823528395722,44.6567866476475,34.9877290644106,790.703927773018,28.6607559862087,53.3436775726109,-4.1720710953794,40.7162710838764,"2008_2021",5.90476190476191,15.3988095238095,10.6517857142857,540.185711639268,26.1568524442707
"114","42_1046_A_1",42.1046,26,21,NA,22.2318493055556,8.81285625,NA,834.679257104162,555.273912565057,NA,42299,42,1046,"A","1",0,1984,"K","0012",2000,"","2-4",2019,1,1,2,95,80,1,1,1,1,3,4,1,2,1,1,5,3,NA,NA,1,0,0,0,0,60,NA,4,NA,2,2,2,"REON LOCALIZADO MEDIANTE ORTOFOTO Y PIES IFN3. SE APRECIAN CORTAS EN LA MASA. MOD. COMBUSTIBLE MIXTO 5/11POR RESTOS SELVICULTURA. FUERA DE 10M HAY GAYUBA Y E.VAGANS.
[Pies Mayores]
026 A 68G Y 9.4M SE VA POR DIAMETRO. PIE 010,013,037 IFN4 CALIDAD Y AGENTE COMPROBADOS. PIE 011 IFN4 RUMBO COMPROBADO. PIE 015 IFN4 FORMA COMPROBADA. 021 A 252G Y 7.4M SE VA POR DIAMETRO.  026 A 362G Y 10.5M SE VA POR DIAMETRO.","2019-05-13","2000-01-01","2019-05-13","2000-01-01",42,"42.1046.A.1","IFN4","42_1046",25.575,22661.541830378,11368.9680992675,31.0447055555556,1389.95316966922,0,16.3038167938931,8.1793893113486,16.8635400254008,9.25000012,50.1685550981677,36.1681334115347,738.854962293025,28.9973411164377,53.970133087996,-2.90377027551335,41.7580552857472,"2008_2021",4.52976190476191,16.202380952381,10.3660714285714,507.371429664748,24.9125822544725
"121","42_1293_A_1",42.1293,26,21,NA,16.8531626666667,8.98477822222222,NA,139.773407799816,71.8672987472736,NA,42468,42,1293,"A","1",0,1985,"L","0011",2000,"","4-2",2019,1,1,2,80,80,1,2,1,1,2,4,1,1,1,1,6,6,NA,NA,1,0,0,0,0,280,NA,4,NA,3,2,1,"PARCELA LOCALIZADA POR CROQUIS Y PIES MAYORES IFN3.
SE HAN CORTADO LA MAYORIA DE PIES DEL IFN3.
[Pies Mayores]
A 197G Y 23M HAY UN 26 QUE NO ENTRA POR DIAMETROS.  
PAE COMPROBADO PIE 3 Y 18.","2019-02-28","2000-01-01","2019-02-28","2000-01-01",42,"42.1293.A.1","IFN4","42_1293",42.7937185929648,8280.13140732171,3150.05121044179,25.8379408888889,211.640706547089,0,39.1235294117647,14.8839571641711,39.4261534712696,14.731658238191,38.0434929771326,34.4248144881076,439.682786944233,46.6604328872242,86.8448511453164,-2.59108558005041,41.7483611567945,"2008_2021",4.47023809523809,17.0357142857143,10.7529761904762,499.228570631572,24.0557578850148
"132","42_225_A_1",42.225,21,26,NA,18.8175618055556,5.96334513888889,NA,512.832594407218,215.743367302347,NA,41772,42,225,"A","1",0,2000,"","4-3",1982,"04","4828",2019,1,1,1,100,70,1,1,1,3,2,4,1,2,1,1,1,4,NA,NA,0,0,0,0,0,183,NA,1.5,NA,1,2,2,"[Pies Mayores]021 A 169G NO ENTRA POR DIST.(COMP)
[Riesgos]TAMBIEN SE PUEDEN DAR EL MODELO 08. Y EL 07 EN ALGUNAS ZONAS.HAY CORTAS ANTIGUAS","2019-02-26","2000-01-01","2019-02-26","2000-01-01",42,"42.225.A.1","IFN4","42_225",30.75625,14410.5959028428,8143.07430213471,24.7809069444444,728.575961709565,0,19.7791262135922,11.1766991090777,20.8101992591105,11.42500007375,56.507547342496,37.1469215972363,542.768315316424,32.4269699675069,60.3533916354396,-2.99999999999999,41.4248349692192,"2008_2021",5.57142857142857,17.6309523809524,11.6011904761905,444.592858288969,20.5818683363315
"133","42_228_A_1",42.228,26,21,38,8.31044738888889,7.81113586111111,1.36663125,217.299548968134,203.152442915522,95.4929658551372,41775,42,228,"A","1",0,1982,"04","4828",2000,"","4-3",2019,1,1,1,98,75,1,2,2,3,2,4,1,1,1,1,5,4,NA,NA,0,0,0,0,0,340,NA,8.25,NA,1,2,2,"[ClaEsp. Resto de especies=10% RESTANTE AL ENEBRO]
[Pies Mayores]SABINA A 320G NO ENTRA POR DM.
[ClaEsp]SABINA A 380G NO ENTRA POR DM Y DIST.SABINA A 392G NO ENTRA POR DM.N24 DMS Y ALTURA Y FORMA COMP.","2019-03-11","2000-01-01","2019-03-11","2000-01-01",42,"42.228.A.1","IFN4","42_228",30.2862694300518,10068.6368487051,5070.11060825379,17.4882145,515.944957738793,0,19.514943789416,9.82684399218536,20.7742861202465,11.639896373057,50.3554819231148,38.4329156152432,383.300215286057,37.8224101475583,70.3954373325407,-2.56871610283676,41.4960843595482,"2008_2021",5.58333333333333,18.4047619047619,11.9940476190476,437.850000705038,19.9076590307027
"134","42_230_A_1",42.23,21,26,NA,16.9812743055556,10.0042946944444,NA,696.744973091186,135.95368916561,NA,41776,42,230,"A","1",0,1982,"04","4828",2000,"","4-4",2019,1,1,2,100,90,1,1,1,2,2,4,1,2,1,1,8,4,NA,NA,1,0,0,0,0,226,NA,5,NA,2,1,2,"[Pies Mayores]021 A 344G NO ENTRA POR DIST.(COMP)N30 PAE COMP.","2019-03-12","2000-01-01","2019-03-12","2000-01-01",42,"42.230.A.1","IFN4","42_230",32.5589673913043,16105.192854249,10082.472758666,26.985569,832.698662256796,0,19.3409616038056,12.1081889711944,20.3131331705597,14.278260825,62.6038623064733,43.8535431833546,596.727568872683,24.2706135617504,45.1727018279086,-2.7462595272637,42.0460247914841,"2008_2021",2.5,12.8690476190476,7.68452380952381,792.078570876803,44.7893638193547
"135","42_252_A_1",42.252,21,26,NA,30.1648308055556,8.42295155555555,NA,354.385006617954,53.7590029999291,NA,41790,42,252,"A","1",0,2000,"","3-1",1984,"J","0010",2019,1,1,1,95,90,1,1,1,1,2,4,1,2,1,1,8,4,NA,NA,1,0,0,0,0,260,NA,2.25,NA,2,2,2,"Rejn lcalizado por ortofoto, referencia croquis y por pies ifn3.
No coiinciden las fotos ifn3.
[Identificación]

[Pies Mayores]
Pie n5 ht y dn comprobados
Pie n10, 17 nt y dn comprobados
Pie n12, 27 ht comprobad.
Pie n22 dn y ht comprobados
Pie n29, 32 dn comprobado
Pie n33 especie comprobada.","2019-05-24","2000-01-01","2019-05-24","2000-01-01",42,"42.252.A.1","IFN4","42_252",43.7173684210526,13654.2845397171,7236.35792151498,38.5877823611111,408.144009617883,0,33.454575389948,17.7299133418371,34.6955084397469,19.5405261726316,52.9969761540131,44.6973980328185,690.650433789014,25.3312740119181,47.1468133654754,-2.9517227709274,41.9742440663707,"2008_2021",3.57738095238095,14.0119047619048,8.79464285714286,648.385715212141,34.4984323533301
