"","PlotID","G","N","Especie","G.e","N.e","porcentajeG","porcentejeN"
"2","24.10.A.1",15.9937075555556,828.313059380486,71,2.92985288888889,24.3330224104942,0.183187849265831,0.0293766011955594
"3","24.10.A.1",15.9937075555556,828.313059380486,74,3.5921,509.295817894065,0.224594578056559,0.614859094790777
"5","24.10.A.1",15.9937075555556,828.313059380486,377,6.97730266666667,148.120200370857,0.436252985271263,0.178821520068318
"7","24.1001.A.1",36.2341902222222,451.434154138878,43,8.27947911111111,208.245401094462,0.228499079469792,0.461297398934503
"8","24.1001.A.1",36.2341902222222,451.434154138878,72,23.4387888888889,186.600328833964,0.646869400009773,0.413350047007208
"27","24.1026.A.1",19.2041166666667,392.582192960009,28,3.2919,28.2942121052258,0.171416371663367,0.0720720720720721
"28","24.1026.A.1",19.2041166666667,392.582192960009,626,15.4770166666667,332.456992236404,0.805921820581872,0.846846846846847
"30","24.1033.A.1",14.5559611111111,1061.03295394597,43,3.09651111111111,74.2723067762178,0.212731477329067,0.07
"31","24.1033.A.1",14.5559611111111,1061.03295394597,45,10.00525,732.112738222719,0.687364436029072,0.69
"38","24.1037.A.1",24.3744717777778,373.200657667929,28,9.37313977777778,167.784677783989,0.384547401200434,0.449583017437453
"39","24.1037.A.1",24.3744717777778,373.200657667929,72,12.483432,63.9449193578104,0.512151898667242,0.171341925701289
"48","24.1048.A.1",28.5847972222222,891.267681314614,28,24.2143916666667,816.995374538396,0.847107344453788,0.916666666666667
"49","24.1048.A.1",28.5847972222222,891.267681314614,46,4.37040555555556,74.2723067762178,0.152892655546213,0.0833333333333333
"64","24.1058.A.1",34.585531,831.425422712061,58,5.92849777777778,38.4801284631071,0.171415548825252,0.0462821167262209
"65","24.1058.A.1",34.585531,831.425422712061,72,25.4391998888889,700.98910490697,0.735544580445762,0.843117236685384
"77","24.1064.A.1",23.530175,2652.15797168334,68,18.856875,2641.97205532546,0.801391192373197,0.99615938550168
"78","24.1064.A.1",23.530175,2652.15797168334,72,4.6733,10.1859163578813,0.198608807626803,0.00384061449831973
"80","24.1069.A.1",19.6334527777778,880.657351775154,28,16.2952972222222,820.532151051549,0.829976133421939,0.931726907630522
"81","24.1069.A.1",19.6334527777778,880.657351775154,626,3.33815555555556,60.1252007236049,0.170023866578061,0.0682730923694779
