"","PlotID","G","N","Especie","G.e","N.e","porcentajeG","porcentejeN"
"20","1.1013.A.1",27.0904611111111,859.436692696235,21,20.0957361111111,381.971863420549,0.741801183401373,0.444444444444444
"23","1.1013.A.1",27.0904611111111,859.436692696235,44,5.75925,413.802852038928,0.21259328057867,0.481481481481482
"25","1.1017.A.1",23.7113835555556,346.887040410069,41,9.90030355555555,178.395007323449,0.417533777915541,0.514274061990212
"26","1.1017.A.1",23.7113835555556,346.887040410069,71,11.91688,72.9990672314827,0.502580542045506,0.210440456769984
"32","1.1019.A.1",51.6353937777778,396.118969473162,41,11.1378497777778,96.2003211577678,0.215701846406198,0.242857142857143
"33","1.1019.A.1",51.6353937777778,396.118969473162,71,40.497544,299.918648315394,0.784298153593802,0.757142857142857
"37","1.1023.A.1",33.3383738888889,761.963131993732,41,9.40965277777778,180.375602170815,0.2822469028975,0.236724842183439
"41","1.1023.A.1",33.3383738888889,761.963131993732,476,17.3460388888889,488.075158815146,0.520302488258734,0.640549572966951
"48","1.1029.A.1",34.5950743333333,424.979065820492,43,9.476325,226.353696841807,0.273921220942985,0.532623169107856
"50","1.1029.A.1",34.5950743333333,424.979065820492,48,16.4137124444444,103.556816305127,0.47445229590472,0.243675099866844
"55","1.1031.A.1",45.0186294444444,974.169722782926,71,35.3950627777778,747.816025941119,0.786231460499198,0.767644496079001
"56","1.1031.A.1",45.0186294444444,974.169722782926,278,8.10117777777778,212.206590789194,0.179951675067654,0.217833284925937
"86","1.1077.A.1",33.8175727777778,571.684555586088,44,5.73725,166.228496118202,0.169652920914835,0.290769611482306
"87","1.1077.A.1",33.8175727777778,571.684555586088,71,27.3663227777778,373.625070849507,0.809233795624763,0.653551101212571
"93","1.1089.A.1",16.6192568888889,526.130874096674,71,11.078168,52.2028213341417,0.666586242337136,0.0992202204893789
"95","1.1089.A.1",16.6192568888889,526.130874096674,215,3.1113,413.802852038928,0.187210536596261,0.786501747781662
"101","1.1097.A.1",12.8395771111111,585.12430633607,41,2.090916,5.09295817894065,0.162849288719218,0.00870406189555126
"102","1.1097.A.1",12.8395771111111,585.12430633607,71,7.46206111111111,166.228496118202,0.581176548614953,0.284090909090909
"104","1.1097.A.1",12.8395771111111,585.12430633607,76,2.6634,286.478897565412,0.207436738527404,0.489603481624758
"107","1.1100.A.1",30.7784982222222,399.231332804737,25,11.6582,187.449155197121,0.378777415188592,0.469525159461375
"108","1.1100.A.1",30.7784982222222,399.231332804737,33,17.2252222222222,201.596261249734,0.559651159645779,0.504961020552799
"135","1.112.A.1",10.6633527777778,321.846662696944,44,6.33003333333333,166.228496118202,0.593625050699345,0.516483516483517
"136","1.112.A.1",10.6633527777778,321.846662696944,76,4.33331944444444,155.618166578742,0.406374949300655,0.483516483516483
"142","1.113.A.1",20.3801955555556,323.261373302205,21,9.07736488888889,109.215658726172,0.44540126536786,0.337855579868709
