"","Pvalor","PlotID"
"250","1.912658579438e-19","5.1106.A.1"
"252","2.36565463825361e-11","5.1112.A.1"
"255","1.15249835385665e-17","5.1133.A.4"
"257","1.66634747267774e-23","5.1136.A.1"
"259","1.14995657760971e-26","5.1147.A.1"
"260","1.92185314421147e-06","5.1152.A.1"
"261","2.45999895622617e-07","5.1154.A.1"
"263","1.08606013618459e-07","5.1158.A.1"
"266","1.30133201415292e-08","5.1162.A.1"
"267","2.7384368473636e-22","5.1163.A.1"
"268","4.34104120979616e-29","5.1165.A.1"
"270","7.32698684300319e-28","5.1176.A.1"
"272","4.82973436076905e-21","5.1183.A.4"
"273","1.39645810378681e-14","5.1185.A.1"
"276","9.54486301840348e-29","5.1194.A.4"
"278","1.20836380310394e-12","5.1200.A.4"
"279","4.45432310696166e-26","5.1203.A.4"
"280","3.96804207495853e-27","5.1204.A.1"
"281","1.54300223947875e-25","5.1205.A.1"
"283","5.43257790550633e-12","5.1208.A.1"
"286","1.20943075077377e-13","5.1214.A.1"
"288","1.70649311426097e-10","5.1230.A.1"
"289","1.06392354749649e-10","5.1237.A.1"
"291","1.2335637877283e-23","5.1246.A.1"
"292","1.32444912476187e-16","5.1247.A.1"
"294","5.66908127156684e-15","5.1249.A.1"
"295","1.00522134424251e-22","5.1250.A.1"
"296","9.13540593552077e-22","5.1252.A.1"
"297","7.3635115912504e-17","5.1259.A.1"
"300","1.41832570081577e-18","5.1263.A.1"
"301","6.93478195952739e-21","5.1270.A.4"
"302","1.64997635878494e-24","5.1273.A.1"
"303","1.62426067615165e-12","5.1291.A.1"
"304","2.53354724171058e-21","5.1299.A.4"
"305","1.75874028733392e-20","5.1300.A.4"
"306","6.1908664327951e-15","5.1302.A.1"
"307","5.32170724409714e-08","5.1305.A.1"
"308","8.97546667784749e-18","5.1311.A.1"
"309","9.37419101698632e-25","5.1315.A.1"
"310","4.73538613216704e-19","5.1316.A.1"
"311","3.35069733570241e-17","5.1318.A.1"
"313","8.71801883319273e-23","5.1324.A.1"
"314","8.28586690168471e-05","5.1325.A.1"
"315","4.77616652057168e-13","5.1327.A.1"
"316","3.67952573625981e-18","5.1331.A.1"
"317","2.51625281700416e-07","5.1333.A.1"
"319","1.22357257669111e-31","5.1348.A.4"
"322","1.09195074366976e-11","5.1380.A.1"
"325","6.87333585256946e-12","5.1419.A.1"
"327","2.81917421839859e-06","5.2004.1.1"
"328","4.21406091495322e-13","5.2004.A.1"
"330","7.03914947100071e-07","5.2006.1.1"
"331","4.55770028782027e-07","5.2006.A.1"
"336","3.68186408009112e-09","5.2072.A.1"
"337","0.00137060137174787","5.2077.A.1"
"341","8.54872284951373e-27","5.2117.A.1"
"344","1.31847069452986e-09","5.2162.A.1"
"347","2.87097450874348e-19","5.2171.A.1"
"349","2.4060238376312e-15","5.2189.A.1"
"351","2.91968646740952e-22","5.2199.A.1"
"352","4.86649187708855e-15","5.2201.1.1"
"355","5.70143215369221e-41","5.2219.A.1"
"356","5.21722909516376e-11","5.2224.A.1"
"359","3.14426953754922e-12","5.2233.A.1"
"361","2.16231789439417e-25","5.2255.A.1"
"365","5.57584559184497e-15","5.2289.A.1"
"367","1.32640962338259e-16","5.2299.A.1"
"371","9.4497416338862e-10","5.2317.A.4"
"373","3.1003000299502e-21","5.2335.A.1"
"374","9.68021742167188e-09","5.2337.A.1"
"375","1.65412485340578e-26","5.2338.A.1"
"376","4.64241772402167e-20","5.2343.A.1"
"377","1.08056278024457e-09","5.2346.A.1"
"378","1.21348102168451e-17","5.2351.A.1"
"379","2.67538677650537e-11","5.2382.A.1"
"381","1.50878612275184e-28","5.2416.A.1"
"382","5.34314273257688e-18","5.2426.A.1"
"384","7.40057985003899e-23","5.2430.A.1"
"386","3.45837617306568e-25","5.2436.A.1"
"387","3.17927023301783e-12","5.2442.A.1"
"388","1.88169993243528e-10","5.2448.A.1"
"389","1.47879000574171e-19","5.2464.A.4"
"390","1.12431103469879e-16","5.2466.A.1"
"391","3.87239004578846e-19","5.2467.A.1"
"392","1.34564721053212e-16","5.2469.A.1"
"394","0.000541607643294633","5.2473.A.1"
"395","2.86945117090586e-20","5.2477.A.1"
"397","1.07671139396603e-19","5.2482.A.4"
"398","2.62610869188551e-17","5.2486.A.1"
"400","3.88637567924057e-23","5.2491.A.1"
"401","1.46663040011101e-15","5.2492.A.4"
"402","3.4693503916505e-21","5.2502.A.1"
"405","3.84600498115837e-10","5.2514.A.1"
"406","1.82493081852195e-06","5.2521.A.1"
"407","7.8399321503589e-17","5.2535.A.1"
"408","3.65924834479469e-18","5.2539.A.1"
"409","4.02957918395014e-13","5.2543.A.1"
"410","7.02496646854643e-20","5.2544.A.1"
"411","1.10122263513686e-07","5.2546.A.1"
"412","1.86362164618933e-09","5.2550.A.1"
"413","3.04891677137849e-13","5.2551.A.1"
"414","6.81918700692216e-37","5.2559.A.1"
"416","2.84846577955405e-17","5.2569.A.1"
"417","6.82472091049374e-15","5.2571.A.1"
"418","2.88588988896228e-06","5.2576.A.1"
"419","1.5267606710783e-19","5.2579.A.1"
"421","1.23812192141714e-31","5.2588.A.1"
"424","3.5522511172211e-09","5.2631.A.1"
"426","1.62865047957247e-13","5.2642.A.1"
"427","7.39391781158252e-27","5.2643.A.1"
"429","2.46424640377057e-21","5.2705.N.N"
"430","6.07582896808572e-33","5.2712.N.N"
"432","2.27368656251529e-24","5.2724.N.N"
"436","4.69586028619982e-19","5.2744.N.N"
"437","1.93966779855498e-16","5.2754.N.N"
"438","2.98861031743586e-18","5.2759.N.N"
"442","2.543765853123e-31","9.6.A.4"
"444","5.01434144064809e-21","9.13.1.1"
"445","3.36010548782113e-26","9.15.1.4"
"447","7.10824712597211e-11","9.17.A.1"
"448","1.51304038832648e-24","9.20.A.1"
"449","7.12823652704589e-24","9.21.A.1"
"450","4.63237950146909e-22","9.22.A.1"
"451","3.22952240276015e-21","9.23.A.4"
"452","7.39788728779267e-31","9.28.A.1"
"453","2.65696282441944e-34","9.31.A.4"
"454","4.20993996532587e-19","9.33.A.1"
"456","6.97438352232671e-16","9.57.A.1"
"457","5.92395818877422e-30","9.59.A.1"
"458","2.2175404194121e-24","9.60.A.4"
"459","6.6080937606921e-14","9.73.A.1"
"460","1.56554540853417e-21","9.82.A.1"
"461","9.02673273208604e-21","9.83.A.1"
"462","1.18199208262078e-26","9.91.A.1"
"463","5.72666017652798e-11","9.96.A.1"
"464","4.80251366298121e-21","9.99.A.1"
"466","4.78724449625618e-10","9.112.A.1"
"467","1.57909096453481e-27","9.114.A.1"
"468","2.88463010224251e-22","9.116.A.1"
"469","2.38111031732929e-22","9.120.A.1"
"470","6.85428302520796e-11","9.127.1.1"
"473","3.53795733062668e-27","9.134.A.4"
"476","4.68604694853371e-26","9.141.1.1"
"477","7.00538335907483e-14","9.141.A.1"
"478","1.55519266578623e-19","9.144.A.1"
"479","1.60787758506188e-11","9.148.A.1"
"480","8.25210660040724e-25","9.157.A.1"
"481","3.63589427601247e-25","9.158.A.1"
"482","1.16777856061117e-11","9.160.A.4"
"483","4.78013052085451e-29","9.162.A.1"
"484","5.55608250832256e-06","9.163.A.1"
"485","1.50389295910056e-22","9.164.A.1"
"486","8.40397618329673e-13","9.165.1.1"
"487","4.27062744329589e-20","9.165.A.1"
"488","1.33511845418495e-18","9.169.A.1"
"491","3.59193528058197e-22","9.185.A.1"
"493","6.70308649012093e-20","9.187.A.1"
"496","7.54690907484009e-10","9.199.1.1"
"499","1.55150683187156e-28","9.210.A.1"
"500","1.1453656104963e-22","9.213.A.1"
"501","7.47148263429059e-14","9.218.A.1"
"502","1.92440682842757e-17","9.222.A.1"
"504","4.03962283545074e-20","9.230.A.1"
"505","3.4700490779613e-26","9.233.A.1"
"506","1.73684590423608e-29","9.235.A.1"
"507","3.98024085219221e-18","9.236.A.1"
"508","2.38187127907089e-27","9.250.A.1"
"509","1.10837819490857e-25","9.258.A.1"
"510","7.06846597124523e-20","9.273.A.1"
"511","1.00340336774319e-09","9.299.A.1"
"513","6.99327538454453e-21","9.305.A.1"
"515","3.24289222055047e-16","9.318.A.4"
"516","4.52636261192813e-19","9.338.A.1"
"519","1.22200073414307e-27","9.374.A.1"
"520","2.60563288119724e-08","9.379.A.1"
"521","1.33956220355194e-24","9.382.A.1"
"522","5.13442446459328e-23","9.389.A.1"
"523","7.90811492933346e-20","9.416.A.1"
"524","2.99208347541057e-18","9.417.A.1"
"525","5.91811254929173e-18","9.425.A.1"
"526","4.90845495319693e-15","9.427.A.1"
"527","4.59093626458468e-17","9.433.A.1"
"530","2.97583566587417e-23","9.439.A.1"
"533","3.11671062685458e-31","9.447.A.1"
"534","2.63534085903699e-23","9.457.A.1"
"535","7.28701334590239e-23","9.458.A.1"
"536","1.92034742017731e-13","9.460.A.1"
"538","1.55237566749218e-23","9.478.A.1"
"539","6.93218730337137e-17","9.479.A.1"
"540","2.60452730463554e-29","9.480.A.1"
"541","3.22419824812742e-11","9.489.A.1"
"542","2.01296986704041e-09","9.491.A.1"
"543","5.5993376774148e-21","9.499.A.1"
"544","5.34777113819046e-17","9.504.A.1"
"545","1.01504103677483e-06","9.506.A.1"
"546","3.29123681605391e-17","9.509.A.1"
"547","5.96115564654716e-15","9.551.A.1"
"549","3.23490688640316e-22","9.557.A.1"
"550","5.31353376544751e-08","9.558.A.1"
"551","1.14893512259506e-12","9.559.A.1"
"552","3.21629041566062e-08","9.563.A.1"
"553","1.22890857320289e-17","9.565.A.1"
"555","5.95860230489228e-11","9.569.A.1"
"556","8.11477421366618e-20","9.574.A.1"
"558","7.1144613887059e-16","9.598.A.1"
"559","5.03199899083526e-22","9.600.A.1"
"560","1.043969646126e-13","9.609.A.4"
"563","3.38762090046675e-21","9.616.A.4"
"564","1.69138489898944e-29","9.617.A.1"
"568","3.44786038759917e-25","9.622.A.1"
"570","1.8372610251316e-29","9.625.A.1"
"571","5.10369803800076e-45","9.634.A.1"
"573","4.19022589612564e-10","9.641.A.1"
"574","2.43354591224855e-21","9.642.A.1"
"576","9.38713481335627e-19","9.655.A.1"
"579","1.09136995144932e-35","9.668.A.1"
"580","9.02310832503318e-23","9.669.A.1"
"581","6.69923194659264e-22","9.671.A.1"
"582","1.41314842410016e-17","9.679.A.1"
"583","1.08396304136057e-17","9.681.A.1"
"584","1.64833210542995e-13","9.682.A.1"
"586","6.33267072351198e-11","9.688.A.1"
"587","2.60353264846049e-11","9.702.A.1"
"588","2.31951664265553e-31","9.706.A.1"
"589","6.65583132994458e-26","9.710.A.1"
"592","7.62466479169073e-34","9.714.A.1"
"593","1.50803476174888e-09","9.727.A.1"
"594","2.81636807006948e-18","9.733.A.1"
"596","8.06062615599332e-28","9.751.A.1"
"598","1.12161444734334e-16","9.758.A.1"
"599","1.59548263518305e-34","9.766.A.1"
"600","2.02972635760832e-18","9.772.A.1"
"601","3.52901264851846e-20","9.773.A.1"
"603","2.06114563815675e-11","9.776.A.1"
"605","7.66460240403353e-12","9.778.A.4"
"606","5.4028319048272e-27","9.791.A.1"
"607","9.4974622003611e-12","9.792.A.1"
"608","2.31637108616726e-14","9.794.A.1"
"609","4.14757962953552e-23","9.798.A.1"
"610","1.08291559942601e-12","9.800.A.1"
"611","1.29248958097107e-25","9.803.A.1"
"612","8.87050859191348e-24","9.804.A.1"
"613","8.93987800644782e-18","9.811.A.1"
"616","5.36956007034913e-18","9.820.A.1"
"617","8.13299307708553e-18","9.823.A.4C"
"618","1.58317111367271e-29","9.824.A.1"
"619","1.45677792038315e-39","9.826.A.1"
"620","8.38267985450697e-28","9.827.A.1"
"621","4.30452654470299e-13","9.832.A.1"
"622","9.4641886637352e-08","9.841.A.1"
"624","9.54194820184604e-24","9.849.A.1"
"625","8.469040851345e-18","9.850.A.1"
"626","8.42623651678044e-22","9.852.A.1"
"627","3.60718247601145e-18","9.858.A.1"
"630","6.4078688755115e-11","9.880.A.1"
"631","9.55139371508165e-24","9.883.A.1"
"633","9.54907684168339e-19","9.894.A.1"
"634","5.75475204347154e-09","9.895.A.1"
"635","9.1035668947617e-29","9.905.A.1"
"636","6.44835310078344e-13","9.907.A.1"
"638","1.30060779932805e-17","9.926.A.1"
"640","5.13793212154389e-23","9.958.A.1"
"641","5.99520615494083e-20","9.962.A.1"
"642","9.52421944014593e-29","9.964.A.1"
"644","3.34089466793854e-44","9.972.A.1"
"646","3.2163600427561e-30","9.985.A.1"
"647","2.91954239278903e-22","9.991.A.1"
"649","2.20292411607667e-21","9.1006.A.1"
"652","2.28835185262325e-12","9.1045.A.1"
"654","4.23398535648704e-25","9.1050.A.1"
"655","9.14612281188777e-46","9.1066.A.1"
"656","1.86758277014263e-29","9.1107.A.1"
"657","3.71929610987681e-38","9.1109.A.1"
"660","1.71211124709648e-14","9.1134.A.1"
"662","1.87876931262026e-35","9.1138.A.1"
"664","6.54439184525647e-15","9.1150.A.1"
"666","2.34527549292778e-20","9.1158.A.1"
"670","2.50199872344577e-35","9.1172.A.1"
"671","1.36287911147502e-36","9.1189.A.1"
"673","1.40201236405748e-24","9.1203.A.4"
"675","4.0506255370986e-23","9.1205.A.1"
"676","1.78064425291881e-19","9.1211.A.1"
"677","6.04652015451235e-24","9.1212.A.1"
"680","1.14176460390675e-32","9.1224.A.1"
"681","9.75436949358958e-29","9.1233.A.1"
"686","2.08784643321387e-28","9.1246.A.1"
"688","1.05301707656847e-37","9.1250.A.1"
"693","2.15930163677042e-20","9.1265.A.1"
"694","1.63347151214539e-50","9.1269.A.1"
"695","1.71682985727193e-22","9.1273.A.1"
"698","1.36747068378404e-25","9.1282.A.1"
"699","1.28464313094943e-21","9.1285.A.1"
"700","5.05507681070846e-35","9.1293.A.1"
"702","2.20483030649423e-14","9.1298.A.1"
"703","1.17289943963928e-20","9.1301.A.1"
"704","3.50185450736673e-24","9.1304.A.1"
"705","1.65201045533499e-22","9.1305.A.1"
"706","9.03228395182938e-24","9.1310.A.1"
"708","1.48100257911542e-17","9.1321.A.1"
"716","3.87461516628405e-22","9.1354.A.1"
"718","1.33054020019819e-13","9.1362.A.4"
"720","9.48392744529573e-26","9.1369.A.1"
"721","4.59790442539564e-28","9.1375.A.1"
"722","1.53132690654748e-25","9.1376.A.4"
"723","4.5713450652602e-23","9.1377.A.1"
"726","1.67739731384612e-24","9.1381.A.1"
"727","2.61241542593498e-23","9.1383.A.1"
"730","5.59377459354141e-25","9.1387.A.4"
"733","1.3657177148844e-20","9.1395.A.1"
"734","5.25372788771006e-22","9.1398.A.1"
"735","1.3103959152607e-23","9.1404.A.1"
"741","1.41813395474449e-22","9.1420.A.1"
"742","1.47617066393409e-17","9.1425.A.1"
"743","5.80642913216707e-28","9.1431.A.1"
"745","1.8226342493653e-31","9.1433.A.1"
"747","2.19837863785358e-25","9.1438.A.1"
"748","2.36670620376132e-40","9.1439.A.1"
"749","5.87758234959549e-23","9.1440.A.1"
"751","1.56246074687971e-23","9.1447.A.1"
"752","2.8348027687175e-34","9.1448.A.1"
"753","5.24589541413496e-15","9.1452.A.1"
"754","9.55887596194228e-27","9.1461.A.1"
"755","1.04449154734465e-30","9.1462.A.1"
"756","9.77040336178278e-25","9.1465.A.4"
"760","3.08417007098046e-28","9.1481.A.1"
"761","1.8079612723512e-21","9.1486.A.1"
"762","2.24601319561617e-33","9.1488.A.1"
"765","1.30809697058699e-23","9.1493.A.1"
"766","4.96661810040118e-23","9.1498.A.4"
"767","8.69674241280617e-34","9.1499.A.1"
"769","2.38926462061962e-30","9.1504.A.1"
"770","3.31245837574404e-11","9.1508.A.1"
"771","1.02825872593197e-26","9.1510.A.1"
"772","1.3792210179799e-23","9.1511.A.1"
"773","4.3031595909698e-28","9.1515.A.1"
"775","3.90597839874612e-34","9.1520.A.4"
"776","1.9091266341359e-10","9.1521.A.1"
"777","4.7786897529749e-30","9.1522.A.1"
"780","3.49270468607443e-26","9.1526.A.1"
"781","7.43346074588115e-23","9.1527.A.1"
"783","1.83810677764677e-12","9.1534.A.1"
"784","1.1067737140276e-24","9.1539.A.1"
"788","3.68266845950998e-27","9.1547.A.1"
"789","5.39370701766853e-27","9.1551.A.1"
"791","1.88154899630098e-24","9.1553.A.1"
"792","2.36359549937585e-23","9.1555.A.1"
"794","4.53303767745877e-20","9.1561.A.1"
"795","1.6631874926737e-32","9.1564.A.1"
"796","5.1259428175279e-37","9.1570.A.1"
"797","6.21574969933319e-30","9.1571.A.1"
"798","6.76779138774038e-39","9.1573.A.4"
"800","7.93438236938193e-36","9.1575.A.1"
"801","1.11495409079848e-16","9.1576.A.1"
"804","9.22373851738894e-19","9.1592.A.4"
"806","5.24559064919445e-21","9.1594.A.1"
"808","2.15390633757951e-13","9.1598.A.1"
"809","3.56582462250117e-38","9.1599.A.1"
"810","1.42931168929208e-24","9.1600.A.1"
"811","4.53758407570686e-11","9.1604.A.1"
"812","1.13513381660756e-18","9.1607.A.1"
"813","3.07972530647062e-29","9.1610.A.1"
"814","9.82828126623931e-15","9.1611.A.1"
"815","2.07066106645586e-22","9.1613.A.1"
"816","2.61880760753512e-25","9.1614.A.1"
"817","1.56498699310371e-21","9.1616.A.4"
"818","3.80390972977839e-18","9.1619.A.4"
"822","9.47593872998362e-24","9.1624.A.1"
"823","1.62471052531815e-21","9.1629.A.1"
"824","6.76757460246068e-10","9.1630.A.1"
"825","1.86659463858673e-13","9.1632.A.1"
"826","1.37020750246745e-27","9.1637.A.4"
"827","8.64081733283431e-20","9.1638.A.1"
"828","1.50410420304444e-15","9.1646.A.4"
"829","1.38544982648887e-18","9.1647.A.1"
"830","1.14213459175266e-19","9.1649.A.1"
"831","1.92560136602775e-24","9.1658.A.1"
"832","5.43802821196738e-21","9.1661.A.1"
"833","5.10210879040565e-16","9.1666.A.1"
"835","9.09537688019186e-35","9.1673.A.1"
"836","9.41863774461814e-34","9.1677.A.1"
"838","1.3730887811974e-22","9.1685.A.1"
"840","2.91880805505196e-34","9.1713.A.1"
"841","8.0847634811806e-10","9.1722.A.1"
"845","3.66976064007466e-25","9.1735.A.1"
"846","1.30248492530601e-42","9.1746.A.1"
"847","2.66941643040896e-05","9.1747.A.1"
"848","2.68537454703054e-16","9.1749.A.1"
"849","4.07640493819199e-22","9.1754.A.1"
"851","6.60511927980956e-20","9.1760.A.1"
"852","1.46529283817548e-25","9.1764.A.1"
"853","3.04906414813675e-22","9.1765.A.1"
