"","PlotID","G","N"
"1","1.1013.A.1",27.0904611111111,859.436692696235
"2","1.1017.A.1",23.7113835555556,346.887040410069
"3","1.1019.A.1",51.6353937777778,396.118969473162
"4","1.1023.A.1",33.3383738888889,761.963131993732
"5","1.1029.A.1",34.5950743333333,424.979065820492
"6","1.1031.A.1",45.0186294444444,974.169722782926
"7","1.1077.A.1",33.8175727777778,571.684555586088
"8","1.1089.A.1",16.6192568888889,526.130874096674
"9","1.1097.A.1",12.8395771111111,585.12430633607
"10","1.1100.A.1",30.7784982222222,399.231332804737
"11","1.112.A.1",10.6633527777778,321.846662696944
"12","1.113.A.1",20.3801955555556,323.261373302205
"13","1.1139.A.1",23.6742083333333,1078.71683651173
"14","1.1143.A.1",15.9406733333333,374.049484031086
"15","1.1149.A.1",14.7863524444444,121.665112052471
"16","1.1151.A.1",18.5391568888889,223.524275631284
"17","1.1157.A.1",14.0334911111111,301.757772102234
"18","1.1161.A.1",18.3455462222222,941.48990780139
"19","1.1165.A.1",34.209772,1856.38325622387
"20","1.1175.A.1",20.629341,1203.63578295631
"21","1.1187.A.1",25.8782476666667,1335.20386924561
"22","1.1191.A.1",35.4614864444444,369.097996912671
"23","1.1201.A.1",34.1927386666667,2863.94014929096
"24","1.1209.A.1",28.085236,304.728664373282
"25","1.1227.A.1",17.4952826666667,616.955294954449
"26","1.1229.A.1",29.2632376666667,1762.8708852161
"27","1.1233.A.1",27.7024474444444,800.301789396313
"28","1.1235.A.1",19.6805276666667,91.8147182814578
"29","1.1239.A.1",30.5104295555556,403.051051438942
"30","1.1240.A.1",15.0940365555556,613.418518441296
"31","1.1243.A.1",60.5916733333333,4818.22137939891
"32","1.1245.A.1",48.3759628888889,2004.9278697763
"33","1.1247.A.1",16.7184466666667,59.9837296630788
"34","1.1255.A.1",19.9436166666667,834.679257104162
"35","1.1257.A.1",12.023125,1018.59163578813
"36","1.1259.A.1",18.734875,1329.82796894561
"37","1.1261.A.1",21.3928737777778,94.5026684314543
"38","1.1273.A.1",35.7092305555556,1495.20763870066
"39","1.1285.A.1",33.510865,2615.23402488602
"40","1.1287.A.1",26.6922352222222,2321.25716111273
"41","1.1291.A.1",26.6903852222222,1265.3171653457
"42","1.1293.A.1",28.3454806666667,1782.11094944765
"43","1.1297.A.1",57.6157056666667,2052.46214611308
"44","1.1313.A.1",13.932925,1177.74657888003
"45","1.1320.A.1",14.5636,1414.71060526129
"46","1.133.A.1",15.3272142222222,165.804082936623
"47","1.1336.A.4",24.9061724444444,607.901147080777
"48","1.1339.A.1",36.6109068888889,899.473002825129
"49","1.134.A.1",24.6367416666667,1513.74034762958
"50","1.1345.A.1",28.9268965555556,398.806919623158
"51","1.1351.A.1",19.4400583333333,1036.2755183539
"52","1.1355.A.1",29.3034861111111,1223.72467355102
"53","1.136.A.1",10.3254444444444,634.639177520216
"54","1.1369.A.1",11.7656027777778,707.355302630646
"55","1.1379.A.4",26.4825055555556,1414.71060526129
"56","1.1387.A.1",14.1617992222222,735.225101554293
"57","1.1391.A.1",30.9860338888889,776.110238046345
"58","1.1393.A.1",19.8114027777778,664.913984472807
"59","1.1403.A.1",23.4947666666667,785.164385920017
"60","1.1429.A.1",40.463775,4360.84544071793
"61","1.145.A.1",10.6368214444444,271.90737833122
"62","1.1455.A.1",20.7423446666667,1332.94033227719
"63","1.1457.A.1",26.5099066666667,2471.78236951253
"64","1.147.A.1",27.3183533333333,494.158414417769
"65","1.1481.A.1",19.3390277777778,714.428855656952
"66","1.16.A.1",29.8163587777778,564.611002559782
"67","1.165.A.1",28.4741768888889,239.934918652315
"68","1.181.A.1",35.5183605555556,1271.2589498878
"69","1.183.A.1",27.1011906666667,479.728366244104
"70","1.189.A.1",48.8264893333333,329.344628904829
"71","1.19.A.1",15.5649384444444,211.357764426037
"72","1.195.A.1",24.7459044444444,763.519313659519
"73","1.199.A.1",36.3985057777778,537.731501059817
"74","1.209.A.1",11.2137888888889,155.618166578742
"75","1.210.A.1",15.491625,438.135874449422
"76","1.211.A.1",23.1463833333333,580.03134815713
"77","1.212.A.1",31.0319782222222,330.476397389038
"78","1.213.A.1",24.7168638888889,328.92021572325
"79","1.218.A.1",32.9733972222222,789.691459856853
"80","1.25.A.1",22.6467494444444,674.67548764911
"81","1.273.A.1",25.7732576666667,705.37470778328
