"","Pvalor","PlotID"
"211","0","5.2351.A.1"
"212","0.02","5.2382.A.1"
"213","0","5.2416.A.1"
"214","0","5.2426.A.1"
"215","0","5.2430.A.1"
"216","0.06","5.2436.A.1"
"217","0","5.2442.A.1"
"218","0","5.2448.A.1"
"219","0.01","5.2464.A.4"
"220","0.06","5.2466.A.1"
"221","0","5.2467.A.1"
"222","0","5.2469.A.1"
"223","0.23","5.2473.A.1"
"224","0","5.2477.A.1"
"225","0.01","5.2482.A.4"
"226","0","5.2486.A.1"
"227","0","5.2491.A.1"
"228","0","5.2492.A.4"
"229","0","5.2502.A.1"
"230","0","5.2514.A.1"
"231","0","5.2521.A.1"
"232","0","5.2535.A.1"
"233","0","5.2539.A.1"
"234","0","5.2543.A.1"
"235","0","5.2544.A.1"
"236","0.03","5.2546.A.1"
"237","0","5.2550.A.1"
"238","0.01","5.2551.A.1"
"239","0","5.2559.A.1"
"240","0","5.2569.A.1"
"241","0","5.2571.A.1"
"242","0.04","5.2576.A.1"
"243","0","5.2579.A.1"
"244","0.08","5.2588.A.1"
"245","0.1","5.2631.A.1"
"246","0","5.2642.A.1"
"247","0","5.2643.A.1"
"248","0","5.2705.N.N"
"249","0","5.2712.N.N"
"250","0","5.2724.N.N"
"251","0","5.2744.N.N"
"252","0","5.2754.N.N"
"253","0","5.2759.N.N"
"254","0","9.6.A.4"
"255","0","9.13.1.1"
"256","0","9.15.1.4"
"257","0","9.17.A.1"
"258","0","9.20.A.1"
"259","0","9.21.A.1"
"260","0","9.22.A.1"
"261","0","9.23.A.4"
"262","0","9.28.A.1"
"263","0","9.31.A.4"
"264","0","9.33.A.1"
"265","0","9.57.A.1"
"266","0","9.59.A.1"
"267","0","9.60.A.4"
"268","0","9.73.A.1"
"269","0","9.82.A.1"
"270","0","9.83.A.1"
"271","0","9.91.A.1"
"272","0.02","9.96.A.1"
"273","0.21","9.99.A.1"
"274","0","9.112.A.1"
"275","0","9.114.A.1"
"276","0","9.116.A.1"
"277","0","9.120.A.1"
"278","0","9.127.1.1"
"279","0","9.134.A.4"
"280","0","9.141.1.1"
"281","0.02","9.141.A.1"
"282","0","9.144.A.1"
"283","0","9.148.A.1"
"284","0","9.157.A.1"
"285","0","9.158.A.1"
"286","0.04","9.160.A.4"
"287","0","9.162.A.1"
"288","0.15","9.163.A.1"
"289","0.01","9.164.A.1"
"290","0","9.165.1.1"
"291","0","9.165.A.1"
"292","0.1","9.169.A.1"
"293","0","9.185.A.1"
"294","0","9.187.A.1"
"295","0.01","9.199.1.1"
"296","0","9.210.A.1"
"297","0","9.213.A.1"
"298","0.02","9.218.A.1"
"299","0","9.222.A.1"
"300","0","9.230.A.1"
"301","0","9.233.A.1"
"302","0","9.235.A.1"
"303","0","9.236.A.1"
"304","0","9.250.A.1"
"305","0","9.258.A.1"
"306","0","9.273.A.1"
"307","0.13","9.299.A.1"
"308","0","9.305.A.1"
"309","0","9.318.A.4"
"310","0.01","9.338.A.1"
"311","0","9.374.A.1"
"312","0.07","9.379.A.1"
"313","0","9.382.A.1"
"314","0","9.389.A.1"
"315","0","9.416.A.1"
"316","0","9.417.A.1"
"317","0","9.425.A.1"
"318","0.01","9.427.A.1"
"319","0","9.433.A.1"
"320","0","9.439.A.1"
"321","0","9.447.A.1"
"322","0","9.457.A.1"
"323","0","9.458.A.1"
"324","0","9.460.A.1"
"325","0","9.478.A.1"
"326","0","9.479.A.1"
"327","0","9.480.A.1"
"328","0","9.489.A.1"
"329","0.04","9.491.A.1"
"330","0","9.499.A.1"
"331","0.01","9.504.A.1"
"332","0","9.506.A.1"
"333","0","9.509.A.1"
"334","0","9.551.A.1"
"335","0","9.557.A.1"
"336","0.01","9.558.A.1"
"337","0","9.559.A.1"
"338","0","9.563.A.1"
"339","0","9.565.A.1"
"340","0.16","9.569.A.1"
"341","0","9.574.A.1"
"342","0.01","9.598.A.1"
"343","0","9.600.A.1"
"344","0.06","9.609.A.4"
"345","0","9.616.A.4"
"346","0","9.617.A.1"
"347","0.01","9.622.A.1"
"348","0.22","9.625.A.1"
"349","0.04","9.634.A.1"
"350","0.02","9.641.A.1"
"351","0","9.642.A.1"
"352","0.03","9.655.A.1"
"353","0","9.668.A.1"
"354","0.03","9.669.A.1"
"355","0","9.671.A.1"
"356","0","9.679.A.1"
"357","0","9.681.A.1"
"358","0","9.682.A.1"
"359","0.01","9.688.A.1"
"360","0.01","9.702.A.1"
"361","0","9.706.A.1"
"362","0","9.710.A.1"
"363","0","9.714.A.1"
"364","0","9.727.A.1"
"365","0","9.733.A.1"
"366","0","9.751.A.1"
"367","0","9.758.A.1"
"368","0.02","9.766.A.1"
"369","0","9.772.A.1"
"370","0","9.773.A.1"
"371","0.04","9.776.A.1"
"372","0.01","9.778.A.4"
"373","0","9.791.A.1"
"374","0.01","9.792.A.1"
"375","0","9.794.A.1"
"376","0","9.798.A.1"
"377","0","9.800.A.1"
"378","0","9.803.A.1"
"379","0","9.804.A.1"
"380","0","9.811.A.1"
"381","0.02","9.820.A.1"
"382","0","9.823.A.4C"
"383","0","9.824.A.1"
"384","0.03","9.826.A.1"
"385","0","9.827.A.1"
"386","0","9.832.A.1"
"387","0.04","9.841.A.1"
"388","0","9.849.A.1"
"389","0","9.850.A.1"
"390","0","9.852.A.1"
"391","0.01","9.858.A.1"
"392","0","9.880.A.1"
"393","0","9.883.A.1"
"394","0","9.894.A.1"
"395","0.23","9.895.A.1"
"396","0","9.905.A.1"
"397","0.07","9.907.A.1"
"398","0.05","9.926.A.1"
"399","0.13","9.958.A.1"
"400","0","9.962.A.1"
"401","0","9.964.A.1"
"402","0","9.972.A.1"
"403","0.04","9.985.A.1"
"404","0","9.991.A.1"
"405","0","9.1006.A.1"
"406","0.06","9.1045.A.1"
"407","0","9.1050.A.1"
"408","0","9.1066.A.1"
"409","0","9.1107.A.1"
"410","0","9.1109.A.1"
"411","0","9.1134.A.1"
"412","0","9.1138.A.1"
"413","0","9.1150.A.1"
"414","0","9.1158.A.1"
"415","0.08","9.1172.A.1"
"416","0","9.1189.A.1"
"417","0","9.1203.A.4"
"418","0","9.1205.A.1"
"419","0","9.1211.A.1"
"420","0","9.1212.A.1"
"421","0","9.1224.A.1"
"422","0","9.1233.A.1"
"423","0","9.1246.A.1"
"424","0","9.1250.A.1"
"425","0","9.1265.A.1"
"426","0","9.1269.A.1"
"427","0","9.1273.A.1"
"428","0","9.1282.A.1"
"429","0","9.1285.A.1"
"430","0","9.1293.A.1"
"431","0.02","9.1298.A.1"
"432","0","9.1301.A.1"
"433","0","9.1304.A.1"
"434","0","9.1305.A.1"
"435","0","9.1310.A.1"
"436","0","9.1321.A.1"
"437","0.08","9.1354.A.1"
"438","0","9.1362.A.4"
"439","0","9.1369.A.1"
"440","0","9.1375.A.1"
"441","0","9.1376.A.4"
"442","0","9.1377.A.1"
"443","0","9.1381.A.1"
"444","0","9.1383.A.1"
"445","0","9.1387.A.4"
"446","0","9.1395.A.1"
"447","0","9.1398.A.1"
"448","0","9.1404.A.1"
"449","0.07","9.1420.A.1"
"450","0","9.1425.A.1"
"451","0","9.1431.A.1"
"452","0","9.1433.A.1"
"453","0.05","9.1438.A.1"
"454","0","9.1439.A.1"
"455","0","9.1440.A.1"
"456","0","9.1447.A.1"
"457","0","9.1448.A.1"
"458","0","9.1452.A.1"
"459","0","9.1461.A.1"
"460","0","9.1462.A.1"
"461","0","9.1465.A.4"
"462","0","9.1481.A.1"
"463","0","9.1486.A.1"
"464","0","9.1488.A.1"
"465","0","9.1493.A.1"
"466","0","9.1498.A.4"
"467","0","9.1499.A.1"
"468","0","9.1504.A.1"
"469","0.02","9.1508.A.1"
"470","0","9.1510.A.1"
"471","0","9.1511.A.1"
"472","0","9.1515.A.1"
"473","0","9.1520.A.4"
"474","0.01","9.1521.A.1"
"475","0","9.1522.A.1"
"476","0","9.1526.A.1"
"477","0","9.1527.A.1"
"478","0","9.1534.A.1"
"479","0.02","9.1539.A.1"
"480","0","9.1547.A.1"
"481","0","9.1551.A.1"
"482","0.05","9.1553.A.1"
"483","0","9.1555.A.1"
"484","0","9.1561.A.1"
"485","0","9.1564.A.1"
"486","0.01","9.1570.A.1"
"487","0.03","9.1571.A.1"
"488","0","9.1573.A.4"
"489","0","9.1575.A.1"
"490","0","9.1576.A.1"
"491","0.02","9.1592.A.4"
"492","0","9.1594.A.1"
"493","0","9.1598.A.1"
"494","0.01","9.1599.A.1"
