"","PlotID","G","N"
"1","1 . 100",24.3864704444444,865.661419359384
"2","1 . 1000",22.8055111111111,1347.51185151138
"3","1 . 1004",16.7966114444444,1115.64078330905
"4","1 . 101",32.1074697777778,1038.96346850389
"5","1 . 1013",11.7744833333333,809.92182151209
"6","1 . 1016",41.2508967777778,2319.27656626536
"7","1 . 1017",23.6271795555556,446.341195959938
"8","1 . 1019",55.1856025555556,547.49300423612
"9","1 . 1020",19.1646695555556,976.857672932922
"10","1 . 1022",18.9245965555556,116.147740691952
"11","1 . 1023",26.8085666666667,1117.62137815642
"12","1 . 1028",26.0947355555556,669.582529470169
"13","1 . 1029",21.9456778888889,412.954025675771
"14","1 . 103",27.3771666666667,894.804457827767
"15","1 . 1030",15.56115,806.385044998936
"16","1 . 1031",38.4484944444444,832.698662256796
"17","1 . 1032",28.9814893333333,1375.66459255608
"18","1 . 1038",20.5556847777778,575.64574528082
"19","1 . 1043",13.2244083333333,1260.64862034834
"20","1 . 1077",21.2541547777778,656.991605083344
"21","1 . 1084",11.93315,1018.59163578813
"22","1 . 1099",31.8868222222222,1358.12218105084
"23","1 . 1100",17.479325,831.142480591009
"24","1 . 1101",14.9514111111111,357.214427828476
"25","1 . 1107",19.2151924444444,987.043589290803
"26","1 . 111",28.6197888888889,1598.62298394526
"27","1 . 1120",26.6706444444444,2383.78736986528
"28","1 . 113",28.2640335555556,507.315223046699
"29","1 . 1132",11.8612714444444,430.637908241537
"30","1 . 1136",32.2815956666667,1742.35758143981
"31","1 . 1139",10.550825,700.281749604339
"32","1 . 1149",12.61256,92.2391314630362
"33","1 . 1165",22.374355,1633.56633589521
"34","1 . 1175",14.1214861111111,853.494908154137
"35","1 . 118",22.8134746666667,416.066389007346
"36","1 . 1190",18.238167,713.155616112217
"37","1 . 1191",27.6506537777778,194.664179283954
"38","1 . 120",21.8981653333333,751.352802454272
"39","1 . 1201",18.4569283333333,1686.19357041093
"40","1 . 1207",26.5054777777778,1191.89368493264
"41","1 . 1209",24.5223741111111,361.034146462682
"42","1 . 1215",10.9689166666667,551.737136051904
"43","1 . 122",36.457625,2790.5166688779
"44","1 . 123",34.9974177777778,807.092400301567
"45","1 . 1232",17.3959204444444,1451.63455205861
"46","1 . 1235",12.2576177777778,212.913946091824
"47","1 . 1238",25.2747373333333,377.444789483713
"48","1 . 1243",47.3726951111111,4576.1643948387
"49","1 . 1244",21.3975608888889,1736.13285477666
"50","1 . 1245",37.6817023333333,2157.00925984189
"51","1 . 1246",31.7497052222222,2066.6092521657
"52","1 . 1247",25.7364142222222,90.5414787367227
"53","1 . 126",33.6061251111111,1229.94940021417
"54","1 . 1261",18.2129657777778,88.2779417683046
"55","1 . 1264",20.5902496666667,1912.54726725274
"56","1 . 1284",10.4110194444444,272.331791512799
"57","1 . 1285",27.7406675555556,1493.22704385329
"58","1 . 1287",12.0987962222222,1074.755646817
"59","1 . 1288",20.0929346666667,559.942457562419
"60","1 . 1290",16.2959838888889,910.083332364589
"61","1 . 1297",49.9361225555556,2828.99679734101
"62","1 . 1325",19.6898694444444,1071.64328348543
"63","1 . 1330",10.6927944444444,1092.86394256435
"64","1 . 1331",12.3377222222222,845.289586643622
"65","1 . 134",21.5377277777778,1775.46180960292
"66","1 . 1345",26.5345626666667,560.366870743998
"67","1 . 1350",22.2943738888889,666.470166138595
"68","1 . 1351",25.4971527777778,1520.81390065589
"69","1 . 1355",17.783625,788.70116243317
"70","1 . 1364",19.929781,616.530881772871
"71","1 . 1388",14.99055,1011.51808276182
"72","1 . 1391",33.003375,972.613541117138
"73","1 . 1393",18.3725027777778,767.480503354251
"74","1 . 1403",18.6039055555556,668.45076098596
"75","1 . 144",10.9313444444444,806.385044998936
"76","1 . 1444",12.4388472222222,381.971863420549
"77","1 . 1446",23.4286277777778,905.414787367227
"78","1 . 1451",13.761458,1180.8589422116
"79","1 . 1452",27.9752318888889,699.857336422761
"80","1 . 1455",13.2813277777778,477.464829275686
"81","1 . 1462",18.9489018888889,662.933389625441
"82","1 . 1464",23.0389111111111,1488.98291203751
"83","1 . 1471",18.943925,884.194128288307
"84","1 . 1477",18.3989111111111,1421.7841582876
"85","1 . 1481",17.4672583333333,880.657351775154
"86","1 . 152",22.6623396666667,1038.96346850389
"87","1 . 162",14.7566283333333,464.873904888861
"88","1 . 169",11.474,40.7436654315252
"89","1 . 174",25.335751,1635.54693074258
"90","1 . 178",25.9612048888889,194.664179283954
"91","1 . 182",14.9398694444444,976.150317630291
"92","1 . 189",43.2525678888889,424.130239457335
"93","1 . 19",10.3361916666667,240.50080289442
"94","1 . 190",18.4585564444444,79.2237938946324
"95","1 . 196",28.930932,632.234169491271
"96","1 . 198",15.8995303333333,146.846960826122
"97","1 . 199",28.7609862222222,467.420383978331
"98","1 . 200",35.0249183333333,1184.39571872475
"99","1 . 201",13.0229277777778,495.148711841452
"100","1 . 205",30.8888166666667,2698.56047953591
"101","1 . 211",26.6643055555556,1326.29119243246
"102","1 . 212",24.9978472222222,488.075158815146
"103","1 . 213",29.0974666666667,1213.11434401156
"104","1 . 214",17.5076728888889,372.917715546877
"105","1 . 218",29.7836333333333,969.076764603985
"106","1 . 220",16.7779617777778,162.974661726101
"107","1 . 231",20.467836,204.284211399731
"108","1 . 236",16.6641555555556,289.166847715408
"109","1 . 247",17.547555,814.165953327873
"110","1 . 254",26.6568657777778,295.391574378558
"111","1 . 266",26.9117014444444,520.613502736155
"112","1 . 271",22.2623055555556,958.466435064525
"113","1 . 273",14.0804016666667,662.933389625441
"114","1 . 274",21.613044,66.2084563262285
"115","1 . 275",26.6544994444444,994.541555498688
"116","1 . 277",30.9097944444444,686.134643551727
"117","1 . 285",18.3321444444444,244.037579407573
"118","1 . 290",16.7927432222222,223.099862449706
"119","1 . 292",18.0253212222222,825.62510923049
"120","1 . 293",29.066195,533.487369244033
"121","1 . 298",13.4243358888889,141.754002647181
"122","1 . 304",31.2808013333333,1292.05519578514
"123","1 . 305",11.6123232222222,521.462329099312
"124","1 . 315",10.1392602222222,204.284211399731
"125","1 . 316",33.5465388888889,1124.69493118273
"126","1 . 317",21.9603916666667,1920.4696466422
"127","1 . 320",23.3188618888889,436.862634904687
"128","1 . 321",35.4965452222222,651.474233722825
"129","1 . 329",17.9824084444444,351.979998589009
"130","1 . 341",22.7010937777778,565.03541574136
"131","1 . 342",32.0136935555556,831.84983589364
"132","1 . 344",17.4482212222222,433.750271573112
"133","1 . 349",33.8944117777778,418.47139703629
"134","1 . 356",28.536001,389.61130068896
"135","1 . 359",10.9297555555556,190.985931710274
"136","1 . 362",10.811704,152.78874536822
