"","PLOT_ID","PlotID0","ID_SP1","ID_SP2","ID_SP3","G_sp_1","G_sp_2","G_sp_3","N_sp_1","N_sp_2","N_sp_3","X","Provincia","Estadillo","ESTRATO","FECHGR","CODGR","NUMPMA","NUMTIP","NUMPME","NUMMAT","VERIFICA","FECHAVE","CODVE","HOJA","VUELO","FOTO","COORDEX","COORDEY","YEAR","MUNICI","PROPIED1","PROPIED2","AREAPRO1","AREAPRO2","ALTITUD1","ALTITUD2","PENDIEN1","PENDIEN2","USO1","USO2","FRACCION1","FRACCION2","ESPECIA11","ESPECIA12","OCUPA11","OCUPA12","ESTADA11","ESTADA12","ESPECIA21","ESPECIA22","OCUPA21","OCUPA22","ESTADA21","ESTADA22","ESPECIA31","ESPECIA32","OCUPA31","OCUPA32","ESTADA31","ESTADA32","ESPECIB1","MASAB1","ORIGEB1","EDADB1","ESPECIB2","MASAB2","ORIGEB2","EDADB2","ESPECIB3","MASAB3","ORIGEB3","EDADB3","ESPECIE1","ESPECIE2","ESPECIE3","ESPECIE4","ESPECIE5","ESPECIE6","ESPECIE7","CLASUELO","ESPESOR","CLACOBER","CUBIERTA","MEROSIVA1","MEROSIVA2","MEROSIVA3","MEROSIVA4","DISESPAC","COMPESPE","PREPSUEL1","PREPSUEL2","TRAVUELO1","TRAVUELO2","CORTAS","DANOS1","DANOS2","DANOS3","ORIENTA1","ORIENTA2","MAXPEND1","MAXPEND2","CoorX","CoorY","Origen","INVENTORY_ID","PLOT_ID_short","Do","SUM_DBH","SUM_H","G","N","Deadwood","dbh_mean","h_mean","dg","Ho","slenderness","dominant_slenderness","SDI","S","S_staggered","Longitude","Latitude","period","tmin","tmax","tmean","prec","MARTONNE"
"196","22_172",22.172,21,43,71,16.5069222222222,3.73196875,1.9224375,477.464829275686,127.323954473516,190.985931710274,43556,22,172,NA,940117,1,30,4,6,3,"S",940118,3,144,4,"0144989",683,4728,93,901,2,2,"0","0",8,8,5,5,9,1,0,75,21,21,0,9,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,91,43,71,37,76,15,2,3,"W",20,NA,NA,NA,1,1,3,NA,0,NA,0,4,NA,"P204","P305",19,NA,"10.00",NA,683000,4728000,22,"IFN2","22_172",27,15672.6946015616,8417.52810130469,23.8063534722222,891.267681314614,0,17.5847222222222,9.44444444444444,18.4415499318492,11.6875,53.7082378959008,43.287037037037,546.914329002419,28.6598753236654,53.3420384749268,-0.747360362677763,42.1952993175224,"1986_1996",9.27272727272727,19.6515151515152,14.4621212121212,491.11818207394,20.0766800971694
"205","22_34",22.34,43,21,76,8.51437013888889,5.23725138888889,2.2421,410.266075525775,155.618166578742,286.478897565412,43421,22,34,NA,940114,1,25,4,6,2,"S",940117,1,143,2,"0143M83",675,4727,93,76,2,2,"0","0",7,7,5,5,9,1,80,75,21,43,0,5,4,3,NA,21,NA,4,NA,4,NA,91,NA,1,NA,2,43,3,6,NA,21,3,1,NA,91,3,6,NA,43,21,91,76,78,15,37,2,4,"W",20,NA,NA,NA,1,1,3,NA,0,NA,0,0,"P305","P902","P406",291,NA,"12.50",NA,675000,4727000,22,"IFN2","22_34",23.5838235294118,12506.2185893355,6465.2274660441,15.9937215277778,852.363139669928,0,14.6724066390041,7.5850622406639,15.4567254963831,10.4852941176471,51.696101582274,44.4596869738729,393.971244760722,32.6668345276709,60.7998298858696,0.579665160421726,42.1468552829823,"1986_1996",6.51515151515152,17.5984848484848,12.0568181818182,711.700000535358,32.2666666909384
"210","22_42",22.42,71,31,21,18.9437911111111,2.815625,2.32012011111111,199.898608523421,36.9239467973197,19.2400642315536,43428,22,42,NA,931015,12,25,4,6,0,"S",931026,13,144,4,"0144569",687,4743,93,901,2,2,"3","3",11,11,5,5,9,1,0,75,21,71,0,8,0,4,71,91,0,1,0,2,31,NA,0,NA,0,NA,71,3,6,NA,91,3,6,NA,NA,NA,NA,NA,71,91,21,31,77,76,78,2,4,"W",20,NA,NA,NA,1,1,3,NA,0,NA,0,9,NA,NA,"01",77,NA,"18.00",NA,687000,4743000,22,"IFN2","22_42",44.1185929648241,9070.01385311027,4080.09612110383,26.0679424722222,292.986566349614,0,30.9570980202801,13.9258812168035,33.6577114001717,17.1206030150754,44.9844530248947,38.8058681488906,472.198658188176,34.1237764997359,63.5115044431366,-0.329436872423511,42.627563934668,"1986_1996",4.81060606060606,14.4772727272727,9.64393939393939,841.218182086945,42.8232934961345
"215","22_507",22.507,43,21,NA,9.41943125,2.80835,NA,208.669814276041,381.971863420549,NA,43808,22,507,NA,931018,12,14,4,3,1,"S",931029,13,177,4,"0177585",730,4712,93,252,1,1,"0","0",11,11,5,5,7,1,0,40,21,43,0,8,0,4,NA,21,NA,2,NA,3,NA,NA,NA,NA,NA,NA,43,3,6,NA,21,3,1,NA,NA,NA,NA,NA,43,21,91,NA,NA,NA,NA,2,2,"W",20,NA,NA,NA,1,1,2,NA,9,NA,0,0,"P302","P402","P204",350,NA,"12.00",NA,730000,4712000,22,"IFN2","22_507",26.2875,8610.81293774851,4120.34463782351,12.22778125,590.641677696589,0,14.5787425149701,6.97604790419162,16.2355440075643,9.125,47.8508204464707,34.7123157394199,295.413039856887,45.092579783845,83.9267477125905,-0.199885012450648,42.5254182397331,"1986_1996",4.34090909090909,14.3787878787879,9.35984848484848,828.527270533822,42.7961650207257
"222","22_59",22.59,21,43,NA,10.7879034722222,2.97125625,NA,417.339628552081,254.647908947033,NA,43444,22,59,NA,940114,1,16,4,5,3,"S",940117,3,144,4,"0144629",678,4740,93,28,2,2,"0","0",9,9,5,5,9,1,0,45,21,21,0,6,0,4,NA,43,NA,3,NA,3,NA,91,NA,1,NA,2,21,3,1,NA,43,3,6,NA,91,3,6,NA,21,43,91,74,15,65,37,2,3,"W",20,NA,NA,NA,1,1,3,NA,0,NA,0,4,NA,"P204","P305",300,NA,"11.25",NA,678000,4740000,22,"IFN2","22_59",25.9067567567568,10038.0790996315,3717.15211532404,13.7591597222222,671.987537499114,0,14.9378947368421,5.53157894736842,16.1462029103146,8.7027027027027,37.030512296526,33.5924051953471,333.135186668591,44.3266839225236,82.5012548923669,-0.82367434546775,42.7911057334085,"1986_1996",5.49242424242424,14.7045454545455,10.0984848484848,837.68181534247,41.6788539861312
"223","22_6",22.6,21,NA,NA,5.724575,NA,NA,541.126806512444,NA,NA,43393,22,6,NA,931130,1,5,4,2,1,"S",931201,3,118,4,"0118410",680,4748,93,28,2,2,"3","3",12,12,5,5,9,1,0,40,21,21,0,7,0,3,71,71,0,3,0,3,NA,NA,NA,NA,NA,NA,21,3,1,NA,71,3,6,NA,NA,NA,NA,NA,21,71,37,15,NA,NA,NA,2,1,"W",20,NA,NA,NA,1,1,2,NA,0,NA,0,4,NA,NA,"01",36,NA,"12.50",NA,680000,4748000,22,"IFN2","22_6",13.42,6191.12728627473,2721.54952687141,5.724575,541.126806512444,0,11.4411764705882,5.02941176470588,11.6058555200787,5.5,43.9588688946015,40.983606557377,157.910924523214,78.1605822868045,145.4732353327,-0.811456474366203,42.7908727724581,"1986_1996",5.49242424242424,14.7045454545455,10.0984848484848,837.68181534247,41.6788539861312
"230","22_746",22.746,43,21,45,17.8585489444444,3.35383611111111,0.680625,207.396574731305,60.1252007236049,31.8309886183791,43972,22,746,NA,940121,3,20,4,4,2,"S",940128,3,179,1,"0179302",271,4719,93,227,2,2,"0","0",9,9,5,5,9,1,0,60,44,43,7,7,0,4,21,91,2,2,0,2,NA,21,NA,1,NA,4,43,3,6,NA,91,3,1,NA,21,3,1,NA,43,91,21,37,78,99,76,2,2,"W",20,NA,NA,NA,1,1,3,NA,0,NA,0,0,NA,NA,"P204",150,NA,"14.50",NA,271000,4719000,22,"IFN2","22_746",41.8525139664804,8351.58843999346,3036.81778525389,21.8930100555556,299.352764073289,0,27.8988185255198,10.1446124763705,30.5151958256209,11.963687150838,36.3621580142935,28.5853489241284,412.228484329946,48.3106984101078,89.9163413741248,0.209238984411166,42.5886787346904,"1986_1996",3.62121212121212,13.469696969697,8.54545454545454,955.990903550928,51.5485291130402
"231","22_75",22.75,21,43,NA,44.3795546666667,9.93508472222222,NA,648.36187039125,403.192522499468,NA,43460,22,75,NA,940114,1,52,4,5,3,"S",940117,3,144,4,"0144625",684,4738,93,901,2,2,"0","0",11,11,5,5,9,1,0,80,21,21,0,7,0,4,71,43,0,3,0,4,NA,NA,NA,NA,NA,NA,21,3,1,NA,43,3,6,NA,NA,NA,NA,NA,21,43,71,15,78,99,37,2,3,"W",19,NA,NA,NA,1,1,2,NA,0,NA,0,0,NA,NA,"01",113,NA,"11.75",NA,684000,4738000,22,"IFN2","22_75",40.2935028248587,25213.3685259362,10948.8697872987,54.3146393888889,1051.55439289072,0,23.9772366473833,10.4120812592493,25.6447009235192,11.4661016949153,43.4248592211546,28.4564530037367,1095.41639820209,26.8948012793904,50.0568655103721,-0.751021065995748,42.7716920104277,"1986_1996",4.8030303030303,14.1287878787879,9.46590909090909,874.809092738412,44.9405721897141
"247","24_1067",24.1067,21,43,NA,10.4771125,3.31363125,NA,891.267681314614,445.633840657307,NA,49244,24,1067,NA,930125,3,18,5,2,1,"S",930205,3,159,2,"0159J09",723,4727,92,71,2,2,"0","0",11,11,2,3,9,1,0,80,21,43,0,6,0,3,NA,21,NA,3,NA,3,NA,57,NA,1,NA,2,43,3,6,NA,21,1,2,27,57,3,6,NA,43,21,57,73,NA,NA,NA,2,4,"W",20,NA,NA,NA,1,1,2,NA,1,NA,4,4,NA,NA,"01",165,NA,"2.75",NA,723000,4727000,24,"IFN2","24_1067",17.3375,14850.7477399048,8100.98660337747,13.79074375,1336.90152197192,0,11.1083333333333,6.05952380952381,11.4603846648647,8.375,54.5493516236202,48.3056957462149,382.314184639753,32.6561870863202,60.7800127645536,-6.27914384831091,42.6623977917365,"1986_1996",5.16666666666667,15.3863636363636,10.2765151515152,968.83636526628,47.7812068803097
"252","24_1261",24.1261,21,43,NA,8.43101875,4.2294625,NA,732.112738222719,604.788783749202,NA,47953,24,1261,NA,921119,3,21,5,2,3,"S",921126,3,163,2,"0163J07",340,4725,92,51,1,1,"0","0",10,10,4,4,9,1,80,90,21,43,5,6,3,3,26,21,4,4,3,3,25,NA,1,NA,3,NA,43,3,6,NA,21,3,1,NA,NA,NA,NA,NA,43,21,25,NA,NA,NA,NA,1,4,"W",20,NA,NA,NA,1,1,2,NA,0,NA,0,0,NA,NA,"01",320,NA,"5.25",NA,340000,4725000,24,"IFN2","24_1261",15.0375,14284.1561424976,10281.4093237364,12.66048125,1336.90152197192,0,10.6845238095238,7.69047619047619,10.9807109016111,9.75,71.9777158774373,64.8379052369077,356.958385229772,28.0508273690186,52.2084725028857,-4.95214068076285,42.6600762773031,"1986_1996",5.3030303030303,15.2272727272727,10.2651515151515,583.163636120883,28.7766728852174
