"","x"
"1","34.323.A.1"
"2","34.324.A.1"
"3","34.542.A.1"
"4","37.1024.A.1"
"5","37.1223.A.1"
"6","37.1313.A.1"
"7","37.1635.A.1"
"8","37.1658.A.1"
"9","37.1725.A.1"
"10","37.884.A.1"
"11","37.896.A.1"
"12","40.1849.A.1"
"13","40.1856.A.1"
"14","40.1864.A.1"
"15","42.1046.A.1"
"16","42.1293.A.1"
"17","42.225.A.1"
"18","42.228.A.1"
"19","42.230.A.1"
"20","42.252.A.1"
"21","42.253.A.1"
"22","42.318.A.1"
"23","42.326.A.1"
"24","42.333.A.1"
"25","42.341.A.4"
"26","42.345.A.1"
"27","42.366.A.1"
"28","42.371.A.1"
"29","42.399.A.4"
"30","42.406.A.1"
"31","42.436.A.1"
"32","42.437.A.1"
"33","42.448.A.1"
"34","42.450.A.1"
"35","42.459.A.1"
"36","42.460.A.1"
"37","42.632.A.1"
"38","42.650.A.1"
"39","42.725.A.1"
"40","42.841.A.1"
"41","42.875.A.1"
"42","42.883.A.1"
"43","42.897.A.1"
"44","42.903.A.1"
"45","42.904.A.1"
"46","42.915.A.1"
"47","42.918.A.1"
"48","42.935.A.1"
"49","42.957.A.1"
"50","42.958.A.1"
"51","42.959.A.1"
"52","42.960.A.1"
"53","42.983.A.1"
"54","9.2146.A.1"
"55","9.2179.A.1"
"56","9.2210.A.1"
"57","9.2215.A.1"
"58","9.2226.A.1"
"59","9.2235.A.1"
"60","9.2243.A.1"
"61","9.2247.A.1"
"62","9.2249.A.1"
"63","9.2259.A.1"
"64","9.2270.A.1"
"65","9.2272.A.1"
"66","9.2360.A.1"
"67","9.2397.A.1"
"68","9.2400.A.1"
"69","9.2421.A.1"
"70","9.2422.A.1"
"71","9.2423.A.1"
"72","9.2438.A.1"
"73","9.2443.A.1"
"74","9.2453.A.1"
"75","9.2457.A.1"
"76","9.2460.A.1"
"77","9.2614.A.1"
"78","9.3448.A.1"
"79","9.503.A.1"
"80","9.514.A.1"
"81","9.520.A.1"
"82","9.86.A.1"
"83","9.860.A.1"
"84","9.876.A.1"
"85","9.887.A.1"
"86","9.897.A.1"
