"","Provincia","Estadillo","ESTRATO","FECHGR","CODGR","NUMPMA","NUMTIP","NUMPME","NUMMAT","VERIFICA","FECHAVE","CODVE","HOJA","VUELO","FOTO","COORDEX","COORDEY","ANO","MUNICI","PROPIED1","PROPIED2","AREAPRO1","AREAPRO2","ALTITUD1","ALTITUD2","PENDIEN1","PENDIEN2","USO1","USO2","FRACCION1","FRACCION2","ESPECIA11","ESPECIA12","OCUPA11","OCUPA12","ESTADA11","ESTADA12","ESPECIA21","ESPECIA22","OCUPA21","OCUPA22","ESTADA21","ESTADA22","ESPECIA31","ESPECIA32","OCUPA31","OCUPA32","ESTADA31","ESTADA32","ESPECIB1","MASAB1","ORIGEB1","EDADB1","ESPECIB2","MASAB2","ORIGEB2","EDADB2","ESPECIB3","MASAB3","ORIGEB3","EDADB3","ESPECIE1","ESPECIE2","ESPECIE3","ESPECIE4","ESPECIE5","ESPECIE6","ESPECIE7","CLASUELO","ESPESOR","CLACOBER","CUBIERTA","MEROSIVA1","MEROSIVA2","MEROSIVA3","MEROSIVA4","DISESPAC","COMPESPE","PREPSUEL1","PREPSUEL2","TRAVUELO1","TRAVUELO2","CORTAS","DANOS1","DANOS2","DANOS3","ORIENTA1","ORIENTA2","MAXPEND1","MAXPEND2","PlotID0","CoorX","CoorY","Origen"
"62655",31,36,NA,902606,NA,NA,NA,NA,NA,"5",901207,NA,"0003","1","0030033","031","0041","88","153",NA,NA,NA,NA,NA,"01",NA,"5",NA,"1",NA,"80",NA,"72",NA,"4",NA,"4",NA,"41",NA,"4",NA,"4",NA,"91",NA,"2",NA,"3","72","3","6",NA,"41","3","6",NA,"91","3","6",NA,"72","41","54","91","74",NA,NA,"2","02","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"01","240",NA,"25.00",NA,"31.36",31000,41000,31
"62681",31,62,NA,902706,NA,NA,NA,NA,NA,"5",901307,NA,"0004","1","0040053","024","0002","89","117",NA,"6",NA,NA,NA,"04",NA,"5",NA,"1",NA,"80",NA,"41",NA,"5",NA,"4",NA,"72",NA,"2",NA,"4",NA,"65",NA,"2",NA,"3","41","3","1",NA,"72","3","6",NA,"65","3","6",NA,"41","71","72","65","95","57","12","2","02","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"P906","245",NA,"10.25",NA,"31.62",24000,2000,31
"62701",31,82,NA,902806,NA,NA,NA,NA,NA,"4",901607,NA,"0004","1","0040062","021","0055","89","082",NA,NA,NA,NA,NA,"03",NA,"5",NA,"1",NA,"70",NA,"41",NA,"7",NA,"4",NA,"72",NA,"1",NA,"4",NA,"65",NA,"1",NA,"4","41","3","6",NA,"72","3","6",NA,"65","3","6",NA,"41","72","28","65","74",NA,NA,"3","02","W","18",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"01","13",NA,"13.00",NA,"31.82",21000,55000,31
"62704",31,85,NA,901308,NA,NA,NA,NA,NA,"5",901708,NA,"0004","1","0040065","022","0028","89","082",NA,NA,NA,NA,NA,"05",NA,"5",NA,"1",NA,"45",NA,"72",NA,"6",NA,"3",NA,"41",NA,"2",NA,"4",NA,"71",NA,"2",NA,"3","72","3","3",NA,"41","3","6",NA,"71","3","6",NA,"72","41","71",NA,NA,NA,NA,"2","02","W","19",NA,NA,NA,"1","1","2",NA,"0",NA,"4","1",NA,NA,"P406","332",NA,"14.00",NA,"31.85",22000,28000,31
"62713",31,94,NA,900207,NA,NA,NA,NA,NA,"4",901607,NA,"0004","1","0040070","043","0027","88","050",NA,NA,NA,NA,NA,"04",NA,"5",NA,"2",NA,"80",NA,"41",NA,"6",NA,"4",NA,"74",NA,"2",NA,"2",NA,"72",NA,"2",NA,"1","41","3","6",NA,"74","3","6",NA,"72","3","6",NA,"41","74","72","14","76","65",NA,"3","07","G","17",NA,NA,NA,"1","1","3",NA,"0",NA,"0","4",NA,NA,"01","280",NA,"15.00",NA,"31.94",43000,27000,31
"62718",31,99,NA,900307,NA,NA,NA,NA,NA,"4",901607,NA,"0005","1","0050075","016","0045","89","024",NA,NA,NA,NA,NA,"02",NA,"5",NA,"1",NA,"40",NA,"41",NA,"6",NA,"4",NA,"72",NA,"2",NA,"4",NA,"92",NA,"1",NA,"4","41","3","6",NA,"72","3","6",NA,"92","3","6",NA,"41","72","92","73","57","74","95","3","02","W","18",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"01","395","245","18.50","15.50","31.99",16000,45000,31
"62737",31,118,NA,900307,NA,NA,NA,NA,NA,"3",901707,NA,"0005","1","0050079","019","0017","89","117",NA,NA,NA,NA,NA,"04",NA,"5",NA,"1",NA,"95",NA,"41",NA,"6",NA,"4",NA,"72",NA,"3",NA,"4",NA,"48",NA,"1",NA,"4","41","3","6",NA,"72","3","6",NA,"48","3","1",NA,"41","72","48","14","65","71",NA,"2","06","G","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"P906","103",NA,"13.00",NA,"31.118",19000,17000,31
"62740",31,121,NA,900307,NA,NA,NA,NA,NA,"3",901707,NA,"0005","1","0050080","022","0001","89","117",NA,"6",NA,"2",NA,"03",NA,"5",NA,"1",NA,"95",NA,"41",NA,"5",NA,"4",NA,"72",NA,"4",NA,"4",NA,NA,NA,NA,NA,NA,"41","3","6",NA,"72","3","1",NA,"99","3","6",NA,"41","72","12","65","12","16",NA,"3","06","G","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"P906","298",NA,"11.00",NA,"31.121",22000,1000,31
"62758",31,139,NA,900307,NA,NA,NA,NA,NA,"3",901807,NA,"0005","1","0050088","031","0004","89","226",NA,NA,NA,NA,NA,"04",NA,"5",NA,"1",NA,"85",NA,"71",NA,"6",NA,"4",NA,"41",NA,"4",NA,"4",NA,NA,NA,NA,NA,NA,"71","3","9",NA,"41","3","1",NA,NA,NA,NA,NA,"72","41","28","65",NA,NA,NA,"3","03","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","4",NA,NA,"01","300",NA,"10.50",NA,"31.139",31000,4000,31
"62775",31,156,NA,901308,NA,NA,NA,NA,NA,"5",901708,NA,"0006","1","0060107","023","0002","89","117",NA,"6",NA,NA,NA,"06",NA,"5",NA,"1",NA,"85",NA,"72",NA,"5",NA,"4",NA,"41",NA,"4",NA,"4",NA,"71",NA,"1",NA,"4","72","3","6",NA,"41","3","6",NA,"71","3","6",NA,"41","72","71","65",NA,NA,NA,"2","03","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"P915","337",NA,"16.50",NA,"31.156",23000,2000,31
