"","PlotID0","PlotID.x","FechaIni.x","Cla.x","Subclase.x","anno.gr.x","mes.gr.x","PlotID.y","FechaIni.y","Cla.y","Subclase.y","anno.gr.y","mes.gr.y","diff.year"
"66",42.349,"42.349.A.1 ","12/15/03 14:44:45","A","1 ",2003,12,"42.349.A.1","2019-05-21","A","1",2019,5,16
"67",42.376,"42.376.A.1 ","02/12/04 10:50:19","A","1 ",2004,2,"42.376.A.1","2019-04-26","A","1",2019,4,15
"68",42.441,"42.441.A.1 ","02/20/04 14:53:01","A","1 ",2004,2,"42.441.A.1","2019-08-22","A","1",2019,8,16
"69",42.547,"42.547.A.4 ","03/16/04 11:25:53","A","4 ",2004,3,"42.547.A.1","2019-08-29","A","1",2019,8,16
"70",42.585,"42.585.A.1 ","02/16/04 11:34:36","A","1 ",2004,2,"42.585.A.1","2019-06-21","A","1",2019,6,15
"71",42.587,"42.587.A.4 ","11/19/03 10:32:23","A","4 ",2003,11,"42.587.A.1","2019-07-11","A","1",2019,7,16
"72",42.642,"42.642.A.1 ","03/10/04 15:31:37","A","1 ",2004,3,"42.642.A.1","2019-06-14","A","1",2019,6,15
"73",42.653,"42.653.A.1 ","03/11/04 12:54:41","A","1 ",2004,3,"42.653.A.1","2019-05-29","A","1",2019,5,15
"74",42.7,"42.70.A.1 ","11/21/03 09:46:29","A","1 ",2003,11,"42.70.A.1","2019-05-27","A","1",2019,5,16
"75",42.82,"42.82.A.1 ","12/10/03 12:01:59","A","1 ",2003,12,"42.82.A.1","2019-06-26","A","1",2019,6,16
"76",42.83,"42.83.A.4 ","11/24/03 11:13:14","A","4 ",2003,11,"42.83.A.1","2019-08-12","A","1",2019,8,16
"77",42.96,"42.96.A.1 ","11/20/03 10:11:59","A","1 ",2003,11,"42.96.A.4","2019-06-03","A","4",2019,6,16
