"","Provincia","Estadillo","Cla","Subclase","Tipo","Vuelo1","Pasada1","Foto1","Vuelo2","Pasada2","Foto2","Ano","Nivel1","Nivel2","Nivel3","FccTot","FccArb","DisEsp","ComEsp","Rocosidad","Textura","MatOrg","PhSuelo","TipSuelo1","TipSuelo2","TipSuelo3","MErosiva","ModComb","EspCMue","PresReg","EfecReg","CortaReg","MejVue1","MejVue2","MejSue1","MejSue2","Orienta1","Orienta2","MaxPend1","MaxPend2","Localiza","Acceso","Levanta","Obser","FechaIni","HoraIni","FechaFin","HoraFin","Origen","PlotID0","PlotID"
"9027",9,1410,"A","1",0,"1997","","2-4","1985","K","0010",2018,1,1,1,95,95,1,1,3,2,2,4,1,2,1,1,9,4,NA,NA,1,0,NA,0,NA,60,NA,8.25,NA,1,1,2,"PARCELA LOCALIZADA A TRAVES DE CROQUIS (DESPLAZADA EN IFN3 8MT A 397G) Y PIES MAYORES.
FUERA DE 10MT HAY ARANDANO, BREZO Y CYTISUS.
CORTAS VIEJAS.
COMPROBADA FORMA PIES 15, 17, 20.
PIE 16 DISTANCIA COMPROBADA.
COMPROBADA ALTURA PIS 9, 12, 13, 34.
PIE 20 MEDIDO A 1,20MT POR BULTO.
COMPROBADO PAE PIE 24.
021 NO POR DIAMETRO: 139G-15,5MT (416-414), 140G-19,3MT (418-417), 389G-23,5MT (424-395).
071 NO POR DIAMETRO: 240G-22,9MT (415-414).
REFERENCIA: 78,5MT POR BORDE DE PISTILLA DESDE PISTA PRINCIPAL. ",2018-11-15,2000-01-01,2018-11-15,2000-01-01,9,"9.1410","9.1410.A.1"
"9038",9,1424,"A","1",0,"1985","K","0009","1997","","2-4",2018,1,1,2,95,95,1,2,2,2,1,4,1,2,1,1,8,4,NA,NA,0,0,NA,0,NA,310,NA,9,NA,1,2,1,"PARCELA LOCALIZADA CON ORTOFOTO, CROQUIS Y PIES IFN3.
HAY SENALAMIENTO EN PIES PARA SU CORTA.
[Pies Mayores]
TODAS LAS ALTURAS ESTAN COMPROBADAS.
EXISTE DISCREPANCIA RESPECTO A LAS TOMADAS EN EL IFN3 AL RESULTAR VALORES INFERIORES EN LA MEDICION PARA EL IFN4.
PIE 001-002-003-004-005-006-008-016 ALTURA COMPROBADA.
PIE 061 DIAMETRO COMPROBADO.",2018-10-29,2000-01-01,2018-10-29,2000-01-01,9,"9.1424","9.1424.A.1"
"9072",9,1491,"A","1",0,"1985","l","0006","1997","","3-2",2018,1,1,2,100,60,1,1,2,2,1,4,1,2,1,1,4,6,NA,NA,0,0,0,0,0,65,NA,7.5,NA,1,2,1,"[ClaEsp. Resto de especies=10%]
[Pies Mayores]SERVAL A 136G NO ENTRA POR DIST.(COMP)N16 ALTURA COMP.
[Riesgos]",2018-12-01,2000-01-01,2018-12-01,2000-01-01,9,"9.1491","9.1491.A.1"
"9080",9,1506,"A","4",0,"1985","L","0005","1997","","3-2",2018,1,1,2,100,90,1,1,1,2,1,4,1,2,1,1,9,5,NA,NA,0,0,0,0,0,182,NA,12,NA,1,1,2,"[Pies Mayores]ENCUENTRO PARCELA INFO3 PERO ESTA JUSTO ENTRE DOS TESELAS LO QUE DESPLAZO DESDE LA COORDENADA.N40 MEDIDA CON CINTA(283)",2018-11-28,2000-01-01,2018-11-29,2000-01-01,9,"9.1506","9.1506.A.4"
"9301",9,1912,"A","1",0,"1984","L","0003","1997","","3-1",2018,1,1,1,85,80,1,2,4,3,2,4,1,2,1,6,5,3,NA,NA,1,0,NA,0,NA,310,NA,10.5,NA,1,3,1,"PARCELA LOCALIZADA POR ORTOFOTO-CROQUIS Y PIES IFN 3.
[Pies Mayores]PIE 15 DATOS ESTIMADOS POR SER INACCESIBLE.
PIE 27 ALTURA COMPROBADA.
PIE 30 MEDIDO A 1.1 M.
[Coor. gps]COORDENADAS COGIDAS CON GPS GARMIN Y TRASPASADAS A ETRS 89.
X-488925
Y-4658034",2018-10-25,2000-01-01,2018-10-25,2000-01-01,9,"9.1912","9.1912.A.1"
"9302",9,1913,"A","1",0,"1984","L","0003","1997","","3-1",2018,1,1,1,80,65,1,1,3,3,2,4,1,2,1,6,6,2,NA,NA,1,0,NA,0,NA,260,NA,13,NA,2,3,1,"PARCELA LOCALIZADA POR ORTOFOTO-CROQUIS Y PIES IFN 3.
[Pies Mayores]PIES 16-17 ALTURA COMPROBADA. SE BARRENA PIE 071 MAS SANO PORQUE LOS DEMAS TIENEN HONGOS O NO TIENEN DIAMETRO.",2018-10-24,2000-01-01,2018-10-24,2000-01-01,9,"9.1913","9.1913.A.1"
"9313",9,1929,"A","1",0,"1984","L","0006","1997","","3-2",2018,1,1,1,80,60,1,1,3,2,2,4,1,2,1,1,6,3,NA,NA,1,0,NA,0,NA,225,NA,4.5,NA,3,3,2,"PARCELA LOCALIZADA POR ORTOFOTO-CROQUIS Y PIES IFN 3.
[Matorral]A MAS DE 10 M HAY ZARZA.
[Pies Mayores]PIE 4 MEDIDO CON CINTA 254 CM. PIE 11 215 CM.
PIE 5 FORMA COMPROBADA.
A 248 G Y 23.3 M UN 021 NO POR DIAMETRO 425-392.
NO SE PUEDE SACAR LA BARRENA AL 071.",2018-10-10,2000-01-01,2018-10-10,2000-01-01,9,"9.1929","9.1929.A.1"
"9316",9,1939,"A","1",0,"1984","L","0007","1997","","3-2",2018,1,1,1,100,95,1,2,1,2,2,4,1,2,1,1,8,4,NA,NA,0,0,NA,0,NA,90,NA,6,NA,3,2,2,"PARCELA LOCALIZADA POR ORTOFOTO-CROQUIS Y PIES IFN 3.
[Matorral]NO HAY MATORRAL.
[Pies Mayores]PIE 52 DIAMETRO COMPROBADO.",2018-10-23,2000-01-01,2018-10-23,2000-01-01,9,"9.1939","9.1939.A.1"
"9359",9,2008,"A","1",0,"1984","M","0008","1997","","4-3",2018,1,1,1,95,85,1,1,4,2,1,4,1,2,1,1,5,2,NA,NA,1,0,NA,0,NA,350,NA,7,NA,1,3,1,"PARCALA LOCALIZADA POR PIES MAYORES Y CROQUIS
[Pies Mayores]
PIE 5 MEDIDO CON CINTA METRICA (269CM)
PIE 10 PAE Y FORMA COMPROBADA, Y MEDIDO CON CINTA (239CM)
PIE 15 Y 29 DIAMETROS COMPROBADOS",2018-10-04,2000-01-01,2018-10-04,2000-01-01,9,"9.2008","9.2008.A.1"
"9510",9,2303,"A","1",0,"1984","J","0009","1997","","2-1",2018,1,1,1,95,90,1,2,3,2,1,4,1,2,1,1,8,3,NA,NA,1,0,NA,0,NA,60,190,8,10,1,3,2,"PARCELA LOCALIZADA POR PIES MAYORES Y FOTOS IFN3
[ClaEsp. Resto de especies=10%]
[Pies Mayores]
PIE 1 MEDIDO A 1M Y CON CINTA METRICA (2.51CM)
PIE 10 DIAMETRO COMPROBADO
PIE 21 DIAMETRO COMPROBADO",2018-10-01,2000-01-01,2018-10-01,2000-01-01,9,"9.2303","9.2303.A.1"
