"","PlotID0","PlotID.x","FechaIni.x","Cla.x","Subclase.x","anno.gr.x","mes.gr.x","PlotID.y","FechaIni.y","Cla.y","Subclase.y","anno.gr.y","mes.gr.y","diff.year"
"1",9.2146,"9.2146.A.1","03/13/03 00:00:00","A","1",2003,3,"9.2146.A.1","2018-11-24","A",1,2018,11,16
"2",9.221,"9.2210.A.1","03/27/03 00:00:00","A","1",2003,3,"9.2210.A.1","2018-05-25","A",1,2018,5,15
"3",9.2215,"9.2215.A.1","04/29/03 00:00:00","A","1",2003,4,"9.2215.A.1","2018-05-09","A",1,2018,5,15
"4",9.2226,"9.2226.A.1","04/21/03 00:00:00","A","1",2003,4,"9.2226.A.1","2018-05-22","A",1,2018,5,15
"5",9.2235,"9.2235.A.1","03/20/03 00:00:00","A","1",2003,3,"9.2235.A.1","2018-06-05","A",1,2018,6,15
"6",9.2243,"9.2243.A.1","05/23/03 00:00:00","A","1",2003,5,"9.2243.A.1","2018-05-31","A",1,2018,5,15
"7",9.2247,"9.2247.A.1","03/06/03 00:00:00","A","1",2003,3,"9.2247.A.1","2018-06-12","A",1,2018,6,15
"8",9.2259,"9.2259.A.1","04/22/03 00:00:00","A","1",2003,4,"9.2259.A.1","2018-06-20","A",1,2018,6,15
"9",9.227,"9.2270.A.1","02/28/03 00:00:00","A","1",2003,2,"9.2270.A.1","2018-06-14","A",1,2018,6,15
"10",9.236,"9.2360.A.1","03/05/03 00:00:00","A","1",2003,3,"9.2360.A.1","2018-11-13","A",1,2018,11,16
"11",9.2397,"9.2397.A.1","04/02/03 00:00:00","A","1",2003,4,"9.2397.A.1","2018-10-18","A",1,2018,10,16
"12",9.24,"9.2400.A.1","03/26/03 00:00:00","A","1",2003,3,"9.2400.A.1","2018-10-24","A",1,2018,10,16
"13",9.2421,"9.2421.A.1","04/24/03 00:00:00","A","1",2003,4,"9.2421.A.1","2018-07-16","A",1,2018,7,15
"14",9.2422,"9.2422.A.1","04/24/03 00:00:00","A","1",2003,4,"9.2422.A.1","2018-07-10","A",1,2018,7,15
