"","x"
"1","1.1000.A.3C"
"2","1.1220.A.3C"
"3","1.189.A.1"
"4","1.212.A.1"
"5","1.218.A.1"
"6","1.283.A.1"
"7","1.285.A.1"
"8","1.598.A.1"
"9","1.632.A.1"
"10","1.747.A.1"
"11","12.116.A.1"
"12","12.118.A.3E"
"13","12.141.A.1"
"14","12.154.A.1"
"15","12.174.A.1"
"16","12.183.A.1"
"17","12.190.A.4"
"18","12.191.A.1"
"19","12.318.A.3C"
"20","12.318.A.3E"
"21","12.342.A.1"
"22","12.351.A.1"
"23","12.355.A.4"
"24","12.438.A.1"
"25","12.599.A.1"
"26","12.601.A.3C"
"27","12.601.A.3E"
"28","12.611.A.3C"
"29","12.611.A.3E"
"30","12.73.A.1"
"31","12.825.A.1"
"32","12.875.A.3C"
"33","12.877.A.1"
"34","12.88.A.1"
"35","12.888.A.1"
"36","12.892.A.1"
"37","12.914.A.4"
"38","12.915.A.1"
"39","16.100.A.1"
"40","16.106.A.1"
"41","16.1268.A.3E"
"42","16.1473.A.1"
"43","16.150.A.1"
"44","16.1508.A.3E"
"45","16.160.A.1"
"46","16.163.A.1"
"47","16.171.A.1"
"48","16.325.A.1"
"49","16.364.A.1"
"50","16.365.A.1"
"51","16.371.A.1"
"52","16.372.A.1"
"53","16.380.A.1"
"54","16.387.A.1"
"55","16.395.A.1"
"56","16.404.A.1"
"57","16.407.A.1"
"58","16.413.A.1"
"59","16.415.A.1"
"60","16.424.A.1"
"61","16.432.A.1"
"62","16.435.A.1"
"63","16.436.A.1"
"64","16.439.A.1"
"65","16.440.A.1"
"66","16.441.A.1"
"67","16.459.A.1"
"68","16.467.A.3C"
"69","16.467.A.3E"
"70","16.474.A.1"
"71","16.477.A.3C"
"72","16.477.A.3E"
"73","16.479.A.1"
"74","16.675.A.1"
"75","16.678.A.1"
"76","16.690.A.1"
"77","16.694.A.1"
"78","16.697.A.3E"
"79","16.702.A.1"
"80","16.710.A.1"
"81","16.711.A.1"
"82","16.717.A.1"
"83","16.718.A.3E"
"84","16.750.A.1"
"85","16.760.A.1"
"86","16.771.A.1"
"87","16.777.A.1"
"88","16.778.A.3C"
"89","16.782.A.1"
"90","16.784.A.1"
"91","16.789.A.1"
"92","16.793.A.1"
"93","16.799.A.1"
"94","16.801.A.1"
"95","16.806.A.1"
"96","16.817.A.1"
"97","16.818.A.1"
"98","16.825.A.3E"
"99","16.834.A.1"
"100","16.835.A.4"
"101","16.851.A.1"
"102","16.856.A.1"
"103","16.860.A.1"
"104","16.861.A.1"
"105","16.862.A.1"
"106","16.868.A.1"
"107","16.874.A.1"
"108","16.878.A.1"
"109","16.882.A.1"
"110","16.887.A.1"
"111","17.1004.A.1"
"112","17.162.A.1"
"113","17.1882.A.1"
"114","17.841.A.1"
"115","18.1018.A.1"
"116","18.1035.A.1"
"117","18.1106.A.1"
"118","18.1113.A.3C"
"119","18.1113.A.3E"
"120","18.1115.A.1"
"121","18.1123.A.1"
"122","18.1131.A.1"
"123","18.1133.A.1"
"124","18.1134.A.1"
"125","18.1137.A.1"
"126","18.1138.A.1"
"127","18.1139.A.1"
"128","18.1140.A.1"
"129","18.1237.A.3C"
"130","18.1260.A.1"
"131","18.1280.A.1"
"132","18.1328.A.3C"
"133","18.1358.A.1"
"134","18.1362.A.1"
"135","18.1696.A.3C"
"136","18.2229.N.N"
"137","18.2350.N.N"
"138","18.2405.N.N"
"139","18.2433.N.N"
"140","18.2435.N.N"
"141","18.2436.N.N"
"142","18.755.A.1"
"143","18.878.A.1"
"144","18.971.A.1"
"145","19.1271.A.1"
"146","19.1406.A.3E"
"147","19.1419.A.3C"
"148","19.1434.A.4"
"149","19.1456.A.1"
"150","19.1457.A.3E"
"151","19.1458.A.1"
"152","19.1485.A.4"
"153","19.1535.A.1"
"154","19.1619.A.1"
"155","19.1648.A.1"
"156","19.1935.A.1"
"157","19.1938.A.1"
"158","19.1942.A.4"
"159","19.1943.A.1"
"160","19.1947.A.1"
"161","19.1954.A.1"
"162","19.1955.A.3C"
"163","19.1957.A.1"
"164","19.1977.A.3E"
"165","19.1982.A.1"
"166","19.1986.A.1"
"167","19.2115.A.1"
"168","19.2238.A.4"
"169","19.2240.A.1"
"170","19.2246.A.3C"
"171","22.1001.A.1"
"172","22.1023.A.4"
"173","22.1027.A.1"
"174","22.1041.A.1"
"175","22.1057.A.3E"
"176","22.1060.A.1"
"177","22.1065.A.3E"
"178","22.1131.A.1"
"179","22.1140.A.1"
"180","22.1151.A.1"
"181","22.1259.A.3E"
"182","22.1401.A.1"
"183","22.1471.A.1"
"184","22.1484.A.1"
"185","22.1521.A.1"
"186","22.1537.A.1"
"187","22.185.A.1"
"188","22.1850.A.1"
"189","22.1881.A.1"
"190","22.1929.A.1"
"191","22.2020.A.1"
"192","22.2073.A.1"
"193","22.2085.A.1"
"194","22.2289.A.1"
"195","22.322.A.3E"
"196","22.331.A.1"
"197","22.355.A.1"
"198","22.399.A.1"
"199","22.400.A.1"
"200","22.413.A.4"
"201","22.453.A.3C"
"202","22.463.A.1"
"203","22.646.A.3E"
"204","22.659.A.1"
"205","22.686.A.3C"
"206","22.804.A.1"
"207","22.882.A.1"
"208","22.884.A.1"
"209","22.889.A.1"
"210","22.895.A.4"
"211","22.905.A.1"
"212","22.909.A.1"
"213","22.926.A.4"
"214","22.927.A.1"
"215","22.928.A.4"
"216","22.930.A.1"
"217","22.931.A.1"
"218","22.932.A.1"
"219","22.954.A.3C"
"220","22.960.A.1"
"221","22.965.A.3E"
"222","22.966.A.1"
"223","22.970.A.4"
"224","22.978.A.3C"
"225","22.985.A.3C"
"226","22.985.A.3E"
"227","22.993.A.1"
"228","22.994.A.4"
"229","22.996.A.1"
"230","22.997.A.4"
"231","22.999.A.1"
"232","24.1159.A.1"
"233","24.1174.A.4"
"234","24.1263.A.3C"
"235","24.1274.A.1"
"236","24.1275.A.1"
"237","24.1278.A.1"
"238","24.1279.A.1"
"239","24.1280.A.4"
"240","24.1288.A.1"
"241","24.1289.A.1"
"242","24.1290.A.1"
"243","24.1291.A.1"
"244","24.1293.A.1"
"245","24.1305.A.1"
"246","24.1348.A.1"
"247","24.1349.A.3E"
"248","24.1399.A.1"
"249","24.1469.A.1"
"250","24.1518.A.4"
"251","24.691.A.1"
"252","24.701.A.1"
"253","24.718.A.1"
"254","24.727.A.3C"
"255","24.732.A.1"
"256","24.760.A.1"
"257","24.767.A.1"
"258","24.780.A.1"
"259","24.795.A.3E"
"260","24.852.A.4"
"261","24.919.A.1"
"262","24.928.A.1"
"263","24.931.A.1"
"264","24.935.A.4"
"265","24.936.A.4"
"266","24.942.A.1"
"267","24.943.A.4"
"268","24.960.A.1"
"269","24.970.A.1"
"270","24.971.A.1"
"271","24.973.A.1"
"272","24.974.A.3E"
"273","24.988.A.3E"
"274","24.989.A.4"
"275","25.1122.A.1"
"276","25.1123.A.1"
"277","25.1126.A.1"
"278","25.1132.A.1"
"279","25.1141.A.1"
"280","25.1192.A.1"
"281","25.1205.A.4"
"282","25.1217.A.1"
"283","25.1224.A.1"
"284","25.1231.A.3C"
"285","25.1253.A.1"
"286","25.1256.A.1"
"287","25.1262.A.1"
"288","25.1265.A.1"
"289","25.1279.A.1"
"290","25.1309.A.1"
"291","25.1313.A.1"
"292","25.1326.A.4"
"293","25.1337.A.1"
"294","25.1352.A.4"
"295","25.1384.A.1"
"296","25.1386.A.1"
"297","25.1398.A.4"
"298","25.1437.A.1"
"299","25.1446.A.1"
"300","25.1450.A.1"
"301","25.1451.A.1"
"302","25.1464.A.1"
"303","25.1474.A.1"
"304","25.1511.A.1"
"305","25.1512.A.1"
"306","25.1513.A.1"
"307","25.1514.A.4"
"308","25.1532.A.1"
"309","25.1533.A.1"
"310","25.1554.A.1"
"311","25.1591.A.1"
"312","25.1629.A.1"
"313","25.1630.A.1"
"314","25.1665.A.1"
"315","25.1685.A.1"
"316","25.1694.A.4"
"317","25.1695.A.1"
"318","25.1704.A.1"
"319","25.1705.A.4"
"320","25.1860.A.1"
"321","25.1862.A.1"
"322","25.1872.A.1"
"323","25.1876.A.1"
"324","25.2005.A.1"
"325","25.2006.A.1"
"326","25.2009.A.4"
"327","25.2013.A.1"
"328","25.2016.A.1"
"329","25.2032.A.1"
"330","25.2033.A.1"
"331","25.2035.A.1"
"332","25.2036.A.1"
"333","25.2046.A.1"
"334","25.2047.A.1"
"335","25.2063.A.1"
"336","25.2064.A.1"
"337","25.2065.A.4"
"338","25.2075.A.1"
"339","25.2080.A.1"
"340","25.2081.A.1"
"341","25.2094.A.1"
"342","25.2097.A.1"
"343","25.2103.A.1"
"344","25.2112.A.1"
"345","25.2115.A.1"
"346","25.2116.A.1"
"347","25.2117.A.1"
"348","25.2121.A.1"
"349","25.2128.A.1"
"350","25.2132.A.1"
