"","x"
"1","11.217.A.1"
"2","11.55.A.1"
"3","12.1137.A.4"
"4","12.1141.A.1"
"5","12.1153.A.1"
"6","12.1638.A.1"
"7","12.1852.A.1"
"8","12.3335.N.N"
"9","12.3369.N.N"
"10","12.934.A.1"
"11","12.946.A.1"
"12","12.957.A.1"
"13","16.18.A.1"
"14","16.20.A.1"
"15","16.2341.A.1"
"16","16.2421.A.1"
"17","16.2553.A.1"
"18","16.2592.A.1"
"19","16.2700.A.1"
"20","16.2715.A.3C"
"21","16.2842.A.4"
"22","16.2856.A.1"
"23","16.2962.A.1"
"24","17.1151.A.1"
"25","17.2675.A.1"
"26","17.2890.A.1"
"27","17.2894.A.1"
"28","18.1184.A.3E"
"29","18.1188.A.1"
"30","18.135.A.1"
"31","18.1431.A.1"
"32","18.1434.A.1"
"33","18.1444.A.1"
"34","18.1459.A.1"
"35","18.1528.A.1"
"36","18.1617.A.1"
"37","18.1744.A.1"
"38","18.2487.N.N"
"39","18.2516.N.N"
"40","18.708.A.1"
"41","18.943.A.4"
"42","18.985.A.3C"
"43","2.1025.A.1"
"44","2.1172.A.1"
"45","2.1176.A.4"
"46","2.1251.A.1"
"47","2.1266.A.1"
"48","2.1267.A.1"
"49","2.1271.A.1"
"50","2.1309.A.1"
"51","2.1330.A.1"
"52","2.1401.A.4"
"53","2.1595.A.4"
"54","2.1732.A.1"
"55","2.250.A.1"
"56","2.387.A.1"
"57","2.553.A.1"
"58","2.605.A.1"
"59","2.805.A.1"
"60","2.827.A.1"
"61","2.892.A.4"
"62","2.908.A.1"
"63","2.912.A.1"
"64","2.921.A.1"
"65","2.955.A.1"
"66","2.975.A.1"
"67","2.986.A.1"
"68","2.994.A.1"
"69","23.1031.A.1"
"70","23.1073.A.1"
"71","23.1119.A.1"
"72","23.1257.A.4"
"73","23.1301.A.1"
"74","23.1312.A.1"
"75","23.1318.A.1"
"76","23.1323.A.3C"
"77","23.1323.A.3E"
"78","23.1395.A.3C"
"79","23.1421.A.1"
"80","23.1435.A.3E"
"81","23.1445.A.1"
"82","23.1481.A.4"
"83","23.1522.A.1"
"84","23.1557.A.4"
"85","23.1559.A.1"
"86","23.393.A.1"
"87","23.422.A.1"
"88","23.425.A.1"
"89","23.429.A.1"
"90","23.815.A.4"
"91","23.817.A.3E"
"92","23.828.A.1"
"93","23.830.A.1"
"94","23.879.A.3E"
"95","23.893.A.1"
"96","23.896.A.1"
"97","23.904.A.1"
"98","23.905.A.1"
"99","23.933.A.1"
"100","23.950.A.4"
"101","23.951.A.1"
"102","23.985.A.3C"
"103","29.1203.A.4"
"104","29.1211.A.1"
"105","29.254.A.1"
"106","29.363.A.1"
"107","29.4002.N.N"
"108","3.496.A.1"
"109","30.1603.A.1"
"110","30.1639.A.1"
"111","30.1640.A.1"
"112","30.1657.A.1"
"113","30.236.A.1"
"114","30.277.A.1"
"115","30.333.A.1"
"116","30.335.A.1"
"117","30.815.A.1"
"118","30.816.A.1"
"119","30.828.A.1"
"120","30.834.A.2C"
"121","30.842.A.1"
"122","30.867.A.1"
"123","30.885.A.1"
"124","30.886.A.1"
"125","30.903.A.1"
"126","30.910.A.1"
"127","30.960.A.1"
"128","4.1163.A.3E"
"129","4.119.A.1"
"130","4.1215.A.1"
"131","4.1223.A.1"
"132","4.890.A.1"
"133","4.949.A.3C"
"134","43.668.A.1"
"135","43.81.A.1"
"136","44.1960.A.3C"
"137","46.1260.A.1"
"138","46.147.A.1"
"139","46.148.A.1"
"140","46.1559.A.1"
"141","46.1560.A.1"
"142","46.1576.A.1"
"143","46.1593.A.1"
"144","46.1600.A.1"
"145","46.1843.A.1"
"146","46.1868.A.1"
"147","46.1869.A.1"
"148","46.1956.A.1"
"149","46.211.A.3C"
"150","46.3050.N.N"
"151","46.3056.N.N"
"152","46.320.A.1"
"153","46.3449.N.N"
"154","46.3478.N.N"
"155","46.629.A.1"
"156","46.876.A.1"
"157","50.1074.A.1"
"158","50.1083.A.1"
"159","50.1102.A.1"
"160","50.784.A.3E"
"161","50.898.A.1"
"162","50.899.A.1"
"163","8.2168.A.1"
"164","9.2537.A.3C"
