"","Provincia","Estadillo","ESTRATO","FECHGR","CODGR","NUMPMA","NUMTIP","NUMPME","NUMMAT","VERIFICA","FECHAVE","CODVE","HOJA","VUELO","FOTO","COORDEX","COORDEY","ANO","MUNICI","PROPIED1","PROPIED2","AREAPRO1","AREAPRO2","ALTITUD1","ALTITUD2","PENDIEN1","PENDIEN2","USO1","USO2","FRACCION1","FRACCION2","ESPECIA11","ESPECIA12","OCUPA11","OCUPA12","ESTADA11","ESTADA12","ESPECIA21","ESPECIA22","OCUPA21","OCUPA22","ESTADA21","ESTADA22","ESPECIA31","ESPECIA32","OCUPA31","OCUPA32","ESTADA31","ESTADA32","ESPECIB1","MASAB1","ORIGEB1","EDADB1","ESPECIB2","MASAB2","ORIGEB2","EDADB2","ESPECIB3","MASAB3","ORIGEB3","EDADB3","ESPECIE1","ESPECIE2","ESPECIE3","ESPECIE4","ESPECIE5","ESPECIE6","ESPECIE7","CLASUELO","ESPESOR","CLACOBER","CUBIERTA","MEROSIVA1","MEROSIVA2","MEROSIVA3","MEROSIVA4","DISESPAC","COMPESPE","PREPSUEL1","PREPSUEL2","TRAVUELO1","TRAVUELO2","CORTAS","DANOS1","DANOS2","DANOS3","ORIENTA1","ORIENTA2","MAXPEND1","MAXPEND2","PlotID0","CoorX","CoorY","Origen"
"2232",2,1175,NA,930601,2,22,4,4,6,"S",930611,2,"0865","1","0865K12","539","4256","93","084","2","2","0","0","10","10","4","5","9","1","75","60","26","26","0","5","4","4",NA,"23",NA,"2",NA,"4",NA,"24",NA,"1",NA,"4","26","3","1",NA,"23","3","1",NA,"24","3","1",NA,"26","23","24","37","45","93","44","3","03","W","20",NA,NA,NA,"1","1","3",NA,"0",NA,"0","0",NA,"P413","P702","340",NA,"8.00",NA,"2.1175",539000,4256000,2
"2271",2,1224,NA,930602,2,17,4,5,6,"S",930614,2,"0866","1","0866J02","544","4258","93","084","2","2","0","0","10","10","4","5","9","1","75","50","26","26","0","6","4","4",NA,"23",NA,"2",NA,"4",NA,"24",NA,"1",NA,"4","26","3","1",NA,"23","3","1",NA,"24","3","1",NA,"26","23","24","37","45","93",NA,"1","03","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","4",NA,NA,"01","222",NA,"9.00",NA,"2.1224",544000,4258000,2
"5574",5,96,NA,920521,3,20,6,1,1,"S",920527,3,"0481","1","0481J09","359","4540","91","174","2","2","0","0","08","08","1","1","9","1","80","65","26","26","0","8","4","4",NA,"23",NA,"2",NA,"4",NA,NA,NA,NA,NA,NA,"26","1","2","41","23","3","1",NA,NA,NA,NA,NA,"26","23",NA,NA,NA,NA,NA,"1","01","W","20",NA,NA,NA,"1","1","1",NA,"0",NA,"0","4",NA,"M204","P305","220",NA,"0.25",NA,"5.96",359000,4540000,5
"5592",5,119,NA,920522,1,13,4,0,2,"S",920527,3,"0481","1","0481K03","348","4535","91","231","2","2","0","0","08","08","1","1","9","1","70","60","26","26","7","7","4","4","23","23","3","3","3","4",NA,NA,NA,NA,NA,NA,"26","3","1",NA,"23","3","1",NA,NA,NA,NA,NA,"26","23",NA,NA,NA,NA,NA,"1","01","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","4",NA,NA,"P305","380",NA,"0.25",NA,"5.119",348000,4535000,5
"5594",5,121,NA,920522,1,14,5,0,0,"S",920527,3,"0481","1","0481K04","350","4535","91","183","2","2","0","0","08","08","1","1","9","1","80","65","26","26","7","7","4","4","23","23","3","3","3","4",NA,NA,NA,NA,NA,NA,"26","3","1",NA,"23","3","1",NA,NA,NA,NA,NA,"26","23",NA,NA,NA,NA,NA,"1","01","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","4",NA,NA,"P305","60",NA,"0.25",NA,"5.121",350000,4535000,5
"5637",5,172,NA,920522,3,12,6,2,4,"S",920528,1,"0481","1","0481M08","358","4524","91","092","6","6","0","0","08","08","3","2","6","1","20","40","26","23","0","5","4","4",NA,"26",NA,"4",NA,"4",NA,NA,NA,NA,NA,NA,"23","3","1",NA,"26","3","1",NA,NA,NA,NA,NA,"23","26","15","45",NA,NA,NA,"1","01","W","20",NA,NA,NA,"1","1","3",NA,"0",NA,"0","0",NA,"P204","M305","080",NA,"2.25",NA,"5.172",358000,4524000,5
"5930",5,553,NA,920603,3,24,6,1,2,"S",920608,3,"0532","3","0532488","385","4488","91","201","2","2","0","0","08","08","3","2","9","1","80","70","23","26","5","5","4","4","26","23","5","4","4","4",NA,"37",NA,"1",NA,"1","26","3","1",NA,"23","3","1",NA,"37","3","6",NA,"26","23","37",NA,NA,NA,NA,"1","02","W","17",NA,NA,NA,"1","1","2",NA,"0",NA,"0","9",NA,"M411","P305","153",NA,"2.00",NA,"5.553",385000,4488000,5
"5936",5,561,NA,920604,1,23,6,2,2,"S",920608,3,"0532","3","0532488","385","4487","91","102","2","2","0","0","08","08","3","3","9","1","65","70","23","26","0","6","4","4",NA,"23",NA,"4",NA,"4",NA,NA,NA,NA,NA,NA,"26","3","1",NA,"23","3","1",NA,NA,NA,NA,NA,"26","23",NA,NA,NA,NA,NA,"1","03","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","9","M305","M104","G111","259",NA,"3.50",NA,"5.561",385000,4487000,5
"5941",5,568,NA,920604,1,18,6,3,2,"S",920608,3,"0532","3","0532490","380","4486","91","102","2","2","0","0","11","11","2","3","9","1","45","45","23","26","0","0","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","3","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","23","37","45",NA,NA,NA,"2","02","W","18",NA,NA,NA,"1","1","1",NA,"0",NA,"0","0",NA,"P204","P305","260",NA,"3.25",NA,"5.568",380000,4486000,5
"5945",5,572,NA,920604,1,11,5,1,2,"S",920608,3,"0532","3","0532487","386","4486","91","102","2","2","0","0","09","09","3","3","9","1","45","70","23","23","0","5","4","4",NA,"26",NA,"5",NA,"3",NA,NA,NA,NA,NA,NA,"23","3","1",NA,"26","1","2","20",NA,NA,NA,NA,"23","26",NA,NA,NA,NA,NA,"1","02","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","9",NA,NA,"01","165",NA,"2.50",NA,"5.572",386000,4486000,5
