"","x"
"1",11.217
"2",11.55
"3",12.1386
"4",12.1638
"5",12.1852
"6",12.957
"7",16.1654
"8",16.2258
"9",16.2421
"10",16.2553
"11",16.27
"12",16.2715
"13",17.1151
"14",17.1181
"15",17.2276
"16",18.1188
"17",18.1431
"18",18.1434
"19",18.1444
"20",18.155
"21",18.505
"22",18.699
"23",18.708
"24",18.985
"25",2.1104
"26",2.1172
"27",2.1176
"28",2.1244
"29",2.1266
"30",2.1267
"31",2.1275
"32",2.1319
"33",2.133
"34",2.1331
"35",2.1346
"36",2.1347
"37",2.1358
"38",2.1374
"39",2.1578
"40",2.164
"41",2.1732
"42",2.25
"43",2.805
"44",2.855
"45",2.892
"46",2.921
"47",2.944
"48",2.955
"49",2.975
"50",2.986
"51",23.1012
"52",23.1013
"53",23.1031
"54",23.1073
"55",23.1117
"56",23.1285
"57",23.1306
"58",23.1308
"59",23.1312
"60",23.1315
"61",23.1318
"62",23.1393
"63",23.1395
"64",23.1421
"65",23.1445
"66",23.1489
"67",23.1499
"68",23.15
"69",23.151
"70",23.1512
"71",23.1522
"72",23.1549
"73",23.423
"74",23.425
"75",23.429
"76",23.465
"77",23.471
"78",23.828
"79",23.83
"80",23.841
"81",23.893
"82",23.896
"83",23.904
"84",23.922
"85",23.929
"86",23.933
"87",23.95
"88",23.951
"89",23.984
"90",29.1211
"91",29.1213
"92",29.1225
"93",29.363
"94",3.496
"95",30.1639
"96",30.1657
"97",30.309
"98",30.815
"99",30.828
"100",30.867
"101",30.886
"102",30.889
"103",30.903
"104",30.907
"105",30.91
"106",4.119
"107",4.1215
"108",4.1223
"109",4.198
"110",4.212
"111",44.648
"112",46.147
"113",46.1559
"114",46.156
"115",46.1576
"116",46.1593
"117",46.16
"118",46.1843
"119",46.1851
"120",46.1868
"121",46.1869
"122",46.1947
"123",46.211
"124",46.212
"125",46.32
"126",46.876
"127",50.1338
"128",50.883
"129",50.898
"130",50.899
"131",8.2168
"132",8.3151
"133",9.2537
