"","Provincia","Estadillo","nArbol","Tipo","OrdenIFActual","Rumbo","Distancia","Especie","Diametro1","Diametro2","Calidad","Forma","Altura","ParEsp","PlotID0"
"24245",2,25,1,"1","1","18","9.4","24","211","213","2","2","9.0","1","2.25"
"24246",2,25,2,"4","2","60","4.3","24","139","134","2","3","7.0",NA,"2.25"
"24247",2,25,3,NA,"3","76","2.5","24","163","167","2","2","8.0",NA,"2.25"
"24248",2,25,4,NA,"4","95","7.6","24","224","229","2","2","8.5",NA,"2.25"
"24249",2,25,5,"2","5","131","9.6","24","273","255","2","2","10.0",NA,"2.25"
"24250",2,25,6,NA,"6","152","5.8","24","166","155","3","3","7.5",NA,"2.25"
"24251",2,25,7,NA,"7","153","6.6","24","209","212","2","2","9.5","1","2.25"
"24252",2,25,8,NA,"8","197","14.0","24","288","274","2","2","9.0",NA,"2.25"
"24253",2,25,9,"3","9","202","7.8","24","157","153","2","2","7.5",NA,"2.25"
"24254",2,25,10,NA,"10","251","2.8","24","84","82","2","3","5.5",NA,"2.25"
"24255",2,25,11,NA,"11","292","5.5","24","168","182","2","5","6.5",NA,"2.25"
"24779",2,164,1,"1","1","2","6.8","24","152","165","2","3","6.5","1","2.164"
"26593",2,892,1,"1","1","2","13.5","24","262","286","2","2","10.0",NA,"2.892"
"26594",2,892,2,NA,"2","10","13.3","24","246","260","2","2","10.5",NA,"2.892"
"26595",2,892,3,NA,"3","24","18.0","23","533","514","2","2","10.0","1","2.892"
"26596",2,892,4,NA,"4","51","8.4","24","179","183","2","2","9.0","1","2.892"
"26597",2,892,5,"2","5","114","13.5","26","425","410","3","2","10.5",NA,"2.892"
"26598",2,892,6,NA,"6","154","9.8","26","153","149","4","2","7.0","2","2.892"
"26599",2,892,7,NA,"7","156","9.7","26","154","156","4","2","7.0","2","2.892"
"26600",2,892,8,NA,"8","193","9.3","24","186","180","2","2","10.0","015","2.892"
"26601",2,892,9,NA,"9","197","13.4","24","442","476","2","2","12.5","1","2.892"
