"","Provincia","Estadillo","ESTRATO","FECHGR","CODGR","NUMPMA","NUMTIP","NUMPME","NUMMAT","VERIFICA","FECHAVE","CODVE","HOJA","VUELO","FOTO","COORDEX","COORDEY","ANO","MUNICI","PROPIED1","PROPIED2","AREAPRO1","AREAPRO2","ALTITUD1","ALTITUD2","PENDIEN1","PENDIEN2","USO1","USO2","FRACCION1","FRACCION2","ESPECIA11","ESPECIA12","OCUPA11","OCUPA12","ESTADA11","ESTADA12","ESPECIA21","ESPECIA22","OCUPA21","OCUPA22","ESTADA21","ESTADA22","ESPECIA31","ESPECIA32","OCUPA31","OCUPA32","ESTADA31","ESTADA32","ESPECIB1","MASAB1","ORIGEB1","EDADB1","ESPECIB2","MASAB2","ORIGEB2","EDADB2","ESPECIB3","MASAB3","ORIGEB3","EDADB3","ESPECIE1","ESPECIE2","ESPECIE3","ESPECIE4","ESPECIE5","ESPECIE6","ESPECIE7","CLASUELO","ESPESOR","CLACOBER","CUBIERTA","MEROSIVA1","MEROSIVA2","MEROSIVA3","MEROSIVA4","DISESPAC","COMPESPE","PREPSUEL1","PREPSUEL2","TRAVUELO1","TRAVUELO2","CORTAS","DANOS1","DANOS2","DANOS3","ORIENTA1","ORIENTA2","MAXPEND1","MAXPEND2","PlotID0","CoorX","CoorY","Origen"
"149",1,152,0,960610,0,26,4,2,0,NA,960610,0,"0086","3","0086233","489","4766","96","010","0","2","0","0","06","06","0","5","1","1","08","70","43","21","0","5","3","4","00","43","0","4","0","3","00",NA,"0",NA,"0",NA,"21","1","2","36","43","3","6",NA,NA,NA,NA,NA,"21","43","44","15","65",NA,NA,"3","02","W","20","1",NA,NA,NA,"1","2","0",NA,"0",NA,"4","P902","P702","P112","395",NA,"08,00",NA,"1.152",489000,4766000,1
"757",1,762,0,960604,0,51,4,5,2,NA,960604,0,"0113","1","0113408","549","4754","96","053","0","2","0","0","06","06","0","3","1","1","08","70","21","21","5","6","4","3","25","43","5","3","4","3","00",NA,"0",NA,"0",NA,"21","1","2","52","43","3","6",NA,NA,NA,NA,NA,"21","43","15","16","48","65","25","2","01","W","20","1",NA,NA,NA,"1","2","0",NA,"0",NA,"0",NA,NA,"01","228",NA,"04,00",NA,"1.762",549000,4754000,1
"6048",5,701,NA,920609,3,14,4,1,1,"S",920610,3,"0555","1","0555L09","331","4473","91","101","2","2","0","0","13","13","3","3","9","1","70","80","21","21","0","7","4","4",NA,"43",NA,"3",NA,"3",NA,NA,NA,NA,NA,NA,"21","3","1",NA,"43","3","6",NA,NA,NA,NA,NA,"21","43",NA,NA,NA,NA,NA,"2","01","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","4",NA,NA,"G208","115",NA,"2.75",NA,"5.701",331000,4473000,5
"10515",8,7,0,910605,NA,NA,NA,NA,NA,"3",910626,NA,"0254","5","0254204","399","4681","90","093","6",NA,"0",NA,"14","14","5","5","9","1","80","85","21","21","7","7","3","4","71","43","3","2","3","4",NA,NA,NA,NA,NA,NA,"21","3","1",NA,"43","3","6",NA,NA,NA,NA,NA,"21","43","91","76","37","78",NA,"1","05","G","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"01","282",NA,"12.00",NA,"8.7",399000,4681000,8
"10898",8,433,0,910619,NA,NA,NA,NA,NA,"5",911011,NA,"0293","4","0293274","402","4661","90","022","6","6","0","0","09","08","5","5","9","1","70","80","21","21","0","6","4","3",NA,"43",NA,"3",NA,"3",NA,NA,NA,NA,NA,NA,"21","3","1",NA,"43","3","6",NA,NA,NA,NA,NA,"21","43","45","37","91","15","09","3","05","G","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","4",NA,NA,"P906","42",NA,"7.50",NA,"8.433",402000,4661000,8
"11170",8,745,0,910628,NA,NA,NA,NA,NA,"6",910805,NA,"0294","1","0294L04","430","4658","90","201","6","6","0","0","09","09","5","4","9","1","80","70","21","21","7","7","4","4","42","43","3","3","4","3",NA,NA,NA,NA,NA,NA,"21","3","1",NA,"43","3","6",NA,NA,NA,NA,NA,"21","43","76","37","15","95",NA,"3","04","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"G906","272","100","4.25","13.00","8.745",430000,4658000,8
"11171",8,746,0,910628,NA,NA,NA,NA,NA,"6",910805,NA,"0294","1","0294L04","431","4658","90","201","6","6","0","0","08","08","4","4","9","1","90","60","21","21","7","7","4","4","42","43","3","3","4","3",NA,NA,NA,NA,NA,NA,"21","3","1",NA,"43","3","6",NA,NA,NA,NA,NA,"21","43","91","37","15","45","09","2","02","W","19",NA,NA,NA,"1","1","2",NA,"0",NA,"0","4",NA,NA,"P902","205","50","6.50","10.00","8.746",431000,4658000,8
"11177",8,752,0,910628,NA,NA,NA,NA,NA,"6",910805,NA,"0294","1","0294L10","437","4658","90","150","6","6","0","0","05","05","5","5","9","1","90","70","21","21","7","7","4","4","42","43","3","2","3","3",NA,"45",NA,"1",NA,"3","21","3","1",NA,"43","3","6",NA,"45","3","6",NA,"21","43","45","91","37","55","15","2","07","G","20",NA,NA,NA,"1","1","3",NA,"0",NA,"0","0",NA,"P204","G902","85",NA,"13.00",NA,"8.752",437000,4658000,8
"14064",9,76,NA,920128,1,18,4,2,2,"S",920206,1,"0084","1","0084L10","449","4769","91","215","3","3","0","0","09","09","3","4","9","1","90","60","21","21","0","8","2","3",NA,"43",NA,"2",NA,"2",NA,NA,NA,NA,NA,NA,"21","1","2","20","43","3","6",NA,NA,NA,NA,NA,"21","43",NA,NA,NA,NA,NA,"2","03","W","20",NA,NA,NA,"1","1","2",NA,"1",NA,"0","0",NA,NA,"01","183",NA,"4.50",NA,"9.76",449000,4769000,9
"14105",9,121,NA,920128,1,7,4,3,3,"S",920205,3,"0084","1","0084M08","446","4762","91","215","6","6","0","0","08","08","4","4","9","1","60","45","45","45","0","5","3","3","44","37","3","3","3","3",NA,"44",NA,"2",NA,"3","45","3","6",NA,"37","3","6",NA,"44","3","6",NA,"45","37","44",NA,NA,NA,NA,"2","03","W","18",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"01","206",NA,"6.25",NA,"9.121",446000,4762000,9
