"","Provincia","Estadillo","Cla","Subclase","Tipo","Vuelo1","Pasada1","Foto1","Vuelo2","Pasada2","Foto2","Ano","Nivel1","Nivel2","Nivel3","FccTot","FccArb","DisEsp","ComEsp","Rocosidad","Textura","MatOrg","PhSuelo","TipSuelo1","TipSuelo2","TipSuelo3","MErosiva","ModComb","EspCMue","PresReg","EfecReg","CortaReg","MejVue1","MejVue2","MejSue1","MejSue2","Orienta1","Orienta2","MaxPend1","MaxPend2","Localiza","Acceso","Levanta","Obser","FechaIni","HoraIni","FechaFin","HoraFin","Origen","PlotID0","PlotID"
"8220",9,86,"A","1",0,"1985","L","0009","1997","","4-1",2018,1,1,2,100,85,1,2,2,1,2,4,1,2,1,1,8,6,NA,NA,1,0,0,0,0,387,0,6.5,0,2,2,2,"[ClaEsp. Resto de especies=10%]
[Pies Mayores]A 182g hay un 21 que no entra por distancia:15.1 mtrs al lateral.
pie 22 distancia corregida.
pie 23 altura comprobada.",2018-05-07,2000-01-01,2018-05-07,2000-01-01,9,"9.86","9.86.A.1"
"8520",9,503,"A","1",0,"1985","L","0006","","","",2018,1,1,1,100,90,1,2,2,2,2,4,1,2,1,1,5,3,NA,NA,1,0,0,0,0,260,80,7,4.5,2,2,2,"PARCELA LOCALIZADA CON FOTOS AEREAS Y PIES MAYORES IFN3.
[ClaEsp. Resto de especies=10%]
[Pies Mayores]
DIAMETROS COMPROBADOS PIE 3
ALTURAS COMPROBADAS PIES (3, 16, 19)
A 84G Y 12M HAY UN 21 QUE NO ENTRA POR DIAMETROS (212;225)
A 252G Y 13.1M HAY UN 21 QUE NO ENTRA POR DIAMETROS (209;223)
A 271G Y 11.8M HAY UN 21 QUE NO ENTRA POR DIAMETROS (219;220)
CODIGO 311: PROCESIONARIA ",2018-06-18,2000-01-01,2018-06-18,2000-01-01,9,"9.503","9.503.A.1"
"8528",9,514,"A","1",0,"1985","L","0008","","","",2018,1,1,1,95,75,1,1,1,3,3,5,1,1,1,1,6,3,NA,NA,1,1,0,0,0,265,70,8.5,7,2,3,3,"PARCELA LOCALIZADA CON FOTOS AEREAS Y PIES MAYORES IFN3.
[ClaEsp. Resto de especies=10%]
[Pies Mayores]
A 0G Y 10.8M HAY UN 26 QUE NO ENTRA POR DIAMETROS (221;206)
A 0G Y 18.9M HAY UN 26 QUE NO ENTRA POR DIAMETROS (413;421)
A 106G Y 23.9M HAY UN 26 QUE NO ENTRA POR DIAMETROS (413;427)
DIAMETROS COMPROBADOS PIES (12, 14, 17, 18, 20, 28, 29)
PAE COMPROBADOS PIES (11, 20)
FORMAS COMPROBADAS PIES (16, 20)
ALTURA COMPROBADA PIE (20)
EL METODO DE RESINACION Y LOS ANOS DEL PIE 12 ESTAN COMPROBADOS AUNQUE ESTA DIFICIL DE VER PORQUE LA CORTEZA ESTA CUBRIENDO LA HERIDA CASI EN SU TOTALIDAD.
EL PIE 9 APENAS SE IDENTIFICA LA RESINACION ABANDONADA Y ES DIFICIL IDENTIFICAR CUANTAS CARAS RESINADAS TENIA.",2018-06-22,2000-01-01,2018-06-22,2000-01-01,9,"9.514","9.514.A.1"
"8532",9,520,"A","1",0,"1985","M","0007","","","",2018,1,1,1,100,75,1,2,2,2,1,4,1,2,1,1,7,10,NA,NA,0,0,0,0,0,375,0,10,0,2,3,3,"PARCELA LOCALIZADA CON FTOS AEREAS, CROQUIS Y PIES MAYORES IFN3.
[ClaEsp. Resto de especies=10%]
AUNQUE ENTRE UN FAGINIA PREDOMINA EL ESTADO MONTA BRAVO.
[Pies Mayores]
PAE COMPROBADO PIE (6)
DIAMETROS COMPROBADOS PIE (14)
ALTURAS COMPROBADAS PIES (12, 9)
A 57G HAY UN 26 QUE NO ENTRA POR DISTANCIA.",2018-06-19,2000-01-01,2018-06-19,2000-01-01,9,"9.520","9.520.A.1"
"8725",9,860,"A","1",0,"1985","L","0007","1997","","3-2",2018,1,1,1,100,75,1,1,1,1,2,4,1,2,1,1,8,7,NA,NA,0,0,NA,0,NA,80,250,3.25,5,1,2,1,"PARCELA LOCALIZADA POR FOTOS AEREAS- ORTOFOTO-CROQUIS Y PIES IFN 3.
[Riesgos]
OTRO MODELO COMBUSTIBLE POSIBLE 02.
[Pies Mayores]
PIE 6 ESPECIE COMPROBADA.
A 175 G Y 13.3 M UN 021 NO POR DIAMETRO 210-234.
A 310 G UN 026 NO POR DISTANCIA 25.1 M.
A 345 G UN 026 A 5.1 M Y DIAMETRO 77-71.
[Matorral]A MAS DE 10 M HAY ENDRINO.
ESTA LLOVIENDO DURANTE EL LEVANTAMIENTO.",2018-07-18,2000-01-01,2018-07-18,2000-01-01,9,"9.860","9.860.A.1"
"8734",9,876,"A","1",0,"1985","M","0002","1997","","3-3",2018,1,1,1,100,90,1,2,1,2,2,5,1,1,1,1,8,3,NA,NA,1,0,NA,0,NA,50,NA,7.75,NA,2,2,1,"PARCELA LOCALIZADA CON FOTOS AEREA, ORTOFOTO, CROQUIS Y PIES IFN3.
[ClaEsp. Resto de especies=10%]
10% RESTO ESPECIES.
[Riesgos] OTRO MODELO COMBUSTIBLE POSIBLE 02.
[Pies Mayores]A 25 G Y 6.3 M UN 021 NO POR DIAMETRO 123-123.
PIE 10 FORMA COMPROBADA.
PIE 29 DISTANCIA COMPROBADA.
A MAS DE 10 M HAY LONICERA Y C. SALVIFOLIUS.
A MAS DE 25 M HAY CHOPO.",2018-09-10,2000-01-01,2018-09-10,2000-01-01,9,"9.876","9.876.A.1"
"8741",9,887,"A","1",0,"1985","M","0002","1997","","3-3",2018,1,1,1,100,80,1,1,1,1,2,5,1,1,1,1,5,3,NA,NA,1,4,NA,0,NA,365,NA,5.5,NA,2,2,1,"PARCELA LOCALIZADA CON FOTOS AEREAS, ORTOFOTO, CROQUIS Y PIES IFN3.
[Matorral]
HAY STAELINA DUBIA Y R.PEREGRINA.
[Pies Mayores]
PIE 010 DISTANCIA COMPROBADA.
A 085G Y 23.9M 026 NO POR DIAMETRO 402-425.
A 131G Y 15.6M 026 NO POR DIAMETRO 425-417.
A 135G Y 17M 026 NO POR DIAMETRO 416-412.
A 299G Y 18.9M 026 NO POR DIAMETRO 420-420",2018-09-11,2000-01-01,2018-09-11,2000-01-01,9,"9.887","9.887.A.1"
"8748",9,897,"A","1",0,"1985","J","0002","","","",2018,1,1,1,90,65,1,2,1,1,2,4,1,2,1,1,5,4,NA,NA,0,0,0,0,0,145,0,13.5,0,2,3,3,"PARCELA LOCALIZADA CON FOTOS AEREAS Y PIES MAYORES IFN3.
[ClaEsp. Resto de especies=10%]
[Pies Mayores]
ALTURAS COMPROBADAS PIES (1, 17, 20, 26, 30, 37)
DIAMETROS COMPROBADOS PIES (9, 14, 26, 28, 36)
ESPECIE COMPROBADA PIE 11
PAE COMPROBADO PIES (26, 27)
HAY VARIOS PINOS CON LA COPA TRONCHADA.",2018-07-03,2000-01-01,2018-07-03,2000-01-01,9,"9.897","9.897.A.1"
"9434",9,2146,"A","1",0,"1982","02","4779","1997","","2-3",2018,1,1,2,100,90,1,2,1,3,2,5,1,2,1,1,5,2,NA,NA,1,0,NA,0,NA,40,NA,3,NA,3,3,2,"PARCELA LOCALIZADA POS PIES MAYORES, Y FOTOGRAFIAS AEREAS.
PARCELA LEBANTADA CON LLUVIA. 
[Pies Mayores]
A 18.8  Y 225G HAY UN 26 QUE NO ENTRA POR DIAMETRO (427-409) 
",2018-11-24,2000-01-01,2018-11-24,2000-01-01,9,"9.2146","9.2146.A.1"
"9435",9,2179,"A","1",0,"1982","03","4816","1997","","3-2",2018,1,1,1,100,80,1,2,1,1,2,4,1,2,1,1,7,3,NA,NA,1,1,0,0,0,220,NA,3,NA,2,2,2,"PARCELA LOCALIZADA MEDIANTE ORTOFOTO Y PIES IFN3. HAY CORTAS. 10% RESTO SP. SE CAMBIA BARRENADO DE TERMINAL, POR ESTAR BIFURCADO POR DEBAJO. HAY STAHELINA DUBIA. NO SE PUEDE BARRENAR PIE DE DIAMETRO MEDIO EN CALIDAD, YA QUE ATASCA BARRENA.
[Pies Mayores] PIE 3, 5 IFN4 FORMA COMPROBADA. PIE 6 IFN4 SALE TUMBADO, CON LO QUE LAS MEDIDAS SON DIFICULES DE MEDIR.",2018-05-23,2000-01-01,2018-05-23,2000-01-01,9,"9.2179","9.2179.A.1"
