"","PlotID0","FECHGR","anno.gr.x","mes.gr.x","PlotID","FechaIni","Cla","Subclase","anno.gr.y","mes.gr.y","diff.year"
"1",1.613,960607,1996,6,"1.613.A.1","06/29/05 00:00:00","A","1",2005,6,9
"2",15.1091,890610,1989,6,"15.1091.A.1","10/01/97 00:00:00","A","1",1997,10,8
"3",15.1094,890610,1989,6,"15.1094.A.1","11/24/97 00:00:00","A","1",1997,11,9
"4",15.1686,890910,1989,9,"15.1686.A.1","11/06/97 00:00:00","A","1",1997,11,8
"5",15.1971,891206,1989,12,"15.1971.A.1","12/18/97 00:00:00","A","1",1997,12,8
"6",15.2046,890208,1989,2,"15.2046.A.1","09/22/97 00:00:00","A","1",1997,9,9
"7",15.2934,892208,1989,22,"15.2934.A.1","11/27/97 00:00:00","A","1",1997,11,7
"8",15.611,891307,1989,13,"15.611.A.1","11/21/97 00:00:00","A","1",1997,11,8
"9",20.1083,960301,1996,3,"20.1083.A.1","07/29/05 00:00:00","A","1",2005,7,9
"10",20.339,960314,1996,3,"20.339.A.1","07/13/05 00:00:00","A","1",2005,7,9
"11",20.532,960328,1996,3,"20.532.A.1","08/29/05 00:00:00","A","1",2005,8,10
"12",20.576,960325,1996,3,"20.576.A.1","06/30/05 00:00:00","A","1",2005,6,9
"13",20.7,960308,1996,3,"20.70.A.1","09/20/05 00:00:00","A","1",2005,9,10
"14",20.729,960321,1996,3,"20.729.A.1","05/30/05 00:00:00","A","1",2005,5,9
"15",20.951,960318,1996,3,"20.951.A.1","10/17/05 00:00:00","A","1",2005,10,10
"16",27.1083,892112,1989,21,"27.1083.A.1","05/18/98 00:00:00","A","1",1998,5,8
"17",27.1178,892112,1989,21,"27.1178.A.1","05/20/98 00:00:00","A","1",1998,5,8
"18",27.1421,900901,1990,9,"27.1421.A.1","03/10/98 00:00:00","A","1",1998,3,8
"19",27.1486,901601,1990,16,"27.1486.A.3C","04/02/98 00:00:00","A","3C",1998,4,7
"20",27.1553,901701,1990,17,"27.1553.A.1","04/28/98 00:00:00","A","1",1998,4,7
"21",27.1611,901701,1990,17,"27.1611.A.1","05/18/98 00:00:00","A","1",1998,5,7
"22",27.1619,901701,1990,17,"27.1619.A.1","05/20/98 00:00:00","A","1",1998,5,7
"23",27.1727,901801,1990,18,"27.1727.A.1","05/19/98 00:00:00","A","1",1998,5,7
"24",27.1745,901801,1990,18,"27.1745.A.1","05/15/98 00:00:00","A","1",1998,5,7
"25",27.181,892012,1989,20,"27.1810.A.1","04/02/98 00:00:00","A","1",1998,4,8
"26",27.1848,901901,1990,19,"27.1848.A.1","05/08/98 00:00:00","A","1",1998,5,7
"27",27.1904,902001,1990,20,"27.1904.A.1","04/08/98 00:00:00","A","1",1998,4,7
"28",27.1911,902001,1990,20,"27.1911.A.3C","04/13/98 00:00:00","A","3C",1998,4,7
"29",27.2016,902301,1990,23,"27.2016.A.3C","03/20/98 00:00:00","A","3C",1998,3,6
"30",27.2016,902301,1990,23,"27.2016.A.3E","03/20/98 00:00:00","A","3E",1998,3,6
"31",27.2061,903001,1990,30,"27.2061.A.1","03/09/98 00:00:00","A","1",1998,3,6
"32",27.2317,900602,1990,6,"27.2317.A.1","05/11/98 00:00:00","A","1",1998,5,8
"33",27.2338,900702,1990,7,"27.2338.A.1","05/08/98 00:00:00","A","1",1998,5,8
"34",27.2373,900902,1990,9,"27.2373.A.1","04/28/98 00:00:00","A","1",1998,4,8
"35",27.2394,900902,1990,9,"27.2394.A.2C","04/22/98 00:00:00","A","2C",1998,4,8
"36",27.2399,900902,1990,9,"27.2399.A.1","05/05/98 00:00:00","A","1",1998,5,8
"37",27.2411,901202,1990,12,"27.2411.A.4","04/20/98 00:00:00","A","4",1998,4,7
"38",27.2419,901202,1990,12,"27.2419.A.1","04/16/98 00:00:00","A","1",1998,4,7
"39",27.2543,900702,1990,7,"27.2543.A.1","04/22/98 00:00:00","A","1",1998,4,8
"40",27.2592,900702,1990,7,"27.2592.A.3C","04/02/98 00:00:00","A","3C",1998,4,8
"41",27.2713,900902,1990,9,"27.2713.A.1","05/19/98 00:00:00","A","1",1998,5,8
"42",27.2739,900902,1990,9,"27.2739.A.1","05/04/98 00:00:00","A","1",1998,5,8
"43",27.2746,900902,1990,9,"27.2746.A.1","04/30/98 00:00:00","A","1",1998,4,8
"44",27.761,901301,1990,13,"27.761.A.4","03/12/98 00:00:00","A","4",1998,3,7
"45",27.762,901301,1990,13,"27.762.A.2C","03/31/98 00:00:00","A","2C",1998,3,7
"46",31.206,900407,1990,4,"31.206.N.N","11/23/99 00:00:00","N","N",1999,11,10
"47",32.1223,891511,1989,15,"32.1223.A.1","07/17/98 00:00:00","A","1",1998,7,8
"48",36.184,890711,1989,7,"36.184.A.1","02/06/98 00:00:00","A","1",1998,2,9
"49",36.234,890711,1989,7,"36.234.A.1","01/19/98 00:00:00","A","1",1998,1,9
"50",36.615,891611,1989,16,"36.615.A.4","01/29/98 00:00:00","A","4",1998,1,8
"51",36.703,891611,1989,16,"36.703.A.1","02/02/98 00:00:00","A","1",1998,2,8
"52",39.1569,900604,1990,6,"39.1569.N.N","01/25/00 00:00:00","N","N",2000,1,10
"53",48.1003,960424,1996,4,"48.1003.A.1","11/29/05 00:00:00","A","1",2005,11,10
"54",48.216,960510,1996,5,"48.216.A.1","11/11/05 00:00:00","A","1",2005,11,10
