"","PlotID0","PlotID.x","FechaIni.x","Cla.x","Subclase.x","anno.gr.x","mes.gr.x","PlotID.y","FechaIni.y","Cla.y","Subclase.y","anno.gr.y","mes.gr.y","diff.year"
"1",5.1055,"5.1055.A.1","04/24/02 00:00:00","A","1",2002,4,"5.1055.A.1","2019-07-15","A","1",2019,7,17
"2",5.444,"5.444.A.1","04/25/02 00:00:00","A","1",2002,4,"5.444.A.1","2019-08-20","A","1",2019,8,17
"3",5.846,"5.846.A.1","03/06/02 00:00:00","A","1",2002,3,"5.846.A.1","2019-07-11","A","1",2019,7,17
"4",9.1041,"9.1041.A.1","05/20/03 00:00:00","A","1",2003,5,"9.1041.A.1","2018-05-09","A","1",2018,5,15
"5",9.1393,"9.1393.A.3E","05/09/03 00:00:00","A","3E",2003,5,"9.1393.A.1","2018-11-24","A","1",2018,11,16
"6",9.1393,"9.1393.A.3C","05/09/03 00:00:00","A","3C",2003,5,"9.1393.A.1","2018-11-24","A","1",2018,11,16
"7",9.1544,"9.1544.A.1","03/10/03 00:00:00","A","1",2003,3,"9.1544.A.1","2018-11-21","A","1",2018,11,16
"8",9.1596,"9.1596.A.1","03/31/03 00:00:00","A","1",2003,3,"9.1596.A.1","2018-11-19","A","1",2018,11,16
"9",9.1718,"9.1718.A.1","04/22/03 00:00:00","A","1",2003,4,"9.1718.A.1","2018-02-12","A","1",2018,2,15
"10",9.1719,"9.1719.A.4","03/25/03 00:00:00","A","4",2003,3,"9.1719.A.1","2018-08-24","A","1",2018,8,16
"11",9.2234,"9.2234.A.1","03/28/03 00:00:00","A","1",2003,3,"9.2234.A.1","2018-04-04","A","1",2018,4,15
"12",9.2468,"9.2468.A.1","03/05/03 00:00:00","A","1",2003,3,"9.2468.A.1","2018-06-07","A","1",2018,6,15
"13",9.2674,"9.2674.A.1","05/12/03 00:00:00","A","1",2003,5,"9.2674.A.1","2018-04-19","A","1",2018,4,15
"14",9.3219,"9.3219.N.N","06/04/03 00:00:00","N","N",2003,6,"9.3219.A.1","2018-06-11","A","1",2018,6,15
"15",9.355,"9.355.A.1","04/16/03 00:00:00","A","1",2003,4,"9.355.A.1","2018-09-06","A","1",2018,9,16
"16",9.717,"9.717.A.1","03/26/03 00:00:00","A","1",2003,3,"9.717.A.1","2018-06-15","A","1",2018,6,15
"17",9.919,"9.919.A.1","05/26/03 00:00:00","A","1",2003,5,"9.919.A.1","2018-05-04","A","1",2018,5,15
"18",9.92,"9.920.A.3E","03/03/03 00:00:00","A","3E",2003,3,"9.920.A.1","2018-04-27","A","1",2018,4,15
"19",9.959,"9.959.A.1","04/25/03 00:00:00","A","1",2003,4,"9.959.A.1","2018-04-03","A","1",2018,4,15
"20",24.1159,"24.1159.A.1","01/23/03 00:00:00","A","1",2003,1,"24.1159.A.1","2019-10-11","A","1",2019,10,17
"21",24.1274,"24.1274.A.1","01/16/03 00:00:00","A","1",2003,1,"24.1274.A.1","2019-10-15","A","1",2019,10,17
"22",24.1275,"24.1275.A.1","01/14/03 00:00:00","A","1",2003,1,"24.1275.A.1","2019-10-28","A","1",2019,10,17
"23",24.1279,"24.1279.A.1","12/12/02 00:00:00","A","1",2002,12,"24.1279.A.1","2019-10-11","A","1",2019,10,17
"24",24.1289,"24.1289.A.1","01/15/03 00:00:00","A","1",2003,1,"24.1289.A.1","2019-10-29","A","1",2019,10,17
"25",24.129,"24.1290.A.1","12/12/02 00:00:00","A","1",2002,12,"24.1290.A.4","2019-10-31","A","4",2019,10,17
"26",24.1348,"24.1348.A.1","11/07/02 00:00:00","A","1",2002,11,"24.1348.A.4","2019-10-14","A","4",2019,10,17
"27",24.1349,"24.1349.A.3E","11/07/02 00:00:00","A","3E",2002,11,"24.1349.A.1","2019-10-23","A","1",2019,10,17
"28",24.1399,"24.1399.A.1","01/13/03 00:00:00","A","1",2003,1,"24.1399.A.1","2019-08-05","A","1",2019,8,17
"29",24.732,"24.732.A.1","01/21/03 00:00:00","A","1",2003,1,"24.732.A.4","2019-09-11","A","4",2019,9,17
"30",24.795,"24.795.A.3E","12/13/02 00:00:00","A","3E",2002,12,"24.795.A.1","2019-08-26","A","1",2019,8,17
"31",24.919,"24.919.A.1","01/17/03 00:00:00","A","1",2003,1,"24.919.A.1","2019-10-29","A","1",2019,10,17
"32",24.931,"24.931.A.1","01/08/03 00:00:00","A","1",2003,1,"24.931.A.1","2019-10-04","A","1",2019,10,17
"33",24.935,"24.935.A.4","01/23/03 00:00:00","A","4",2003,1,"24.935.A.1","2019-10-21","A","1",2019,10,17
"34",24.943,"24.943.A.4","01/14/03 00:00:00","A","4",2003,1,"24.943.A.1","2019-10-24","A","1",2019,10,17
"35",24.97,"24.970.A.1","12/12/02 00:00:00","A","1",2002,12,"24.970.A.1","2019-10-31","A","1",2019,10,17
"36",24.971,"24.971.A.1","12/09/02 00:00:00","A","1",2002,12,"24.971.A.1","2019-10-30","A","1",2019,10,17
"37",24.988,"24.988.A.3E","01/14/03 00:00:00","A","3E",2003,1,"24.988.A.4","2019-10-31","A","4",2019,10,17
"38",24.989,"24.989.A.4","01/15/03 00:00:00","A","4",2003,1,"24.989.A.4","2019-11-11","A","4",2019,11,17
"39",34.213,"34.213.A.1","04/08/03 00:00:00","A","1",2003,4,"34.213.A.1","2019-05-09","A","1",2019,5,16
"40",34.215,"34.215.A.1","04/08/03 00:00:00","A","1",2003,4,"34.215.A.1","2019-04-04","A","1",2019,4,16
"41",34.258,"34.258.A.4","03/31/03 00:00:00","A","4",2003,3,"34.258.A.1","2019-07-05","A","1",2019,7,16
"42",34.259,"34.259.A.1","04/25/03 00:00:00","A","1",2003,4,"34.259.A.1","2019-07-08","A","1",2019,7,16
"43",34.277,"34.277.A.1","03/25/03 00:00:00","A","1",2003,3,"34.277.A.1","2019-06-11","A","1",2019,6,16
"44",34.286,"34.286.A.4","05/14/03 00:00:00","A","4",2003,5,"34.286.A.1","2019-07-09","A","1",2019,7,16
"45",34.293,"34.293.A.1","03/25/03 00:00:00","A","1",2003,3,"34.293.A.1","2019-07-23","A","1",2019,7,16
"46",34.312,"34.312.A.1","03/13/03 00:00:00","A","1",2003,3,"34.312.A.1","2019-03-11","A","1",2019,3,16
"47",34.354,"34.354.A.1","03/20/03 00:00:00","A","1",2003,3,"34.354.A.1","2019-05-30","A","1",2019,5,16
"48",34.384,"34.384.A.1","06/02/03 00:00:00","A","1",2003,6,"34.384.A.1","2019-05-22","A","1",2019,5,16
