"","PlotID0","PlotID","Provincia","Origen","Estadillo","Cla","Subclase","nArbol","OrdenIFActual","OrdenIFAnterior","Rumbo","Distancia","Especie","Diametro1","Diametro2","Altura","Hcopa","Calidad","Forma","ParEsp","NPae","CPae","VPae","Agente","Import","Elemento"
"199453","9.2510","9.2510.A.1",9,9,2510,"A","1",1,888,1,14,5.30000019,26,394,406,13.5,NA,6,2,NA,25,NA,15,300,3,9
"199454","9.2510","9.2510.A.1",9,9,2510,"A","1",2,1,2,18,14.6000004,26,254,228,7.0999999,NA,3,5,NA,NA,NA,NA,316,3,9
"199455","9.2510","9.2510.A.1",9,9,2510,"A","1",3,888,3,22,4.4000001,26,327,407,15,NA,6,2,NA,25,NA,10,300,3,9
"199456","9.2510","9.2510.A.1",9,9,2510,"A","1",4,2,4,31,9.89999962,26,433,438,13.5,NA,3,2,NA,NA,NA,NA,312,1,3
"199457","9.2510","9.2510.A.1",9,9,2510,"A","1",5,3,5,37,8.80000019,26,309,290,14.1000004,NA,3,2,NA,NA,NA,NA,310,1,1
"199458","9.2510","9.2510.A.1",9,9,2510,"A","1",6,4,6,56,9.5,26,390,379,13.6000004,NA,3,2,NA,NA,NA,NA,312,1,3
"199459","9.2510","9.2510.A.1",9,9,2510,"A","1",7,888,7,68,16.6000004,26,574,562,9.5,NA,6,5,NA,25,NA,30,200,3,9
"199460","9.2510","9.2510.A.1",9,9,2510,"A","1",8,5,0,102,22.6000004,23,484,511,12.5,NA,2,2,NA,NA,NA,NA,100,NA,NA
"199461","9.2510","9.2510.A.1",9,9,2510,"A","1",9,888,8,107,20.3999996,26,445,493,14,NA,6,2,NA,25,NA,30,300,3,9
"199462","9.2510","9.2510.A.1",9,9,2510,"A","1",10,6,9,123,4.5999999,26,368,376,14.1000004,8.69999981,4,2,NA,25,NA,15,322,1,9
"199463","9.2510","9.2510.A.1",9,9,2510,"A","1",11,888,10,134,10.3000002,26,530,528,13.5,NA,6,2,NA,25,NA,30,300,3,9
"199464","9.2510","9.2510.A.1",9,9,2510,"A","1",12,7,0,155,22,23,428,444,14.3000002,NA,2,2,NA,NA,NA,NA,100,NA,NA
"199465","9.2510","9.2510.A.1",9,9,2510,"A","1",13,8,11,167,5.0999999,26,402,389,14.5,NA,5,2,NA,25,NA,20,322,1,9
"199466","9.2510","9.2510.A.1",9,9,2510,"A","1",14,9,12,173,13.1000004,26,397,405,11.1000004,NA,3,2,NA,NA,NA,NA,310,2,1
"199467","9.2510","9.2510.A.1",9,9,2510,"A","1",15,888,13,184,9.5,26,400,461,13,NA,6,2,NA,25,NA,35,200,3,9
"199468","9.2510","9.2510.A.1",9,9,2510,"A","1",16,10,14,186,8.80000019,26,456,450,16.6000004,NA,4,2,NA,30,NA,40,312,2,3
"199469","9.2510","9.2510.A.1",9,9,2510,"A","1",17,11,15,187,10.1000004,26,360,344,14.1999998,NA,4,2,NA,25,NA,15,322,1,4
"199470","9.2510","9.2510.A.1",9,9,2510,"A","1",18,888,16,198,12.8000002,26,477,420,11,NA,6,2,NA,25,NA,30,200,3,9
"199471","9.2510","9.2510.A.1",9,9,2510,"A","1",19,12,0,207,12,23,271,282,11.6000004,NA,2,2,NA,NA,NA,NA,100,NA,NA
"199472","9.2510","9.2510.A.1",9,9,2510,"A","1",20,13,0,213,11.8000002,23,293,281,12.8000002,NA,2,2,NA,NA,42,NA,100,NA,NA
"199473","9.2510","9.2510.A.1",9,9,2510,"A","1",21,14,0,216,11.8000002,23,305,323,13.1000004,NA,2,2,NA,NA,42,NA,100,NA,NA
"199474","9.2510","9.2510.A.1",9,9,2510,"A","1",22,15,0,230,13.1999998,26,261,260,11.3000002,NA,3,2,NA,NA,NA,NA,310,1,1
"199475","9.2510","9.2510.A.1",9,9,2510,"A","1",23,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199476","9.2510","9.2510.A.1",9,9,2510,"A","1",24,16,18,283,6.5,26,455,311,14.8000002,NA,3,5,NA,25,NA,15,322,1,4
