"","x"
"1","1.687.A.1"
"2","1.944.A.1"
"3","10.2986.A.1"
"4","12.879.A.1"
"5","12.907.A.3E"
"6","12.917.A.4"
"7","15.630.A.1"
"8","16.2240.A.1"
"9","16.807.A.1"
"10","16.814.A.1"
"11","16.815.A.4"
"12","16.831.A.1"
"13","16.839.A.1"
"14","16.845.A.1"
"15","17.480.A.1"
"16","18.1220.A.1"
"17","18.1321.A.3C"
"18","18.1343.A.4C"
"19","18.1345.A.1"
"20","18.1348.A.1"
"21","18.1355.A.3E"
"22","18.1356.A.3C"
"23","18.1356.A.3E"
"24","18.1359.A.1"
"25","18.1360.A.1"
"26","18.1368.A.1"
"27","18.2424.N.N"
"28","19.123.A.1"
"29","19.243.A.1"
"30","22.1553.A.1"
"31","24.1096.A.4"
"32","24.1099.A.1"
"33","24.1105.A.4"
"34","24.1128.A.3E"
"35","24.1132.A.4"
"36","24.1443.A.1"
"37","24.1569.A.1"
"38","24.1579.A.1"
"39","24.1597.A.1"
"40","24.1602.A.1"
"41","24.1643.A.4"
"42","24.528.A.4"
"43","24.717.A.1"
"44","24.723.A.1"
"45","24.744.A.1"
"46","24.748.A.1"
"47","24.796.A.1"
"48","24.799.A.4"
"49","24.831.A.1"
"50","24.924.A.1"
"51","24.946.A.1"
"52","25.580.A.1"
"53","27.2638.A.1"
"54","27.2644.A.2C"
"55","27.2644.A.2E"
"56","27.2645.A.2E"
"57","27.288.A.1"
"58","27.768.A.1"
"59","27.770.A.4"
"60","27.868.A.1"
"61","28.362.A.1"
"62","28.558.A.1"
"63","28.638.A.1"
"64","28.886.A.1"
"65","28.960.A.1"
"66","28.978.A.1"
"67","28.996.A.1"
"68","28.997.A.1"
"69","29.286.A.1"
"70","32.1287.A.1"
"71","32.1288.A.1"
"72","32.1595.A.1"
"73","32.1622.A.1"
"74","32.1658.A.1"
"75","32.1751.A.4"
"76","32.1967.A.4"
"77","32.43.A.1"
"78","33.449.N.N"
"79","33.990.N.N"
"80","34.260.A.1"
"81","34.302.A.3C"
"82","34.302.A.3E"
"83","34.323.A.1"
"84","34.324.A.1"
"85","34.361.A.1"
"86","34.401.A.1"
"87","34.426.A.3E"
"88","34.471.A.1"
"89","34.478.A.1"
"90","34.485.A.3C"
"91","34.498.A.1"
"92","34.542.A.1"
"93","37.1024.A.1"
"94","37.1223.A.1"
"95","37.1504.A.4"
"96","37.1709.A.1"
"97","37.1725.A.1"
"98","37.891.A.1"
"99","37.996.A.1"
"100","40.1849.A.1 "
"101","40.1856.A.1 "
"102","40.1864.A.1 "
"103","42.1024.A.3C"
"104","42.1046.A.1 "
"105","42.1082.A.1 "
"106","42.1178.A.1 "
"107","42.1891.A.1 "
"108","42.225.A.3C"
"109","42.227.A.1 "
"110","42.228.A.1 "
"111","42.230.A.1 "
"112","42.231.A.1 "
"113","42.252.A.1 "
"114","42.253.A.1 "
"115","42.305.A.4 "
"116","42.306.A.1 "
"117","42.3139.N.N "
"118","42.322.A.1 "
"119","42.326.A.1 "
"120","42.327.A.1 "
"121","42.333.A.1 "
"122","42.336.A.1 "
"123","42.337.A.4C"
"124","42.338.A.1 "
"125","42.341.A.4 "
"126","42.345.A.1 "
"127","42.353.A.3C"
"128","42.366.A.3E"
"129","42.384.A.1 "
"130","42.406.A.1 "
"131","42.434.A.1 "
"132","42.437.A.1 "
"133","42.443.A.1 "
"134","42.445.A.4 "
"135","42.448.A.1 "
"136","42.450.A.1 "
"137","42.453.A.1 "
