"","Provincia","Estadillo","ESTRATO","FECHGR","CODGR","NUMPMA","NUMTIP","NUMPME","NUMMAT","VERIFICA","FECHAVE","CODVE","HOJA","VUELO","FOTO","COORDEX","COORDEY","ANO","MUNICI","PROPIED1","PROPIED2","AREAPRO1","AREAPRO2","ALTITUD1","ALTITUD2","PENDIEN1","PENDIEN2","USO1","USO2","FRACCION1","FRACCION2","ESPECIA11","ESPECIA12","OCUPA11","OCUPA12","ESTADA11","ESTADA12","ESPECIA21","ESPECIA22","OCUPA21","OCUPA22","ESTADA21","ESTADA22","ESPECIA31","ESPECIA32","OCUPA31","OCUPA32","ESTADA31","ESTADA32","ESPECIB1","MASAB1","ORIGEB1","EDADB1","ESPECIB2","MASAB2","ORIGEB2","EDADB2","ESPECIB3","MASAB3","ORIGEB3","EDADB3","ESPECIE1","ESPECIE2","ESPECIE3","ESPECIE4","ESPECIE5","ESPECIE6","ESPECIE7","CLASUELO","ESPESOR","CLACOBER","CUBIERTA","MEROSIVA1","MEROSIVA2","MEROSIVA3","MEROSIVA4","DISESPAC","COMPESPE","PREPSUEL1","PREPSUEL2","TRAVUELO1","TRAVUELO2","CORTAS","DANOS1","DANOS2","DANOS3","ORIENTA1","ORIENTA2","MAXPEND1","MAXPEND2","PlotID0","CoorX","CoorY","Origen"
"312",1,315,0,960620,0,12,4,6,2,NA,960620,0,"0110","3","0110849","481","4750","96","055","0","2","0","0","10","10","0","5","1","1","08","30","71","71","7","6","4","4","21","21","3","4","3","3","00",NA,"0",NA,"0",NA,"71","3","6",NA,"21","3","1",NA,NA,NA,NA,NA,"71","21","37","44","45","65","78","2","01","W","20","1",NA,NA,NA,"1","2","0",NA,"0",NA,"0",NA,"P906","P204","081",NA,"09,00",NA,"1.315",481000,4750000,1
"326",1,329,0,960704,0,14,4,5,3,NA,960704,0,"0110","3","0110917","481","4747","96","055","0","6","0","2","09","09","0","5","1","1","08","85","21","21","0","4","4","4","00","71","0","3","0","4","00","74","0","1","0","3","21","3","1",NA,"71","3","6",NA,"74","3","6",NA,"21","71","74","15","37","76","95","2","02","W","20","1",NA,NA,NA,"1","2","0",NA,"0",NA,"0",NA,NA,"P906","200",NA,"07,75",NA,"1.329",481000,4747000,1
"339",1,342,0,960612,0,36,4,3,0,NA,960612,0,"0110","3","0110041","481","4744","96","055","0","2","0","2","09","09","0","5","1","1","08","95","71","71","8","7","4","4","21","21","2","2","4","4","00","91","0","1",NA,"2","71","3","6",NA,"21","3","1",NA,"91","3","6",NA,"71","21","91","44","45","14","65","2","03","W","20","1",NA,NA,NA,"1","3","0",NA,"0",NA,"0",NA,NA,"01","283",NA,"09,50",NA,"1.342",481000,4744000,1
"469",1,472,0,960617,0,15,4,3,4,NA,960617,0,"0111","3","0111834","500","4749","96","020","0","2","0","0","10","10","0","5","1","1","08","80","21","71","4","6","4","3","71","21","6","3","4","4","00",NA,"0",NA,"0",NA,"71","3","6",NA,"21","3","1",NA,NA,NA,NA,NA,"71","21","37","78","15","41","44","2","02","W","20","1",NA,NA,NA,"1","2","0",NA,"0",NA,"0",NA,NA,"M913","050",NA,"16,00",NA,"1.472",5e+05,4749000,1
"481",1,484,0,960619,0,29,4,1,0,NA,960619,0,"0111","3","0111924","491","4748","96","055","0","2","0","0","09","09","0","5","1","1","08","90","71","71","0","9","4","4","00","21","0","1","0","4","00",NA,"0",NA,"0",NA,"71","3","6",NA,"21","3","1",NA,NA,NA,NA,NA,"71","21","65",NA,NA,NA,NA,"1","02","W","20","1",NA,NA,NA,"1","2","0",NA,"0",NA,"0",NA,NA,"01","005",NA,"10,50",NA,"1.484",491000,4748000,1
"904",1,909,0,960705,0,21,4,2,0,NA,960705,0,"0137","3","0137313","492","4738","96","055","0","2","0","0","10","10","0","5","1","1","08","90","71","71","0","6","4","4","00","21","0","2","0","4","00","91","0","1","0","2","71","3","6",NA,"21","3","1",NA,"91","3","6",NA,"71","21","91","15","78",NA,NA,"2","04","W","20","1",NA,NA,NA,"1","3","0",NA,"0",NA,"0",NA,NA,"G906","025",NA,"12,75",NA,"1.909",492000,4738000,1
"912",1,917,0,960612,0,32,4,3,2,NA,960612,0,"0137","3","0137315","490","4737","96","902","0","2","0","0","10","10","0","5","1","1","08","80","21","21","7","7","4","4","71","71","3","2","4","4","00",NA,"0",NA,"0",NA,"21","3","1",NA,"71","3","6",NA,NA,NA,NA,NA,"21","71","91","44","45","2","37","2","02","W","20","1",NA,NA,NA,"1","2","0",NA,"0",NA,"0",NA,NA,"M404","145",NA,"08,50",NA,"1.917",490000,4737000,1
"914",1,919,0,960612,0,20,4,6,4,NA,960612,0,"0137","3","0137313","492","4737","96","902","0","2","0","0","09","09","0","5","1","1","05","70","21","21","5","5","4","4","44","71","5","2","3","4","00","45","0","2","0","4","21","3","1",NA,"71","3","6",NA,"45","3","6",NA,"21","71","45","44","78","91","2","2","03","W","20","1",NA,NA,NA,"1","3","0",NA,"0",NA,"0",NA,"P912","G204","150",NA,"12,00",NA,"1.919",492000,4737000,1
"10531",8,23,0,910605,NA,NA,NA,NA,NA,"3",910627,NA,"0254","5","0254398","394","4678","90","190","6",NA,"5",NA,"16","16","5","5","9","1","60","90","22","22","0","9","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22","3","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"22","31","37","21","78",NA,NA,"2","04","W","20",NA,NA,NA,"1","1","2",NA,"0",NA,"0","0",NA,NA,"01","208",NA,"12.50",NA,"8.23",394000,4678000,8
"10595",8,95,0,910607,NA,NA,NA,NA,NA,"3",910628,NA,"0255","5","0255297","415","4681","90","052","1","1","5","2","14","14","3","5","9","1","70","99","21","21","6","5","4","4","22","71","4","4","4","4",NA,NA,NA,NA,NA,NA,"21","3","1",NA,"71","3","6",NA,NA,NA,NA,NA,"71","21","91","65","42","76","78","3","08","G","16",NA,NA,NA,"1","1","3",NA,"0",NA,"0","0",NA,NA,"P906","243",NA,"09.75",NA,"8.95",415000,4681000,8
