"","PlotID0","PlotID","Provincia","Origen","Estadillo","Cla","Subclase","nArbol","OrdenIFActual","OrdenIFAnterior","Rumbo","Distancia","Especie","Diametro1","Diametro2","Altura","Hcopa","Calidad","Forma","ParEsp","NPae","CPae","VPae","Agente","Import","Elemento"
"181477","9.1410","9.1410.A.1",9,9,1410,"A","1",1,1,1,6,4.5999999,71,323,308,24.1000004,10.6999998,2,2,NA,NA,NA,NA,100,NA,NA
"181478","9.1410","9.1410.A.1",9,9,1410,"A","1",2,2,2,8,9.39999962,71,492,463,25.2000008,NA,2,2,NA,NA,NA,NA,100,NA,NA
"181479","9.1410","9.1410.A.1",9,9,1410,"A","1",3,3,3,22,23.3999996,71,559,447,20.5,NA,3,2,NA,NA,NA,NA,316,1,9
"181480","9.1410","9.1410.A.1",9,9,1410,"A","1",4,4,4,22,12.8999996,71,460,420,23.7000008,NA,2,2,NA,NA,NA,NA,100,NA,NA
"181481","9.1410","9.1410.A.1",9,9,1410,"A","1",5,5,5,23,22.6000004,71,483,449,24.8999996,NA,2,2,NA,NA,NA,NA,100,NA,NA
"181482","9.1410","9.1410.A.1",9,9,1410,"A","1",6,6,6,27,20.2000008,71,518,502,24.5,NA,2,2,NA,NA,41,NA,100,NA,NA
"181483","9.1410","9.1410.A.1",9,9,1410,"A","1",7,7,7,39,9.39999962,71,507,463,24,NA,2,2,NA,NA,NA,NA,100,NA,NA
"181484","9.1410","9.1410.A.1",9,9,1410,"A","1",8,8,0,48,16.2000008,71,424,432,24.2999992,NA,2,2,NA,NA,NA,NA,100,NA,NA
"181485","9.1410","9.1410.A.1",9,9,1410,"A","1",9,9,8,48,2.9000001,71,114,121,8.69999981,3.29999995,4,5,NA,39,49,1,316,2,9
"181486","9.1410","9.1410.A.1",9,9,1410,"A","1",10,10,9,48,2.0999999,71,477,453,23.2999992,6,2,2,NA,39,419,1,100,NA,NA
"181487","9.1410","9.1410.A.1",9,9,1410,"A","1",11,11,0,58,22.1000004,71,468,458,25.3999996,NA,2,2,NA,NA,NA,NA,100,NA,NA
